symbol,companyName,marketCap,sector,industry,exchange,price,volume,avgDollarVolume
HPP,"Hudson Pacific Properties, Inc.",6435233792.0,,,NYSE,14.65,163383.0,18480183.900000002
EE,"Excelerate Energy, Inc.",3915048960.0,,,NYSE,34.385,48324.0,13836764.694999998
HGTY,"Hagerty, Inc.",3754580480.0,,,NYSE,10.935,36398.0,1859551.425
CLOV,"Clover Health Investments, Corp",2620254464.0,,,NASDAQ,4.975,2838896.0,36322340.675
MGNI,"Magnite, Inc.",2509556736.0,Communication Services,Advertising Agencies,NASDAQ,17.523,1600120.0,42652085.949
FLOC,Flowco Holdings Inc.,2469415936.0,,,NYSE,23.155,118740.0,18953386.32
DEI,"Douglas Emmett, Inc.",2465448960.0,,,NYSE,12.261,273201.0,30929206.248
PAYO,Payoneer Global Inc.,2355167744.0,Technology,Software - Infrastructure,NASDAQ,7.035,6170009.0,42997279.815
TSAT,Telesat Corporation,2347742464.0,Technology,Communication Equipment,NASDAQ,45.695,86859.0,11646238.955
GRC,Gorman-Rupp Company (The),2297823232.0,,,NYSE,87.005,30952.0,14669391.02
BRUN,Boost Run Inc.,2259960832.0,,,NASDAQ,36.79,503049.0,44597353.06
RMIX,"Suncrete, Inc.",2215329792.0,Basic Materials,Building Materials,NASDAQ,22.93,172770.0,9217584.84
CHA,Chagee Holdings Limited,2201408768.0,,,NASDAQ,11.54,257503.0,7375687.14
PRKS,United Parks & Resorts Inc.,2178132736.0,Consumer Cyclical,Leisure,NYSE,46.21,336037.0,47092657.21
TNET,"TriNet Group, Inc.",2138723200.0,Industrials,Staffing & Employment Services,NYSE,46.55,28124.0,20065237.849999998
ATHM,Autohome Inc.,2119144704.0,,,NYSE,18.4,153894.0,11831678.399999999
AUPH,Aurinia Pharmaceuticals Inc,2067271936.0,,,NASDAQ,16.075,308054.0,19373509.625
NEOG,Neogen Corporation,2062452096.0,Healthcare,Medical Devices,NASDAQ,9.475,431551.0,24016547.8
IMOS,ChipMOS TECHNOLOGIES INC.,2062088448.0,,,NASDAQ,59.305,19011.0,5409268.3549999995
SPSC,"SPS Commerce, Inc.",2037187968.0,Technology,Software - Application,NASDAQ,55.49,75216.0,33941734.77
AIN,Albany International Corporatio,2024544512.0,,,NYSE,71.4,37586.0,18083763.6
AGM,Federal Agricultural Mortgage C,2022415872.0,,,NYSE,186.415,33636.0,22633017.98
NWL,Newell Brands Inc.,2016282240.0,Consumer Defensive,Household & Personal Products,NASDAQ,4.745,1980929.0,35839141.585
MD,"Pediatrix Medical Group, Inc.",2009523072.0,Healthcare,Medical Care Facilities,NYSE,24.47,100159.0,20030946.24
TGLS,Tecnoglass Inc.,1999965952.0,Basic Materials,Building Materials,NYSE,45.08,21632.0,17331096.16
FCF,First,1995049088.0,,,NYSE,19.62,114774.0,16144885.98
JBLU,JetBlue Airways Corporation,1987101696.0,Industrials,Airlines,NASDAQ,5.3414,7404237.0,153209432.639
VCEL,Vericel Corporation,1986809344.0,Healthcare,Biotechnology,NASDAQ,38.905,103057.0,25695507.54
SGRY,"Surgery Partners, Inc.",1982748544.0,Healthcare,Medical Care Facilities,NASDAQ,15.16,99272.0,20661382.080000002
ADMA,ADMA Biologics Inc,1981656832.0,,,NASDAQ,8.55,538940.0,60327534.6
HMN,Horace Mann Educators Corporati,1975850752.0,,,NYSE,48.93,36854.0,11266132.5
FLYW,Flywire Corporation - Voting,1968515200.0,,,NASDAQ,15.95,1105664.0,32018683.95
HRMY,"Harmony Biosciences Holdings, I",1967772160.0,,,NASDAQ,33.99,80442.0,27819081.51
SPB,"Spectrum Brands Holdings, Inc.",1957598848.0,Consumer Defensive,Household & Personal Products,NYSE,84.4,53116.0,30317914.8
AIP,"Arteris, Inc.",1956076160.0,,,NASDAQ,42.365,542110.0,36295366.45
NEXA,Nexa Resources S.A.,1954793856.0,Basic Materials,Other Industrial Metals & Mining,NYSE,14.76,277890.0,17801932.68
USAS,Americas Gold and Silver Corpor,1952684928.0,Basic Materials,Other Industrial Metals & Mining,AMEX,5.785,1682735.0,32548324.835
OCUL,"Ocular Therapeutix, Inc.",1933419904.0,Healthcare,Biotechnology,NASDAQ,8.83,540881.0,26449655.73
NTLA,"Intellia Therapeutics, Inc.",1929564672.0,Healthcare,Biotechnology,NASDAQ,13.81,3178646.0,82935526.89
PRLB,"Proto Labs, Inc.",1926603776.0,Industrials,Metal Fabrication,NYSE,80.97,46946.0,14520835.92
EZPW,"EZCORP, Inc.",1914384256.0,,,NASDAQ,31.11,583872.0,24046038.96
WMK,"Weis Markets, Inc.",1905828736.0,Consumer Defensive,Grocery Stores,NYSE,77.02,20673.0,11064693.2
CMRE,Costamare Inc.,1904647552.0,,,NYSE,15.775,77679.0,6901562.5
ASTH,Astrana Health Inc.,1902520576.0,,,NASDAQ,38.3701,35475.0,17863276.7952
AAT,"American Assets Trust, Inc.",1895871232.0,,,NYSE,24.44,34204.0,9394638.24
AGIO,"Agios Pharmaceuticals, Inc.",1886736768.0,,,NASDAQ,31.725,135929.0,35242572.825
ANIP,"ANI Pharmaceuticals, Inc.",1884927232.0,,,NASDAQ,82.91,46760.0,28822666.58
CTS,CTS Corporation,1884844544.0,,,NYSE,65.92,76778.0,16663521.280000001
EPAC,Enerpac Tool Group Corp.,1883586176.0,,,NYSE,35.69,20435.0,15286348.209999999
TH,Target Hospitality Corp.,1883161088.0,Industrials,Specialty Business Services,NASDAQ,18.91,573659.0,26923812.17
MRVI,"Maravai LifeSciences Holdings, ",1879414656.0,Healthcare,Biotechnology,NASDAQ,5.095,302395.0,12351069.725
KSS,Kohl's Corporation,1877903744.0,Consumer Cyclical,Department Stores,NYSE,16.56,1559976.0,85892977.44
GT,The Goodyear Tire & Rubber Comp,1876974336.0,,,NASDAQ,6.53,2095878.0,55789028.88
MBX,"MBX Biosciences, Inc.",1875818880.0,Healthcare,Biotechnology,NASDAQ,39.41,296912.0,25055971.569999997
SAM,"Boston Beer Company, Inc. (The)",1871607936.0,Consumer Defensive,Beverages - Brewers,NYSE,179.73,55382.0,45399798.0
VPG,"Vishay Precision Group, Inc.",1862096128.0,Technology,Scientific & Technical Instruments,NYSE,139.9967,161694.0,62024697.9548
TIC,"TIC Solutions, Inc.",1860073600.0,Industrials,Specialty Business Services,NYSE,8.415,237624.0,22473923.669999998
PLPC,Preformed Line Products Company,1855782656.0,Industrials,Electrical Equipment & Parts,NASDAQ,379.66,33051.0,52990664.84
ARCO,Arcos Dorados Holdings Inc.,1852781568.0,,,NYSE,8.795,105917.0,10969968.32
LKFT,Lakefront Biotherapeutics,1848083328.0,Healthcare,Biotechnology,NASDAQ,28.045,124812.0,5111341.475000001
ALG,"Alamo Group, Inc.",1847032704.0,,,NYSE,151.79,64692.0,26399620.38
WGS,GeneDx Holdings Corp.,1835017088.0,Healthcare,Diagnostics & Research,NASDAQ,61.81,221503.0,78617004.34
WB,Weibo Corporation,1833945856.0,Communication Services,Internet Content & Information,NASDAQ,7.465,529927.0,9861235.14
TILE,"Interface, Inc.",1817739392.0,Consumer Cyclical,"Furnishings, Fixtures & Appliances",NASDAQ,31.31,62925.0,20423544.31
GENI,Genius Sports Limited,1816568192.0,,,NYSE,6.795,2145642.0,40490616.78
CBZ,"CBIZ, Inc.",1816009472.0,,,NYSE,33.85,56356.0,30575926.450000003
AGL,"agilon health, inc.",1812359680.0,,,NYSE,108.63,76000.0,44395017.03
SKYT,"SkyWater Technology, Inc.",1810729216.0,Technology,Semiconductors,NASDAQ,36.8,149374.0,41473121.599999994
STOK,"Stoke Therapeutics, Inc.",1805233792.0,Healthcare,Biotechnology,NASDAQ,28.985,84677.0,18486401.12
BHVN,Biohaven Ltd.,1805226240.0,,,NYSE,11.99,489918.0,28643858.21
ECPG,Encore Capital Group Inc,1801423360.0,,,NASDAQ,84.02,41996.0,27493192.439999998
CHCO,City Holding Company,1801149184.0,,,NASDAQ,127.64,56947.0,14430084.92
COTY,Coty Inc.,1800553984.0,,,NYSE,2.045,2106525.0,17147245.245
SONO,"Sonos, Inc.",1796460416.0,Technology,Consumer Electronics,NASDAQ,15.08,380577.0,21666310.64
UFPT,"UFP Technologies, Inc.",1796401152.0,Healthcare,Medical Devices,NASDAQ,232.185,89127.0,48286585.71
BWIN,"The Baldwin Insurance Group, In",1795764864.0,,,NASDAQ,18.42,159768.0,28671632.580000002
AMC,"AMC Entertainment Holdings, Inc",1791157760.0,,,NYSE,2.375,18914258.0,76628249.25
ADUS,Addus HomeCare Corporation,1789765376.0,,,NASDAQ,95.89,44307.0,23592104.37
CNXN,"PC Connection, Inc.",1788022272.0,,,NASDAQ,70.88,20183.0,6504374.079999999
AMBQ,"Ambiq Micro, Inc.",1787120000.0,,,NYSE,83.605,125436.0,48528689.46
INTA,"Intapp, Inc.",1783205248.0,Technology,Software - Application,NASDAQ,23.14,221110.0,22292219.82
NUVB,Nuvation Bio Inc.,1781053056.0,Healthcare,Biotechnology,NYSE,5.115,1071056.0,20839650.645
RAPP,"Rapport Therapeutics, Inc.",1776770432.0,Healthcare,Biotechnology,NASDAQ,37.15,27655.0,12228591.2
CCS,"Century Communities, Inc.",1773627776.0,,,NYSE,61.65,59245.0,19187082.9
BOBS,"Bob's Discount Furniture, Inc.",1772614912.0,,,NYSE,13.57,35763.0,16543349.84
VRDN,"Viridian Therapeutics, Inc.",1772364160.0,Healthcare,Biotechnology,NASDAQ,16.05,313450.0,45836119.65
MESO,Mesoblast Limited,1772256896.0,Healthcare,Biotechnology,NASDAQ,13.7084,35775.0,2889812.9704
PLSE,"Pulse Biosciences, Inc",1766231936.0,Healthcare,Medical Instruments & Supplies,NASDAQ,25.52,59627.0,7910306.8
ETG,Eaton Vance Tax-Advantaged Glob,1763043584.0,,,NYSE,23.1001,22353.0,3441799.3995000003
XPRO,Expro Group Holdings N.V.,1755925888.0,Energy,Oil & Gas Equipment & Services,NYSE,15.485,148383.0,17018572.46
ADNT,Adient plc,1754891520.0,,,NYSE,22.38,95578.0,21611179.86
GEL,"Genesis Energy, L.P.",1752648064.0,,,NYSE,14.3115,96332.0,4315904.7435
NBTX,Nanobiotix S.A.,1750585984.0,Healthcare,Biotechnology,NASDAQ,34.47,25871.0,2662773.03
ASAN,"Asana, Inc.",1750554368.0,,,NYSE,7.375,1525151.0,49634251.5
LPG,Dorian LPG Ltd.,1750453376.0,Energy,Oil & Gas Midstream,NYSE,40.915,278506.0,22707538.595
