site_nr,year,week,lice,date
10029,2012,1,0.0,2012-01-08
10054,2012,1,0.0,2012-01-08
10086,2012,1,0.0,2012-01-08
10091,2012,1,0.01,2012-01-08
10110,2012,1,0.0,2012-01-08
10113,2012,1,0.23,2012-01-08
10137,2012,1,0.0,2012-01-08
10149,2012,1,0.0,2012-01-08
10181,2012,1,0.03,2012-01-08
10197,2012,1,2.97,2012-01-08
10240,2012,1,0.0,2012-01-08
10275,2012,1,0.0,2012-01-08
10281,2012,1,0.0,2012-01-08
10298,2012,1,0.03,2012-01-08
10303,2012,1,0.1,2012-01-08
10324,2012,1,0.0,2012-01-08
10327,2012,1,0.0,2012-01-08
10328,2012,1,0.0,2012-01-08
10398,2012,1,0.2,2012-01-08
10409,2012,1,0.0,2012-01-08
10417,2012,1,0.0,2012-01-08
10421,2012,1,0.0,2012-01-08
10425,2012,1,0.38,2012-01-08
10536,2012,1,0.0,2012-01-08
10582,2012,1,0.03,2012-01-08
10616,2012,1,0.05,2012-01-08
10726,2012,1,0.1,2012-01-08
10734,2012,1,0.0,2012-01-08
10757,2012,1,0.0,2012-01-08
10759,2012,1,0.0,2012-01-08
10794,2012,1,0.0,2012-01-08
10795,2012,1,0.0,2012-01-08
10804,2012,1,0.0,2012-01-08
10814,2012,1,0.0,2012-01-08
10823,2012,1,0.17,2012-01-08
10825,2012,1,0.0,2012-01-08
10828,2012,1,0.0,2012-01-08
10841,2012,1,0.0,2012-01-08
10870,2012,1,0.2,2012-01-08
10873,2012,1,1.73,2012-01-08
10876,2012,1,0.1,2012-01-08
10877,2012,1,0.25,2012-01-08
10880,2012,1,0.15,2012-01-08
10893,2012,1,0.0,2012-01-08
10961,2012,1,0.03,2012-01-08
10968,2012,1,1.65,2012-01-08
10970,2012,1,0.23,2012-01-08
10990,2012,1,0.63,2012-01-08
10995,2012,1,0.63,2012-01-08
11015,2012,1,0.0,2012-01-08
11072,2012,1,0.7,2012-01-08
11074,2012,1,0.0,2012-01-08
11087,2012,1,0.0,2012-01-08
11088,2012,1,0.3,2012-01-08
11116,2012,1,0.16,2012-01-08
11119,2012,1,0.33,2012-01-08
11122,2012,1,0.0,2012-01-08
11137,2012,1,0.0,2012-01-08
11144,2012,1,0.08,2012-01-08
11225,2012,1,0.26,2012-01-08
11252,2012,1,0.9,2012-01-08
11273,2012,1,0.0,2012-01-08
11290,2012,1,0.05,2012-01-08
11318,2012,1,0.0,2012-01-08
11338,2012,1,0.0,2012-01-08
11350,2012,1,0.3,2012-01-08
11353,2012,1,0.2,2012-01-08
11356,2012,1,0.2,2012-01-08
11357,2012,1,0.0,2012-01-08
11363,2012,1,0.0,2012-01-08
11365,2012,1,0.19,2012-01-08
11381,2012,1,0.03,2012-01-08
11435,2012,1,0.07,2012-01-08
11438,2012,1,0.0,2012-01-08
11486,2012,1,0.05,2012-01-08
11488,2012,1,0.0,2012-01-08
11492,2012,1,0.04,2012-01-08
11543,2012,1,0.2,2012-01-08
11556,2012,1,0.0,2012-01-08
11559,2012,1,0.0,2012-01-08
11566,2012,1,0.75,2012-01-08
11575,2012,1,0.0,2012-01-08
11596,2012,1,0.1,2012-01-08
11611,2012,1,1.6,2012-01-08
11640,2012,1,0.31,2012-01-08
11649,2012,1,0.05,2012-01-08
11651,2012,1,0.03,2012-01-08
11667,2012,1,0.45,2012-01-08
11690,2012,1,0.0,2012-01-08
11740,2012,1,0.0,2012-01-08
11754,2012,1,9.38,2012-01-08
11756,2012,1,12.0,2012-01-08
11758,2012,1,0.16,2012-01-08
11771,2012,1,0.0,2012-01-08
11772,2012,1,0.0,2012-01-08
11791,2012,1,0.2,2012-01-08
11793,2012,1,1.9,2012-01-08
11800,2012,1,0.0,2012-01-08
11803,2012,1,0.0,2012-01-08
11809,2012,1,0.04,2012-01-08
11833,2012,1,0.0,2012-01-08
11854,2012,1,0.0,2012-01-08
11856,2012,1,0.0,2012-01-08
11857,2012,1,0.0,2012-01-08
11861,2012,1,0.0,2012-01-08
11888,2012,1,0.75,2012-01-08
11893,2012,1,0.0,2012-01-08
11907,2012,1,0.0,2012-01-08
11908,2012,1,0.0,2012-01-08
11920,2012,1,0.0,2012-01-08
11925,2012,1,0.0,2012-01-08
11928,2012,1,1.34,2012-01-08
11930,2012,1,0.0,2012-01-08
11939,2012,1,0.0,2012-01-08
11964,2012,1,0.08,2012-01-08
11971,2012,1,0.0,2012-01-08
12003,2012,1,0.3,2012-01-08
12007,2012,1,0.02,2012-01-08
12033,2012,1,0.0,2012-01-08
12047,2012,1,0.0,2012-01-08
12048,2012,1,0.0,2012-01-08
12067,2012,1,0.0,2012-01-08
12074,2012,1,0.0,2012-01-08
12077,2012,1,0.0,2012-01-08
12085,2012,1,0.48,2012-01-08
12086,2012,1,0.0,2012-01-08
12095,2012,1,0.27,2012-01-08
12109,2012,1,0.0,2012-01-08
12126,2012,1,2.6,2012-01-08
12127,2012,1,0.0,2012-01-08
12128,2012,1,0.3,2012-01-08
12134,2012,1,0.5,2012-01-08
12156,2012,1,0.0,2012-01-08
12178,2012,1,0.25,2012-01-08
12192,2012,1,0.0,2012-01-08
12206,2012,1,1.08,2012-01-08
12239,2012,1,0.0,2012-01-08
12281,2012,1,0.0,2012-01-08
12298,2012,1,0.0,2012-01-08
12348,2012,1,0.0,2012-01-08
12357,2012,1,0.0,2012-01-08
12366,2012,1,0.18,2012-01-08
12377,2012,1,0.0,2012-01-08
