rebalance_date,n_universe,n_signal,n_quarterly,n_annual_fb,n_accn_mismatch,n_no_overlap,n_no_assets,n_outliers,pct_dropped
2015-01-01,361,308,211,101,23,49,0,4,14.681440443213296
2015-04-01,360,330,214,122,27,24,0,6,8.333333333333334
2015-07-01,391,364,239,129,36,23,0,4,6.90537084398977
2015-10-01,424,382,258,132,37,34,0,8,9.90566037735849
2016-01-01,412,362,236,130,38,46,0,4,12.135922330097088
2016-04-01,402,374,226,158,56,18,0,10,6.965174129353234
2016-07-01,414,386,260,133,50,21,0,7,6.763285024154589
2016-10-01,387,363,245,120,39,22,0,2,6.2015503875969
2017-01-01,384,348,230,124,40,30,0,6,9.375
2017-04-01,404,379,245,141,49,18,0,7,6.188118811881188
2017-07-01,428,395,286,115,45,27,0,6,7.710280373831775
2017-10-01,390,360,263,101,42,26,0,4,7.6923076923076925
2018-01-01,417,381,284,104,44,29,0,7,8.633093525179856
2018-04-01,429,407,293,120,62,16,0,6,5.128205128205129
2018-07-01,442,422,309,118,50,15,0,5,4.524886877828054
2018-10-01,426,407,304,109,40,13,0,6,4.460093896713615
2019-01-01,455,438,320,123,45,12,0,5,3.7362637362637363
2019-04-01,440,423,303,129,44,8,0,9,3.8636363636363638
2019-07-01,448,436,314,127,45,7,0,5,2.6785714285714284
2019-10-01,445,430,311,125,52,9,0,6,3.3707865168539324
2020-01-01,418,403,296,114,44,8,0,7,3.588516746411483
2020-04-01,512,499,373,135,62,4,0,9,2.5390625
2020-07-01,492,479,407,81,61,4,0,9,2.6422764227642275
2020-10-01,489,475,406,78,57,5,0,9,2.8629856850715747
