rebalance_date,hold_end,n_universe,n_with_signal,n_delisted,n_valid_returns
2015-01-01,2015-04-01,361,308,0,361
2015-04-01,2015-07-01,360,330,1,360
2015-07-01,2015-10-01,391,364,1,391
2015-10-01,2016-01-01,424,382,1,424
2016-01-01,2016-04-01,412,362,1,410
2016-04-01,2016-07-01,402,374,1,400
2016-07-01,2016-10-01,414,386,1,412
2016-10-01,2017-01-01,387,363,1,385
2017-01-01,2017-04-01,384,348,1,382
2017-04-01,2017-07-01,404,379,1,402
2017-07-01,2017-10-01,428,395,2,426
2017-10-01,2018-01-01,390,360,2,388
2018-01-01,2018-04-01,417,381,2,416
2018-04-01,2018-07-01,429,407,2,428
2018-07-01,2018-10-01,442,422,2,441
2018-10-01,2019-01-01,426,407,3,425
2019-01-01,2019-04-01,455,438,3,454
2019-04-01,2019-07-01,440,423,3,439
2019-07-01,2019-10-01,448,436,3,447
2019-10-01,2020-01-01,445,430,3,444
2020-01-01,2020-04-01,418,403,3,417
2020-04-01,2020-07-01,512,499,3,511
2020-07-01,2020-10-01,492,479,3,491
2020-10-01,2021-01-01,489,475,3,488
