rebalance_date,n_universe,n_signal,n_direct,n_fallback,n_no_data,pct_dropped
2015-01-01,361,358,329,29,3,0.8310249307479224
2015-04-01,360,358,352,6,2,0.5555555555555556
2015-07-01,391,385,365,20,6,1.5345268542199488
2015-10-01,424,405,395,10,19,4.481132075471698
2016-01-01,412,411,381,30,1,0.24271844660194175
2016-04-01,402,401,398,3,1,0.24875621890547264
2016-07-01,414,411,390,21,3,0.7246376811594203
2016-10-01,387,382,374,8,5,1.2919896640826873
2017-01-01,384,384,371,13,0,0.0
2017-04-01,404,403,403,0,1,0.24752475247524752
2017-07-01,428,419,404,15,9,2.102803738317757
2017-10-01,390,382,371,11,8,2.051282051282051
2018-01-01,417,415,405,10,2,0.47961630695443647
2018-04-01,429,428,424,4,1,0.2331002331002331
2018-07-01,442,438,429,9,4,0.9049773755656109
2018-10-01,426,420,415,5,6,1.408450704225352
2019-01-01,455,455,446,9,0,0.0
2019-04-01,440,440,438,2,0,0.0
2019-07-01,448,447,443,4,1,0.22321428571428573
2019-10-01,445,440,438,2,5,1.1235955056179776
2020-01-01,418,418,413,5,0,0.0
2020-04-01,512,512,512,0,0,0.0
2020-07-01,492,492,489,3,0,0.0
2020-10-01,489,486,485,1,3,0.6134969325153374
