cycle,sector_group,n_members,avg_intra_cluster_corr
0,13,9,0.43943120676492115
0,28,5,0.390838530886455
0,28,5,0.32046195481421114
0,33,8,0.32268490384233084
0,34,8,0.3369538934028347
0,49,7,0.49734764251717745
0,56,6,0.26665342131727915
1,13,8,0.5109874304302469
1,28,6,0.27602285482587846
1,33,10,0.3723000507596069
1,34,10,0.33859118747693717
1,37,15,0.31139312740474573
1,49,11,0.45258574963187687
1,56,7,0.2887990017108125
1,87,7,0.28714804871015587
2,28,4,0.28001146297414664
2,33,12,0.4270575676740497
2,34,10,0.3533214818711869
2,36,4,0.2524995046874429
2,48,6,0.32286970723798375
2,49,7,0.4923219117350275
2,56,8,0.2777603758639135
3,13,8,0.3825155596219375
3,28,10,0.2896055929858733
3,33,13,0.40610625333560957
3,34,9,0.35714714683849036
3,38,6,0.26378644127260037
3,38,11,0.25605907539997563
3,48,6,0.315605170245221
3,49,7,0.527720532392775
3,56,7,0.3569274276950742
3,58,6,0.2972958317661624
3,80,6,0.2917713106607706
4,13,8,0.3346914441651726
4,28,5,0.22994731890226783
4,28,7,0.25788999187397055
4,33,10,0.32355093493444276
4,34,7,0.3212939675141234
4,35,5,0.3057580263287015
4,36,6,0.262072908309561
4,37,4,0.2278923959456258
4,37,10,0.28829581814426763
4,38,7,0.2501081161144546
4,49,7,0.5040851141734267
4,56,6,0.34422992592832513
4,73,13,0.2797355161410543
4,73,7,0.3170920693109739
5,13,10,0.3730325049868163
5,28,4,0.2443968272994149
5,28,4,0.2790921609236827
5,28,12,0.2386303237690425
5,33,12,0.3131442526253165
5,34,9,0.28656349755599775
5,35,5,0.29342499513899845
5,36,5,0.23396911169323778
5,37,12,0.27967479829334696
5,38,5,0.2711452592904455
5,48,5,0.33980209996715915
5,49,8,0.5367496876297563
5,50,6,0.28479324313505455
5,56,8,0.32928678733743444
5,80,4,0.2600722275915937
5,87,6,0.2720902984132307
6,13,11,0.397668937320617
6,28,4,0.27213149686199123
6,28,4,0.27599562429149077
6,33,9,0.30551100430431777
6,34,7,0.26115253339012034
6,36,5,0.27899291354779987
6,50,7,0.2856839371619703
6,51,5,0.3174773998203334
6,56,8,0.3111220188688417
6,58,6,0.2968802982140478
6,80,9,0.2550037823614755
6,87,8,0.2417565571483286
7,13,14,0.39869505822232054
7,33,10,0.2947660669051029
7,34,7,0.3118630696618296
7,36,4,0.26754158213516865
7,38,15,0.23785992410446188
7,38,4,0.24601122154046032
7,48,6,0.3002473540725653
7,50,6,0.29870249354636524
7,51,4,0.35369954257695996
7,58,6,0.2808998457722061
7,80,12,0.26935067598155715
7,87,5,0.23953656634948078
8,13,14,0.4064971437227195
8,15,7,0.49594878533445486
8,28,6,0.24679219983285156
8,33,14,0.3605344740075445
8,34,6,0.35946952380265557
8,36,6,0.2544206460701548
8,38,15,0.23664679504074052
8,48,5,0.23048485986265788
8,50,5,0.3242361843578703
8,56,8,0.31082272495403795
8,58,6,0.3113038243049201
8,59,5,0.256420200018258
8,80,9,0.2512327578119691
8,87,4,0.27391250015931906
9,13,15,0.40688678940479683
9,33,10,0.4905393582149856
9,50,10,0.450256349191694
9,56,9,0.5675740716824071
9,58,11,0.5987969957205623
9,59,7,0.35664371261393135
9,80,12,0.4283600005954445
9,87,9,0.542388215930741
