trial,k,ann_ret,sharpe,calmar,max_dd,n
S2-PEAD,0.0,-0.061280962777799486,-0.36597892462191955,-0.14537164499595961,-0.4215468757989407,72
S2-PEAD,0.25,-0.14961339592254097,-1.0523184279152031,-0.22816838973264966,-0.6557148257821627,72
S2-PEAD,0.5,-0.23055776760922908,-1.7132571552680285,-0.28871436823541513,-0.798567002461181,72
S2-PEAD,1.0,-0.372417260859214,-2.8431251830728232,-0.39770972727400977,-0.9364047075535318,72
S2-PEAD,1.5,-0.4907962461181494,-3.6469439594193886,-0.5002029947162963,-0.9811941377850365,72
S2-PEAD,2.0,-0.5891382715979463,-4.169648252075641,-0.5923283552898223,-0.994614332298316,72
S4-MAX,0.0,0.03529260240967247,0.3302412133074658,0.11564838946312607,-0.3051715858172443,72
S4-MAX,0.25,-0.017267154311856547,-0.06795392202585197,-0.04979531226058413,-0.3467626474856851,72
S4-MAX,0.5,-0.0673727076526226,-0.4664109111448728,-0.14418935516481607,-0.46725160519382325,72
S4-MAX,1.0,-0.16063530463819364,-1.2635291044617913,-0.2454708369658362,-0.6543966958508816,72
S4-MAX,1.5,-0.24528400663329808,-2.059949093340022,-0.30244481123305716,-0.8110041816663462,72
S4-MAX,2.0,-0.32204761681000715,-2.8545100229993525,-0.35872301247153776,-0.8977612408837569,72
S8-ResidRev,0.0,-0.044930580650531904,-0.4457803206365097,-0.13558504337865024,-0.3313830163777995,70
S8-ResidRev,0.25,-0.05953417181056142,-0.6117093147998536,-0.16169988992388726,-0.368176947050393,70
S8-ResidRev,0.5,-0.07394073593863182,-0.7776292574640911,-0.18244158681137643,-0.4052844377805046,70
S8-ResidRev,1.0,-0.10217228597887662,-1.1074817951688678,-0.215398777659916,-0.4743401382722427,70
S8-ResidRev,1.5,-0.12964398513244157,-1.431481121859471,-0.23679868920118963,-0.5474860759144365,70
S8-ResidRev,2.0,-0.15637419088531634,-1.7460258803389574,-0.25609592513714535,-0.6106078837512714,70
S21-basket,0.0,0.05776446221984677,0.9539917141138746,0.6532125069184652,-0.08843134754469267,60
S21-basket,0.25,-0.20724947456397336,-3.7502695670568493,-0.3037224040142645,-0.6823647904296181,60
S21-basket,0.5,-0.41010506466043706,-8.348764118420354,-0.44311389003905166,-0.9255071300615164,60
S21-basket,1.0,-0.6807938708619363,-16.589149858148158,-0.6832843400961703,-0.9963551495503563,60
S21-basket,1.5,-0.8329525372277482,-23.018030410259108,-0.833078600110494,-0.9998486782847033,60
S21-basket,2.0,-0.9157852626667324,-27.66275364827686,-0.9157900519079815,-0.999994770372053,60
