member,reference,construction,sector_group,entry_date,exit_date,holding_days,exit_reason,direction,entry_z,trade_pnl,trade_gross,trade_cost,profitable,cycle,entry_mcap,entry_dvol,price,mcap_decile,dvol_decile
CRK,"['AMPY', 'CRK', 'GTE', 'MTDR', 'NGS', 'NOG', 'REI', 'TTI', 'WTI']",basket,13,2016-03-02,2016-03-09,5,time_forced,long_m_short_ref,-3.1650503148613724,0.3175516097133786,0.3519439701874138,0.0343923604740351,True,0,324704313.96,28816519.481666673,6.81,3,10
CRK,"['AMPY', 'CRK', 'GTE', 'MTDR', 'NGS', 'NOG', 'REI', 'TTI', 'WTI']",basket,13,2016-03-17,2016-03-24,5,time_forced,long_m_short_ref,-2.685891928440554,-0.086717716976902,-0.0523253565028669,0.0343923604740351,False,0,324704313.96,28816519.481666673,6.81,3,10
CRK,"['AMPY', 'CRK', 'GTE', 'MTDR', 'NGS', 'NOG', 'REI', 'TTI', 'WTI']",basket,13,2016-03-28,2016-04-04,5,time_forced,long_m_short_ref,-2.8931718627908043,0.0044903479308657,0.0388827084049009,0.0343923604740351,True,0,324704313.96,28816519.481666673,6.81,3,10
CRK,"['AMPY', 'CRK', 'GTE', 'MTDR', 'NGS', 'NOG', 'REI', 'TTI', 'WTI']",basket,13,2016-04-05,2016-04-12,5,time_forced,long_m_short_ref,-2.684383453024184,-0.0632580257252379,-0.0288656652512027,0.0343923604740351,False,0,324704313.96,28816519.481666673,6.81,3,10
CRK,"['AMPY', 'CRK', 'GTE', 'MTDR', 'NGS', 'NOG', 'REI', 'TTI', 'WTI']",basket,13,2016-04-13,2016-04-20,5,time_forced,long_m_short_ref,-3.178924298607807,-0.0213308846908368,0.0130614757831983,0.0343923604740351,False,0,324704313.96,28816519.481666673,6.81,3,10
CRK,"['AMPY', 'CRK', 'GTE', 'MTDR', 'NGS', 'NOG', 'REI', 'TTI', 'WTI']",basket,13,2016-04-21,2016-04-28,5,time_forced,long_m_short_ref,-2.9949782524928548,-0.01609476939194,0.0182975910820951,0.0343923604740351,False,0,324704313.96,28816519.481666673,6.81,3,10
CRK,"['AMPY', 'CRK', 'GTE', 'MTDR', 'NGS', 'NOG', 'REI', 'TTI', 'WTI']",basket,13,2016-04-29,2016-05-06,5,time_forced,long_m_short_ref,-3.082180574290145,-0.046617718502243,-0.0122253580282078,0.0343923604740351,False,0,324704313.96,28816519.481666673,6.81,3,10
CRK,"['AMPY', 'CRK', 'GTE', 'MTDR', 'NGS', 'NOG', 'REI', 'TTI', 'WTI']",basket,13,2016-05-09,2016-05-16,5,time_forced,long_m_short_ref,-3.182978901106733,-0.0579300733435811,-0.0235377128695459,0.0343923604740351,False,0,324704313.96,28816519.481666673,6.81,3,10
CRK,"['AMPY', 'CRK', 'GTE', 'MTDR', 'NGS', 'NOG', 'REI', 'TTI', 'WTI']",basket,13,2016-05-17,2016-05-24,5,time_forced,long_m_short_ref,-3.355941943874437,-0.1286286674977032,-0.094236307023668,0.0343923604740351,False,0,324704313.96,28816519.481666673,6.81,3,10
CRK,"['AMPY', 'CRK', 'GTE', 'MTDR', 'NGS', 'NOG', 'REI', 'TTI', 'WTI']",basket,13,2016-05-25,2016-06-02,5,time_forced,long_m_short_ref,-3.457787184497345,0.0204922535717509,0.0548846140457861,0.0343923604740351,True,0,324704313.96,28816519.481666673,6.81,3,10
CRK,"['AMPY', 'CRK', 'GTE', 'MTDR', 'NGS', 'NOG', 'REI', 'TTI', 'WTI']",basket,13,2016-06-03,2016-06-10,5,time_forced,long_m_short_ref,-3.203321932061387,0.0518824714729584,0.0862748319469935,0.0343923604740351,True,0,324704313.96,28816519.481666673,6.81,3,10
CRK,"['AMPY', 'CRK', 'GTE', 'MTDR', 'NGS', 'NOG', 'REI', 'TTI', 'WTI']",basket,13,2016-06-13,2016-06-20,5,time_forced,long_m_short_ref,-2.8355460930756022,-0.0030236251189055,0.0313687353551295,0.0343923604740351,False,0,324704313.96,28816519.481666673,6.81,3,10
