rebalance_date,hold_end,n_base_universe,n_gp,n_value,n_ivol,n_residrev,n_intersection,n_delisted,n_valid_returns
2015-01-01,2015-04-01,361,265,338,360,314,233,0,233
2015-04-01,2015-07-01,360,270,341,360,314,233,1,233
2015-07-01,2015-10-01,391,290,372,390,335,249,1,249
2015-10-01,2016-01-01,424,316,403,424,361,277,1,277
2016-01-01,2016-04-01,412,299,393,409,338,252,1,252
2016-04-01,2016-07-01,402,303,389,400,343,254,1,254
2016-07-01,2016-10-01,414,303,398,411,362,265,1,265
2016-10-01,2017-01-01,387,282,373,385,341,251,1,251
2017-01-01,2017-04-01,384,269,364,380,338,238,1,238
2017-04-01,2017-07-01,404,295,390,402,360,261,1,261
2017-07-01,2017-10-01,428,311,406,423,377,282,1,282
2017-10-01,2018-01-01,390,288,376,388,348,263,1,263
2018-01-01,2018-04-01,417,308,401,414,380,284,1,284
2018-04-01,2018-07-01,429,316,421,428,393,294,1,294
2018-07-01,2018-10-01,442,320,436,441,402,297,1,297
2018-10-01,2019-01-01,426,312,423,424,394,294,1,294
2019-01-01,2019-04-01,455,344,454,454,427,329,1,329
2019-04-01,2019-07-01,440,336,440,439,419,324,1,324
2019-07-01,2019-10-01,448,336,448,447,434,332,2,332
2019-10-01,2020-01-01,445,331,442,444,432,326,2,326
2020-01-01,2020-04-01,418,318,418,417,415,317,2,317
2020-04-01,2020-07-01,512,389,512,511,509,388,2,388
2020-07-01,2020-10-01,492,363,491,491,490,363,3,363
2020-10-01,2021-01-01,489,362,487,488,488,362,3,362
