rebalance_date,n_universe,n_signal,n_gp_direct,n_gp_calc,n_annual_fb,n_no_cogs,n_no_data,n_no_assets,pct_dropped
2015-01-01,361,265,234,31,2,70,26,0,26.592797783933516
2015-04-01,360,270,237,33,4,70,20,0,25.0
2015-07-01,391,290,255,35,4,77,24,0,25.831202046035806
2015-10-01,424,316,276,40,3,82,26,0,25.471698113207548
2016-01-01,412,299,262,37,3,86,27,0,27.42718446601942
2016-04-01,402,303,266,37,3,78,21,0,24.62686567164179
2016-07-01,414,303,267,36,2,82,29,0,26.81159420289855
2016-10-01,387,282,245,37,1,76,29,0,27.131782945736433
2017-01-01,384,269,235,34,0,81,34,0,29.947916666666668
2017-04-01,404,295,253,42,6,85,24,0,26.980198019801982
2017-07-01,428,311,268,43,4,83,34,0,27.33644859813084
2017-10-01,390,288,247,41,2,76,26,0,26.153846153846153
2018-01-01,417,308,263,45,2,78,31,0,26.139088729016787
2018-04-01,429,316,269,47,5,86,27,0,26.34032634032634
2018-07-01,442,320,273,47,6,91,31,0,27.601809954751133
2018-10-01,426,312,270,42,7,93,21,0,26.760563380281692
2019-01-01,455,344,295,49,4,101,10,0,24.395604395604394
2019-04-01,440,336,289,47,11,96,8,0,23.636363636363637
2019-07-01,448,336,287,49,5,100,12,0,25.0
2019-10-01,445,331,283,48,5,101,13,0,25.617977528089888
2020-01-01,418,318,276,42,4,92,8,0,23.923444976076556
2020-04-01,512,389,337,52,5,117,6,0,24.0234375
2020-07-01,492,363,311,52,4,119,10,0,26.21951219512195
2020-10-01,489,362,311,51,4,116,11,0,25.971370143149283
