rebalance_date,hold_end,n_universe,n_with_signal,n_delisted,n_valid_returns
2015-01-01,2015-04-01,361,265,0,361
2015-04-01,2015-07-01,360,270,1,360
2015-07-01,2015-10-01,391,290,1,391
2015-10-01,2016-01-01,424,316,1,424
2016-01-01,2016-04-01,412,299,1,410
2016-04-01,2016-07-01,402,303,1,400
2016-07-01,2016-10-01,414,303,1,412
2016-10-01,2017-01-01,387,282,1,385
2017-01-01,2017-04-01,384,269,1,382
2017-04-01,2017-07-01,404,295,1,402
2017-07-01,2017-10-01,428,311,2,426
2017-10-01,2018-01-01,390,288,2,388
2018-01-01,2018-04-01,417,308,2,416
2018-04-01,2018-07-01,429,316,2,428
2018-07-01,2018-10-01,442,320,2,441
2018-10-01,2019-01-01,426,312,3,425
2019-01-01,2019-04-01,455,344,3,454
2019-04-01,2019-07-01,440,336,3,439
2019-07-01,2019-10-01,448,336,3,447
2019-10-01,2020-01-01,445,331,3,444
2020-01-01,2020-04-01,418,318,3,417
2020-04-01,2020-07-01,512,389,3,511
2020-07-01,2020-10-01,492,363,3,491
2020-10-01,2021-01-01,489,362,3,488
