rebalance_date,n_universe,n_signal,n_gp_direct,n_gp_calc,n_annual_fb,n_no_cogs,n_no_data,n_no_assets,pct_dropped
2015-01-01,354,265,235,30,2,69,20,0,25.141242937853107
2015-04-01,349,264,233,31,3,67,18,0,24.355300859598852
2015-07-01,390,289,254,35,3,78,23,0,25.897435897435898
2015-10-01,417,315,274,41,2,82,20,0,24.46043165467626
2016-01-01,397,292,256,36,1,86,19,0,26.448362720403022
2016-04-01,401,304,268,36,4,78,19,0,24.189526184538654
2016-07-01,411,301,265,36,3,84,26,0,26.7639902676399
2016-10-01,388,283,246,37,2,79,26,0,27.061855670103093
2017-01-01,382,272,237,35,1,80,30,0,28.79581151832461
2017-04-01,401,297,255,42,5,83,21,0,25.935162094763093
2017-07-01,427,315,273,42,4,80,32,0,26.229508196721312
2017-10-01,396,295,253,42,2,76,25,0,25.505050505050505
2018-01-01,417,308,264,44,1,80,29,0,26.139088729016787
2018-04-01,429,321,276,45,4,84,24,0,25.174825174825173
2018-07-01,444,322,276,46,6,90,32,0,27.47747747747748
2018-10-01,428,314,272,42,7,92,22,0,26.635514018691588
2019-01-01,465,353,301,52,5,101,11,0,24.086021505376344
2019-04-01,438,330,285,45,10,100,8,0,24.65753424657534
2019-07-01,451,341,291,50,5,100,10,0,24.390243902439025
2019-10-01,447,335,286,49,5,102,10,0,25.05592841163311
2020-01-01,423,322,279,43,4,93,8,0,23.87706855791962
2020-04-01,506,382,331,51,4,118,6,0,24.50592885375494
2020-07-01,486,361,311,50,4,115,10,0,25.720164609053498
2020-10-01,483,361,314,47,3,112,10,0,25.25879917184265
