rebalance_date,n_universe,n_cluster_companies,n_no_buying_companies,n_opportunistic_purchases,n_routine_purchases,data_blackout
2015-01-01,361,50,182,724,0,False
2015-04-01,360,65,129,959,0,False
2015-07-01,391,77,142,918,0,False
2015-10-01,424,76,176,1048,0,False
2016-01-01,412,70,190,973,0,False
2016-04-01,402,68,130,1022,0,False
2016-07-01,414,72,148,956,17,False
2016-10-01,387,54,169,884,78,False
2017-01-01,384,55,166,885,33,False
2017-04-01,404,71,113,986,97,False
2017-07-01,428,77,119,1600,85,False
2017-10-01,390,49,147,881,85,False
2018-01-01,417,38,283,492,43,False
2018-04-01,429,0,429,0,0,True
2018-07-01,442,0,442,0,0,True
2018-10-01,426,0,426,0,0,True
2019-01-01,455,0,455,0,0,True
2019-04-01,440,0,440,0,0,True
2019-07-01,448,0,448,0,0,True
2019-10-01,445,0,445,0,0,True
2020-01-01,418,0,418,0,0,True
2020-04-01,512,0,512,0,0,True
2020-07-01,492,0,492,0,0,True
2020-10-01,489,0,489,0,0,True
