rebalance_date,n_universe,n_ivol,n_value,n_value_direct,n_value_annual_fb,n_value_no_data,pct_value_dropped
2015-01-01,361,360,338,336,2,23,6.371191135734072
2015-04-01,360,360,341,336,5,19,5.277777777777778
2015-07-01,391,390,372,368,4,19,4.859335038363171
2015-10-01,424,424,403,402,1,21,4.952830188679245
2016-01-01,412,409,393,390,3,19,4.611650485436893
2016-04-01,402,400,389,387,2,13,3.2338308457711444
2016-07-01,414,411,398,398,0,16,3.864734299516908
2016-10-01,387,385,373,373,0,14,3.6175710594315245
2017-01-01,384,380,364,364,0,20,5.208333333333333
2017-04-01,404,402,390,390,0,14,3.4653465346534653
2017-07-01,428,423,406,404,2,22,5.140186915887851
2017-10-01,390,388,376,375,1,14,3.58974358974359
2018-01-01,417,414,401,398,3,16,3.8369304556354917
2018-04-01,429,428,421,413,8,8,1.8648018648018647
2018-07-01,442,441,436,426,10,6,1.3574660633484164
2018-10-01,426,424,423,416,7,3,0.704225352112676
2019-01-01,455,454,454,448,6,1,0.21978021978021978
2019-04-01,440,439,440,436,4,0,0.0
2019-07-01,448,447,448,444,4,0,0.0
2019-10-01,445,444,442,437,5,3,0.6741573033707865
2020-01-01,418,417,418,416,2,0,0.0
2020-04-01,512,511,512,507,5,0,0.0
2020-07-01,492,491,491,488,3,1,0.2032520325203252
2020-10-01,489,488,487,487,0,2,0.40899795501022496
