sic_major_group,contribution
36,0.14491766382146629
58,0.10025419219250192
82,0.06754048252587998
52,0.05739432521228591
15,0.05636008199295453
38,0.04922598717160836
51,0.04426403567007905
13,0.04118534492494709
34,0.04040359590429393
70,0.0335780857345794
29,0.03282973495456676
31,0.028108442447204035
59,0.027268334008214032
30,0.02482450105501791
1,0.023862392291119354
25,0.019455223700820725
44,0.01940622422909551
20,0.019374664111000264
24,0.018967949117151484
17,0.015059141214314668
16,0.014190254132534576
79,0.009988408968129784
27,0.009848545637031022
21,0.008574080188929772
22,0.007619627827981076
54,0.007590924920686031
72,0.00672872057767369
49,0.006157622467850793
45,0.005690261333146652
78,0.003158050471031906
53,0.002413950639005025
81,0.0012018977544536727
12,0.00010774772098736925
57,-0.001368296872193208
32,-0.00254665340529532
55,-0.003328703487665996
39,-0.004217742786436475
42,-0.006606582142942065
47,-0.006787503663141466
87,-0.0073752914807394794
26,-0.013291313917683215
23,-0.013336731861496764
56,-0.03187030393233106
48,-0.03436932082363841
50,-0.038079855368020145
80,-0.03942613071065859
35,-0.047506840539677825
14,-0.04969895390537996
10,-0.053457619999743265
73,-0.05397010246777187
33,-0.06826960017882236
37,-0.15049734927267286
28,-0.5569785745243938
