rebalance_date,n_universe,n_high_ivol,n_long,n_short,guard_fired
2015-01-01,338,113,38,38,False
2015-04-01,341,114,38,38,False
2015-07-01,372,124,42,42,False
2015-10-01,403,135,45,45,False
2016-01-01,391,131,44,44,False
2016-04-01,387,129,43,43,False
2016-07-01,396,132,44,44,False
2016-10-01,371,124,42,42,False
2017-01-01,362,121,41,41,False
2017-04-01,388,130,44,44,False
2017-07-01,404,135,45,45,False
2017-10-01,374,125,42,42,False
2018-01-01,399,133,45,45,False
2018-04-01,420,140,47,47,False
2018-07-01,435,145,49,49,False
2018-10-01,422,141,47,47,False
2019-01-01,453,151,51,51,False
2019-04-01,439,147,49,49,False
2019-07-01,447,149,50,50,False
2019-10-01,441,147,49,49,False
2020-01-01,417,139,47,47,False
2020-04-01,511,171,57,57,False
2020-07-01,490,164,55,55,False
2020-10-01,486,162,54,54,False
