date,close,volume
2014-01-02,105.03,427600
2014-01-03,106.29,291900
2014-01-06,105.32,347800
2014-01-07,107.86,252200
2014-01-08,108.31,250400
2014-01-09,108.98,164700
2014-01-10,109.05,232400
2014-01-13,108.38,204300
2014-01-14,110.01,234000
2014-01-15,112.11,409800
2014-01-16,112.51,288900
2014-01-17,113.58,324900
2014-01-21,114.18,421200
2014-01-22,114.58,272100
2014-01-23,114.6,264200
2014-01-24,113.28,303500
2014-01-27,112.91,275900
2014-01-28,113.11,342400
2014-01-29,113.45,214400
2014-01-30,113.756,438600
2014-01-31,114.26,670100
2014-02-03,109.09,784300
2014-02-04,115.1,852300
2014-02-05,116.23,507300
2014-02-06,117.05,430400
2014-02-07,118.89,332200
2014-02-10,120.88,484200
2014-02-11,122.28,342100
2014-02-12,122.68,299600
2014-02-13,124.07,205300
2014-02-14,124.0,310300
2014-02-18,125.6,315400
2014-02-19,125.09,180000
2014-02-20,126.33,261400
2014-02-21,124.64,306500
2014-02-24,125.44,195100
2014-02-25,125.54,258600
2014-02-26,126.13,192100
2014-02-27,126.35,244500
2014-02-28,125.9,265600
2014-03-03,124.58,264800
2014-03-04,126.09,328000
2014-03-05,126.0,199600
2014-03-06,126.67,351800
2014-03-07,126.73,210000
2014-03-10,127.55,245500
2014-03-11,127.59,203300
2014-03-12,128.26,248500
2014-03-13,126.09,217600
2014-03-14,127.91,288400
2014-03-17,123.68,627500
2014-03-18,124.94,279800
2014-03-19,123.74,311300
2014-03-20,123.54,263100
2014-03-21,121.75,542300
2014-03-24,121.73,415200
2014-03-25,122.18,305400
2014-03-26,121.55,202000
2014-03-27,121.55,212000
2014-03-28,121.59,145300
2014-03-31,121.4,524100
2014-04-01,121.65,439300
2014-04-02,122.32,342400
2014-04-03,124.2,851500
2014-04-04,121.95,229600
2014-04-07,120.02,408900
2014-04-08,120.97,328100
2014-04-09,122.54,240700
2014-04-10,119.64,174000
2014-04-11,117.5,200900
2014-04-14,118.39,234000
2014-04-15,118.14,170500
2014-04-16,118.24,219900
2014-04-17,117.94,151700
2014-04-21,118.33,282600
2014-04-22,118.75,249300
2014-04-23,119.88,203200
2014-04-24,120.65,312400
2014-04-25,123.75,466000
2014-04-28,124.09,214400
2014-04-29,126.51,401400
2014-04-30,126.44,287500
2014-05-01,127.72,302900
2014-05-02,128.38,253600
2014-05-05,129.88,351500
2014-05-06,129.93,348600
2014-05-07,129.38,483300
2014-05-08,130.85,336700
2014-05-09,131.3,261900
2014-05-12,132.46,201200
2014-05-13,128.88,423100
2014-05-14,127.98,337400
2014-05-15,126.79,247600
2014-05-16,127.09,257100
2014-05-19,127.71,237900
2014-05-20,127.56,179400
2014-05-21,127.64,184800
2014-05-22,128.24,139500
2014-05-23,128.59,198100
2014-05-27,129.2,161500
2014-05-28,127.55,290300
2014-05-29,128.1,176300
2014-05-30,128.48,315200
2014-06-02,129.17,153100
2014-06-03,129.83,186900
2014-06-04,130.77,143300
2014-06-05,130.97,139400
2014-06-06,131.35,145300
2014-06-09,130.79,134100
2014-06-10,130.68,160500
2014-06-11,131.94,244100
2014-06-12,131.02,217200
2014-06-13,130.98,121600
2014-06-16,130.29,215900
2014-06-17,130.72,239100
2014-06-18,131.35,156600
2014-06-19,130.7,215300
2014-06-20,131.94,457800
2014-06-23,132.62,204200
2014-06-24,134.38,407800
2014-06-25,134.88,194900
2014-06-26,134.17,199500
2014-06-27,133.71,273500
2014-06-30,133.57,250600
2014-07-01,136.71,410800
2014-07-02,135.51,164900
2014-07-03,136.41,120200
2014-07-07,135.01,157600
2014-07-08,133.97,209900
2014-07-09,134.3,163600
2014-07-10,133.39,192200
2014-07-11,133.61,134100
2014-07-14,135.29,261800
2014-07-15,132.81,232700
2014-07-16,131.43,437200
2014-07-17,130.2,245100
2014-07-18,131.25,470200
2014-07-21,129.96,356400
2014-07-22,131.55,445700
2014-07-23,133.51,436700
2014-07-24,133.05,577400
2014-07-25,129.06,1435700
2014-07-28,129.4,490900
2014-07-29,128.27,372300
2014-07-30,126.71,588100
2014-07-31,124.48,421100
2014-08-01,124.67,689100
2014-08-04,126.32,351700
2014-08-05,125.76,485400
2014-08-06,126.21,316300
2014-08-07,126.27,393400
2014-08-08,127.88,291900
2014-08-11,125.9,465700
2014-08-12,126.65,403700
2014-08-13,127.585,274700
2014-08-14,127.3,327200
2014-08-15,126.34,244100
2014-08-18,127.37,297600
2014-08-19,128.78,254300
2014-08-20,124.84,1106600
2014-08-21,122.39,702300
2014-08-22,123.1,425500
2014-08-25,124.51,362800
2014-08-26,124.87,285000
2014-08-27,124.0,218000
2014-08-28,123.71,213900
2014-08-29,123.97,336700
2014-09-02,124.02,356400
2014-09-03,126.72,670500
2014-09-04,126.51,494200
2014-09-05,125.57,209900
2014-09-08,124.93,408000
2014-09-09,124.89,380300
2014-09-10,124.65,366200
2014-09-11,124.12,329100
2014-09-12,123.68,383800
2014-09-15,121.78,405700
2014-09-16,122.71,311600
2014-09-17,120.9,408200
2014-09-18,119.79,591200
2014-09-19,116.78,1373600
2014-09-22,114.67,936900
2014-09-23,115.25,900300
2014-09-24,118.71,746994
2014-09-25,117.31,631669
2014-09-26,117.76,449891
2014-09-29,119.52,437556
2014-09-30,117.83,712727
2014-10-01,120.96,1360463
2014-10-02,121.56,688621
2014-10-03,121.95,1036379
2014-10-06,122.05,419993
2014-10-07,121.5,459827
2014-10-08,122.98,380328
2014-10-09,120.84,669647
2014-10-10,119.99,611507
2014-10-13,118.455,454005
2014-10-14,117.81,331687
2014-10-15,117.67,444020
2014-10-16,118.19,553412
2014-10-17,119.35,372902
2014-10-20,120.58,422200
2014-10-21,124.4,426317
2014-10-22,124.74,559209
2014-10-23,126.35,576237
2014-10-24,135.2,1779800
2014-10-27,138.76,626362
2014-10-28,142.59,656646
2014-10-29,141.95,563204
2014-10-30,142.86,318027
2014-10-31,141.67,521124
2014-11-03,142.83,568532
2014-11-04,144.29,485909
2014-11-05,144.11,601306
2014-11-06,145.91,469841
2014-11-07,145.16,995088
2014-11-10,147.18,560134
2014-11-11,152.19,889003
2014-11-12,152.88,429860
2014-11-13,152.5,513489
2014-11-14,150.22,478696
2014-11-17,149.41,668975
2014-11-18,149.97,467675
2014-11-19,148.58,334978
2014-11-20,147.86,390478
2014-11-21,147.75,277196
2014-11-24,149.59,339321
2014-11-25,148.12,395262
2014-11-26,148.94,249409
2014-11-28,149.35,208297
2014-12-01,147.55,400072
2014-12-02,149.07,307835
2014-12-03,148.65,289281
2014-12-04,148.715,343185
2014-12-05,148.62,305906
2014-12-08,147.84,429885
2014-12-09,149.26,328171
2014-12-10,147.04,250534
2014-12-11,149.09,357692
2014-12-12,148.86,313878
2014-12-15,146.5,491654
2014-12-16,143.37,476621
2014-12-17,144.5,345723
2014-12-18,147.98,289003
2014-12-19,148.24,794520
2014-12-22,148.48,249667
2014-12-23,147.23,230126
2014-12-24,148.68,98475
2014-12-26,148.64,209006
2014-12-29,150.25,293122
2014-12-30,149.7,169311
2014-12-31,148.27,309545
2015-01-02,147.33,257320
2015-01-05,146.31,311183
2015-01-06,146.78,650922
2015-01-07,149.74,286440
2015-01-08,150.83,479967
2015-01-09,149.99,351009
2015-01-12,151.27,295462
2015-01-13,156.0,461254
2015-01-14,160.45,940573
2015-01-15,158.33,465317
2015-01-16,159.49,374933
2015-01-20,160.0,367131
2015-01-21,159.83,280669
2015-01-22,165.34,504583
2015-01-23,167.06,393168
2015-01-26,166.1,469762
2015-01-27,164.88,439716
2015-01-28,162.125,525592
2015-01-29,163.32,450123
2015-01-30,158.42,844235
2015-02-02,158.26,653643
2015-02-03,156.91,406571
2015-02-04,155.37,305717
2015-02-05,155.98,299730
2015-02-06,154.74,399976
2015-02-09,152.87,381796
2015-02-10,154.3,302931
2015-02-11,157.27,580827
2015-02-12,157.36,349577
2015-02-13,159.08,387714
2015-02-17,156.01,468358
2015-02-18,156.68,312623
2015-02-19,156.54,212910
2015-02-20,158.15,240894
2015-02-23,158.46,242756
2015-02-24,156.99,214408
2015-02-25,157.09,224618
2015-02-26,158.03,229691
2015-02-27,156.83,284368
2015-03-02,159.46,309574
2015-03-03,157.23,249881
2015-03-04,157.57,347655
2015-03-05,157.89,359074
2015-03-06,154.53,296616
2015-03-09,152.42,448738
2015-03-10,150.48,431366
2015-03-11,149.97,293674
2015-03-12,150.32,239693
2015-03-13,149.0,254665
2015-03-16,152.43,329963
2015-03-17,151.68,179852
2015-03-18,151.65,295830
2015-03-19,154.45,319314
2015-03-20,152.8,549815
2015-03-23,154.43,325533
2015-03-24,152.57,235420
2015-03-25,150.1,205189
2015-03-26,150.15,171680
2015-03-27,153.17,227215
2015-03-30,156.11,331340
2015-03-31,154.48,335398
2015-04-01,151.76,325479
2015-04-02,153.08,199484
2015-04-06,153.08,364621
2015-04-07,151.07,214099
2015-04-08,153.41,293531
2015-04-09,152.78,116090
2015-04-10,153.56,106972
2015-04-13,152.81,110321
2015-04-14,151.81,177170
2015-04-15,150.99,104832
2015-04-16,151.99,162692
2015-04-17,149.42,191992
2015-04-20,152.12,251912
2015-04-21,155.22,194958
2015-04-22,155.97,245384
2015-04-23,159.4,417074
2015-04-24,164.05,533995
2015-04-27,161.06,531192
2015-04-28,133.56,2453974
2015-04-29,130.58,1982268
2015-04-30,125.37,954003
2015-05-01,132.93,965061
2015-05-04,130.52,658190
2015-05-05,126.96,566302
2015-05-06,127.9,674967
