date,close,volume
2014-01-02,44.22,171900
2014-01-03,44.34,126100
2014-01-06,43.59,121900
2014-01-07,43.86,155000
2014-01-08,43.1,373000
2014-01-09,43.76,188900
2014-01-10,43.48,216500
2014-01-13,43.76,202200
2014-01-14,44.08,162700
2014-01-15,43.84,154300
2014-01-16,43.76,138200
2014-01-17,43.17,120800
2014-01-21,43.15,116400
2014-01-22,42.71,131200
2014-01-23,42.6,287000
2014-01-24,42.49,278400
2014-01-27,41.96,215900
2014-01-28,42.72,315300
2014-01-29,42.07,329000
2014-01-30,42.49,149900
2014-01-31,42.02,139600
2014-02-03,39.95,190200
2014-02-04,39.51,165200
2014-02-05,39.44,182300
2014-02-06,39.44,191500
2014-02-07,39.83,200500
2014-02-10,39.98,160500
2014-02-11,41.4,229200
2014-02-12,41.45,141600
2014-02-13,41.87,111700
2014-02-14,41.78,114100
2014-02-18,42.93,218100
2014-02-19,42.75,230600
2014-02-20,43.3,130900
2014-02-21,43.27,179200
2014-02-24,43.74,222600
2014-02-25,43.58,149900
2014-02-26,43.86,104300
2014-02-27,43.63,82900
2014-02-28,43.32,154600
2014-03-03,43.41,184300
2014-03-04,45.92,459800
2014-03-05,45.5,80432
2014-03-06,45.51,65367
2014-03-07,45.02,119800
2014-03-10,45.07,136100
2014-03-11,44.85,110400
2014-03-12,44.97,152100
2014-03-13,45.12,179600
2014-03-14,45.4,161600
2014-03-17,46.07,141000
2014-03-18,47.06,160300
2014-03-19,46.72,79200
2014-03-20,46.52,153700
2014-03-21,46.43,266300
2014-03-24,45.32,282800
2014-03-25,47.08,340400
2014-03-26,45.28,279900
2014-03-27,44.68,140100
2014-03-28,44.58,212200
2014-03-31,44.95,187400
2014-04-01,45.63,199500
2014-04-02,45.54,87700
2014-04-03,44.62,92300
2014-04-04,42.67,173500
2014-04-07,41.65,179400
2014-04-08,42.01,146400
2014-04-09,42.63,127300
2014-04-10,40.97,118800
2014-04-11,40.57,143400
2014-04-14,41.59,145700
2014-04-15,42.1,149000
2014-04-16,42.23,88800
2014-04-17,42.25,95400
2014-04-21,42.89,82700
2014-04-22,43.28,121100
2014-04-23,42.66,92200
2014-04-24,42.38,86600
2014-04-25,41.41,138400
2014-04-28,41.87,166100
2014-04-29,41.72,132900
2014-04-30,41.775,116200
2014-05-01,40.96,192900
2014-05-02,40.68,121300
2014-05-05,40.7,124100
2014-05-06,39.01,263500
2014-05-07,38.3,300100
2014-05-08,36.98,210000
2014-05-09,36.73,298800
2014-05-12,38.53,178600
2014-05-13,37.84,148300
2014-05-14,36.97,146800
2014-05-15,36.45,173000
2014-05-16,36.31,296800
2014-05-19,37.19,114300
2014-05-20,36.6,228800
2014-05-21,36.53,116700
2014-05-22,37.03,105800
2014-05-23,37.48,85400
2014-05-27,38.0,82500
2014-05-28,37.74,138400
2014-05-29,37.67,106100
2014-05-30,37.79,129900
2014-06-02,37.0,150400
2014-06-03,36.97,150400
2014-06-04,37.04,83000
2014-06-05,37.67,154900
2014-06-06,37.98,122000
2014-06-09,38.32,118500
2014-06-10,38.41,153600
2014-06-11,38.27,156100
2014-06-12,37.48,66000
2014-06-13,36.78,119700
2014-06-16,38.04,119400
2014-06-17,39.0,128400
2014-06-18,39.33,125900
2014-06-19,39.26,88300
2014-06-20,39.54,219300
2014-06-23,39.18,120100
2014-06-24,39.04,157300
2014-06-25,39.4,103900
2014-06-26,38.69,103500
2014-06-27,39.83,181400
2014-06-30,40.47,319900
2014-07-01,41.52,228700
2014-07-02,41.13,175500
2014-07-03,41.88,89300
2014-07-07,41.69,288600
2014-07-08,41.16,226900
