date,close,volume
2014-04-11,17.0,4251100
2014-04-14,16.67,390700
2014-04-15,16.24,209700
2014-04-16,16.31,101300
2014-04-17,16.02,139600
2014-04-21,16.13,158200
2014-04-22,16.82,171400
2014-04-23,17.11,132700
2014-04-24,17.14,97200
2014-04-25,17.87,84800
2014-04-28,17.96,80500
2014-04-29,17.55,67000
2014-04-30,17.66,50800
2014-05-01,17.59,83300
2014-05-02,17.78,51300
2014-05-05,17.96,44800
2014-05-06,17.82,154700
2014-05-07,17.97,88300
2014-05-08,17.84,77200
2014-05-09,17.76,56200
2014-05-12,17.73,27100
2014-05-13,17.84,130700
2014-05-14,17.91,501800
2014-05-15,17.96,91400
2014-05-16,17.9,53800
2014-05-19,18.47,111000
2014-05-20,18.64,128600
2014-05-21,18.39,103900
2014-05-22,18.61,148000
2014-05-23,18.65,39600
2014-05-27,18.92,81400
2014-05-28,18.54,131400
2014-05-29,19.06,108700
2014-05-30,19.03,93500
2014-06-02,19.21,100600
2014-06-03,19.66,176900
2014-06-04,20.34,213600
2014-06-05,20.67,95900
2014-06-06,20.55,61000
2014-06-09,21.75,377700
2014-06-10,21.99,180400
2014-06-11,23.11,211400
2014-06-12,22.22,222600
2014-06-13,21.93,169700
2014-06-16,20.9,169200
2014-06-17,20.03,359800
2014-06-18,20.68,250900
2014-06-19,20.76,138500
2014-06-20,20.49,1157500
2014-06-23,20.92,270500
2014-06-24,21.04,171400
2014-06-25,21.93,229300
2014-06-26,21.76,105600
2014-06-27,20.72,2300300
2014-06-30,21.95,231700
2014-07-01,22.16,132000
2014-07-02,22.41,107400
2014-07-03,22.5,67800
2014-07-07,21.92,278900
2014-07-08,20.37,220200
2014-07-09,20.2,314800
2014-07-10,19.61,213700
2014-07-11,20.2,122900
2014-07-14,20.21,94000
2014-07-15,19.55,189800
2014-07-16,19.74,153000
2014-07-17,19.62,102900
2014-07-18,20.07,48600
2014-07-21,20.09,50300
2014-07-22,19.81,148300
2014-07-23,20.22,95000
2014-07-24,19.94,61100
2014-07-25,19.76,87700
2014-07-28,19.58,110500
2014-07-29,19.56,76500
2014-07-30,19.12,112000
2014-07-31,18.96,114700
2014-08-01,19.01,101200
2014-08-04,18.61,64100
2014-08-05,18.45,43300
2014-08-06,18.31,97600
2014-08-07,18.06,185800
2014-08-08,18.62,82200
2014-08-11,18.99,95300
2014-08-12,18.37,82700
2014-08-13,18.89,81800
2014-08-14,18.88,53400
2014-08-15,18.52,43100
2014-08-18,19.07,49600
2014-08-19,19.08,22800
2014-08-20,18.88,37900
2014-08-21,19.18,48200
2014-08-22,19.03,84400
2014-08-25,19.26,23200
2014-08-26,19.4,35700
2014-08-27,19.0,30800
2014-08-28,19.07,26300
2014-08-29,19.14,21300
2014-09-02,18.8,196900
2014-09-03,18.97,103000
2014-09-04,19.0,50200
2014-09-05,19.9,58600
2014-09-08,19.88,69400
2014-09-09,19.65,64200
2014-09-10,19.85,51200
2014-09-11,20.0,48600
2014-09-12,19.95,62800
2014-09-15,20.1,54500
2014-09-16,20.83,110600
2014-09-17,22.64,170000
2014-09-18,22.41,60600
2014-09-19,22.71,119700
2014-09-22,22.12,72300
2014-09-23,21.95,134100
2014-09-24,22.39,59519
2014-09-25,22.01,80064
2014-09-26,22.55,48612
2014-09-29,22.22,121193
2014-09-30,22.41,129897
2014-10-01,22.3,156129
2014-10-02,21.61,178770
2014-10-03,21.13,63594
2014-10-06,21.09,91585
2014-10-07,21.35,54431
2014-10-08,22.46,113446
2014-10-09,22.39,101516
2014-10-10,23.43,111395
2014-10-13,24.68,333833
2014-10-14,24.69,135676
2014-10-15,24.02,217514
2014-10-16,23.83,152222
2014-10-17,23.62,75826
2014-10-20,24.14,74206
2014-10-21,24.305,42698
2014-10-22,24.6,75224
2014-10-23,24.23,120742
2014-10-24,23.89,114291
2014-10-27,23.84,189391
2014-10-28,24.37,112753
2014-10-29,24.81,60527
2014-10-30,25.65,76195
2014-10-31,25.92,75225
2014-11-03,25.77,45760
2014-11-04,26.35,48679
2014-11-05,26.6,45368
2014-11-06,26.86,52542
2014-11-07,28.34,116827
2014-11-10,27.81,101088
2014-11-11,27.92,105158
2014-11-12,29.88,393906
2014-11-13,29.46,272616
2014-11-14,31.5,303821
2014-11-17,30.85,193504
2014-11-18,31.2,230107
2014-11-19,30.5,198356
2014-11-20,30.76,142925
2014-11-21,30.59,265863
2014-11-24,30.67,133358
2014-11-25,30.4,267442
2014-11-26,30.26,146632
2014-11-28,30.56,94402
2014-12-01,30.68,387366
2014-12-02,31.02,453239
2014-12-03,31.33,284038
2014-12-04,31.23,178939
2014-12-05,31.96,291334
2014-12-08,32.99,139460
2014-12-09,32.12,314209
2014-12-10,31.71,185337
2014-12-11,31.88,147728
2014-12-12,31.0,143599
2014-12-15,29.18,186309
2014-12-16,29.1,278716
2014-12-17,29.76,104347
2014-12-18,29.26,79050
2014-12-19,29.75,201192
2014-12-22,29.32,115906
2014-12-23,28.16,115775
2014-12-24,28.7,86968
2014-12-26,30.7,105508
2014-12-29,29.75,103422
2014-12-30,30.3,112949
2014-12-31,31.55,105592
2015-01-02,30.85,100446
2015-01-05,30.43,119833
2015-01-06,29.82,86101
2015-01-07,30.25,57583
2015-01-08,30.35,275514
2015-01-09,30.23,292950
2015-01-12,29.54,103698
2015-01-13,29.32,130948
2015-01-14,29.07,62805
2015-01-15,28.88,89779
2015-01-16,28.72,226159
2015-01-20,28.77,116800
2015-01-21,28.19,93813
2015-01-22,28.95,135064
2015-01-23,29.02,172596
2015-01-26,28.78,216237
2015-01-27,28.74,196193
2015-01-28,28.24,439606
2015-01-29,28.42,111173
2015-01-30,27.33,133423
2015-02-02,27.88,91902
2015-02-03,28.285,207455
2015-02-04,27.91,93762
2015-02-05,28.08,77633
2015-02-06,27.95,82874
2015-02-09,27.9,148044
2015-02-10,28.04,103585
2015-02-11,29.7,452163
2015-02-12,30.49,614052
2015-02-13,30.85,374536
2015-02-17,33.0,435671
2015-02-18,33.13,149695
2015-02-19,34.36,109323
2015-02-20,34.5,325562
2015-02-23,34.65,160521
2015-02-24,35.85,144658
2015-02-25,36.13,205979
2015-02-26,36.39,185029
2015-02-27,36.27,288939
2015-03-02,37.3,152027
2015-03-03,36.31,132769
2015-03-04,36.3,174963
2015-03-05,34.91,175541
2015-03-06,35.01,228956
2015-03-09,35.3,190354
2015-03-10,35.08,343356
2015-03-11,36.09,370439
2015-03-12,36.385,281162
2015-03-13,35.98,239215
2015-03-16,35.48,197362
2015-03-17,35.2,111230
2015-03-18,34.98,358386
2015-03-19,35.74,275990
2015-03-20,35.57,997413
2015-03-23,34.9,241950
2015-03-24,34.31,232479
2015-03-25,34.35,239197
2015-03-26,34.24,142583
2015-03-27,34.43,195072
2015-03-30,35.42,304150
2015-03-31,35.41,99226
2015-04-01,35.67,224772
2015-04-02,33.7,169976
2015-04-06,33.69,306832
2015-04-07,33.97,192827
2015-04-08,34.06,549782
2015-04-09,34.49,256545
2015-04-10,34.48,74424
2015-04-13,33.99,236822
2015-04-14,33.89,128573
2015-04-15,33.75,110343
2015-04-16,34.24,180568
2015-04-17,33.39,87620
2015-04-20,34.0,87152
2015-04-21,32.35,351305
2015-04-22,33.44,179315
2015-04-23,33.21,118587
2015-04-24,33.21,64969
2015-04-27,32.74,78466
2015-04-28,32.93,83504
2015-04-29,33.87,144347
2015-04-30,31.76,151731
2015-05-01,33.67,125822
2015-05-04,34.16,145464
2015-05-05,33.59,205410
2015-05-06,33.91,76107
2015-05-07,33.86,115334
2015-05-08,34.04,64472
2015-05-11,34.03,112005
2015-05-12,36.73,347874
2015-05-13,35.8,207386
2015-05-14,36.46,148314
2015-05-15,36.47,122288
2015-05-18,37.5,46902
2015-05-19,36.68,21359
2015-05-20,36.02,69409
2015-05-21,35.45,90983
2015-05-22,35.78,60119
2015-05-26,34.84,103760
2015-05-27,35.89,101322
2015-05-28,34.91,65895
2015-05-29,34.63,199497
2015-06-01,34.74,213771
2015-06-02,33.96,155318
2015-06-03,33.92,282060
2015-06-04,32.66,82506
2015-06-05,33.05,152870
2015-06-08,32.6,68698
2015-06-09,32.35,125650
2015-06-10,32.52,66780
2015-06-11,32.23,145417
2015-06-12,32.51,83518
2015-06-15,32.36,661388
2015-06-16,33.37,112145
2015-06-17,34.3,162130
2015-06-18,36.53,158194
2015-06-19,36.75,271556
2015-06-22,36.36,75868
2015-06-23,36.43,76239
2015-06-24,36.4,94477
2015-06-25,36.89,141326
2015-06-26,36.78,405960
2015-06-29,36.2,105438
2015-06-30,38.94,458195
2015-07-01,38.03,221945
2015-07-02,37.89,80301
2015-07-06,38.04,123005
2015-07-07,37.47,138086
2015-07-08,36.61,89597
2015-07-09,37.35,277755
2015-07-10,38.43,72455
2015-07-13,38.34,109929
2015-07-14,38.38,89578
2015-07-15,37.75,109692
2015-07-16,38.23,49252
2015-07-17,38.19,58921
2015-07-20,38.11,112609
2015-07-21,38.18,93403
2015-07-22,38.36,124813
2015-07-23,37.95,111256
2015-07-24,37.85,194351
2015-07-27,36.57,59910
2015-07-28,36.96,70073
2015-07-29,37.15,129565
2015-07-30,38.81,144708
2015-07-31,39.28,143446
2015-08-03,38.91,198188
2015-08-04,38.69,120852
2015-08-05,39.31,152397
2015-08-06,38.0,91830
2015-08-07,38.29,116823
2015-08-10,39.85,102999
2015-08-11,40.04,110629
2015-08-12,39.45,115187
2015-08-13,38.07,158147
2015-08-14,37.19,95541
2015-08-17,37.92,94859
2015-08-18,37.77,103828
2015-08-19,37.1,83591
2015-08-20,35.44,59224
2015-08-21,35.0,201915
2015-08-24,33.72,105383
2015-08-25,34.39,148906
2015-08-26,34.33,176626
2015-08-27,35.29,108395
2015-08-28,35.63,238810
2015-08-31,35.3,96079
2015-09-01,35.22,129863
2015-09-02,35.51,129400
2015-09-03,34.88,84560
2015-09-04,35.14,127856
2015-09-08,35.41,148193
2015-09-09,34.3,182560
