date,close,volume
2014-01-02,32.36,2576100
2014-01-03,32.05,2524900
2014-01-06,31.98,2763200
2014-01-07,32.1,2338200
2014-01-08,31.74,3965900
2014-01-09,31.96,2303300
2014-01-10,32.54,2999900
2014-01-13,31.78,4042800
2014-01-14,31.85,2334500
2014-01-15,31.81,2916300
2014-01-16,32.0,1960400
2014-01-17,31.73,2502500
2014-01-21,31.27,5681900
2014-01-22,31.46,5693600
2014-01-23,31.74,3263800
2014-01-24,31.46,4520900
2014-01-27,31.36,6934000
2014-01-28,31.44,4203400
2014-01-29,30.78,3152000
2014-01-30,30.67,4700400
2014-01-31,30.36,5302200
2014-02-03,30.37,6569400
2014-02-04,30.23,3657300
2014-02-05,30.13,3758700
2014-02-06,30.05,3327100
2014-02-07,30.7,4130100
2014-02-10,31.14,6339700
2014-02-11,29.13,29137200
2014-02-12,30.0,14394200
2014-02-13,29.67,7891600
2014-02-14,29.88,5571100
2014-02-18,30.27,6087800
2014-02-19,29.75,6169900
2014-02-20,29.97,4699300
2014-02-21,29.61,3235700
2014-02-24,29.7,3105500
2014-02-25,30.13,4412600
2014-02-26,30.4,3647400
2014-02-27,30.72,3778000
2014-02-28,31.02,5186800
2014-03-03,30.99,3534700
2014-03-04,30.89,5501800
2014-03-05,30.72,4399200
2014-03-06,30.78,3617500
2014-03-07,30.58,4421500
2014-03-10,30.35,3902900
2014-03-11,30.28,2641400
2014-03-12,29.7,4363300
2014-03-13,29.25,4090900
2014-03-14,29.42,4021900
2014-03-17,29.38,3837100
2014-03-18,29.28,5453400
2014-03-19,29.91,5692400
2014-03-20,30.09,3672400
2014-03-21,29.26,9668600
2014-03-24,29.14,4632800
2014-03-25,29.26,3182000
2014-03-26,29.21,3914800
2014-03-27,29.3,2984200
2014-03-28,29.01,6398900
2014-03-31,28.94,8689200
2014-04-01,29.35,3658000
2014-04-02,29.62,2341200
2014-04-03,29.62,2896500
2014-04-04,29.32,4963400
2014-04-07,29.0,4073700
2014-04-08,29.15,4744600
2014-04-09,29.06,3631300
2014-04-10,28.86,5372600
2014-04-11,28.4,3185500
2014-04-14,28.48,2559900
2014-04-15,28.55,3231600
2014-04-16,28.53,4220000
2014-04-17,28.6,3425800
2014-04-21,29.03,4437500
2014-04-22,29.89,8353800
2014-04-23,29.318,3803300
2014-04-24,29.89,4412100
2014-04-25,30.16,4857700
2014-04-28,30.4,3704400
2014-04-29,30.53,2531700
2014-04-30,30.26,4116100
2014-05-01,30.31,3207000
2014-05-02,30.64,3042100
2014-05-05,30.53,4425200
