window,label,N,CAAR,SE,t_stat,bootstrap_p,underpowered
CAR_1_20,a_HPAI_all,60,-0.021137639658415218,0.016808262827203033,-1.2575743178054892,0.1,False
CAR_1_40,a_HPAI_all,60,-0.008419120139074386,0.020414227338799183,-0.4124143421814965,0.334,False
CAR_1_60,a_HPAI_all,60,-0.032973098058961384,0.027637377195666737,-1.193061766517093,0.118,False
CAR_pre_20_1,a_HPAI_all,52,-0.004201710573869574,0.013477705893499474,-0.3117526533871117,0.375,False
CAR_leak_5_0,a_HPAI_all,52,-0.005990642247211956,0.0061802964827598564,-0.9693130845620518,0.181,False
CAR_1_20,a_HPAI_major,24,-0.03616347836681116,0.021598163723195108,-1.6743774531153215,0.043,False
CAR_1_20,a_HPAI_minor,36,-0.011120413852817914,0.024129023046158535,-0.4608729425781017,0.32,False
CAR_1_40,a_HPAI_major,24,-0.008814456417775627,0.030779425489479068,-0.28637494942160496,0.373,False
CAR_1_40,a_HPAI_minor,36,-0.008155562619940228,0.02749178569168437,-0.2966545247880023,0.389,False
CAR_1_60,a_HPAI_major,24,0.03598894812369883,0.04283887972752144,0.8401001228932246,0.177,False
CAR_1_60,a_HPAI_minor,36,-0.07894779551406818,0.034511269931444745,-2.28759462259415,0.016,False
CAR_1_20,b_all_livestock,129,-0.020853838624548027,0.009635623816508898,-2.1642437502405136,0.021,False
CAR_1_40,b_all_livestock,129,-0.026302569231981696,0.012554413243522205,-2.09508550672834,0.025,False
CAR_1_60,b_all_livestock,129,-0.04524368923470135,0.01645507496830088,-2.749527991933125,0.005,False
CAR_pre_20_1,b_all_livestock,114,-0.016065396801758235,0.009856283280732127,-1.6299650024430805,0.057,False
CAR_leak_5_0,b_all_livestock,114,-0.008227221682201687,0.0056288784643495115,-1.4616094012881564,0.071,False
CAR_1_20,b_all_major,39,-0.028978000509808897,0.016355647026543737,-1.7717428398142991,0.038,False
CAR_1_20,b_all_minor,90,-0.017333368474268314,0.011892808495526297,-1.457466373967813,0.079,False
CAR_1_40,b_all_major,39,-0.02304994991439889,0.02400005781517977,-0.9604122661662946,0.157,False
CAR_1_40,b_all_minor,90,-0.02771203760293425,0.014773712047875623,-1.8757667343949,0.027,False
CAR_1_60,b_all_major,39,0.02033761564032612,0.031185945546659086,0.6521404204306662,0.259,False
CAR_1_60,b_all_minor,90,-0.0736622546805466,0.01866046734120246,-3.947503207376793,0.0,False
CAR_1_20,c_ASF_all,18,0.009675077395996743,0.018708552001288133,0.5171473129150022,0.295,True
CAR_1_40,c_ASF_all,18,-0.05678963444273924,0.026932031186541524,-2.108627977199067,0.019,True
CAR_1_60,c_ASF_all,18,-0.08141550499839004,0.02296034131542546,-3.5459187596524364,0.0,True
CAR_1_20,c_ASF_major,9,-0.009937194818901466,0.03608482957674034,-0.2753842801936582,0.373,True
CAR_1_40,c_ASF_major,9,-0.09604201375712469,0.04144576836207603,-2.317293599628513,0.006,True
CAR_1_60,c_ASF_major,9,-0.07516629562857242,0.030681624586491412,-2.4498799083040357,0.005,True
CAR_1_20,c_ASF_minor,9,0.02928734961089495,0.009448117298997857,3.0998080023838614,0.003,True
CAR_1_40,c_ASF_minor,9,-0.01753725512835377,0.031300667016960354,-0.5602837511050853,0.268,True
CAR_1_60,c_ASF_minor,9,-0.08766471436820764,0.03590791235800535,-2.441375970125525,0.011,True
CAR_1_20,c_BTV_all,12,-0.02709014932526481,0.030172376656050184,-0.8978460541600284,0.175,True
CAR_1_40,c_BTV_all,12,-0.017230623726450015,0.04193033348987809,-0.4109345739072039,0.325,True
CAR_1_60,c_BTV_all,12,0.008460172455145984,0.05769429615295712,0.14663793510396014,0.47,True
CAR_1_20,c_BTV_major,6,-0.028797297618160956,0.03683012105023003,-0.7818952747639991,0.204,True
CAR_1_40,c_BTV_major,6,0.029496171863196797,0.06773166424548578,0.4354857095536771,0.336,True
CAR_1_60,c_BTV_major,6,0.10098815261018312,0.08823298591141156,1.1445623376225544,0.106,True
CAR_1_20,c_BTV_minor,6,-0.02538300103236865,0.05145886336517647,-0.4932678137921324,0.285,True
CAR_1_40,c_BTV_minor,6,-0.06395741931609683,0.04769629860927002,-1.3409304533259185,0.073,True
CAR_1_60,c_BTV_minor,6,-0.08406780769989115,0.0586203830617202,-1.4341053966054413,0.057,True
CAR_1_20,c_FMD_all,21,-0.05552451429090563,0.01953901084655381,-2.841725956700554,0.004,False
CAR_1_40,c_FMD_all,21,-0.05534197372487171,0.030571040909487063,-1.8102744322224738,0.027,False
CAR_1_60,c_FMD_all,21,-0.08630987763622122,0.04209936013180749,-2.0501470180543477,0.023,False
CAR_1_20,c_FMD_minor,21,-0.05552451429090563,0.01953901084655381,-2.841725956700554,0.004,False
CAR_1_40,c_FMD_minor,21,-0.05534197372487171,0.030571040909487063,-1.8102744322224738,0.027,False
CAR_1_60,c_FMD_minor,21,-0.08630987763622122,0.04209936013180749,-2.0501470180543477,0.023,False
CAR_1_20,c_HPAI_all,60,-0.021137639658415218,0.016808262827203033,-1.2575743178054892,0.1,False
CAR_1_40,c_HPAI_all,60,-0.008419120139074386,0.020414227338799183,-0.4124143421814965,0.334,False
CAR_1_60,c_HPAI_all,60,-0.032973098058961384,0.027637377195666737,-1.193061766517093,0.118,False
CAR_1_20,c_HPAI_major,24,-0.03616347836681116,0.021598163723195108,-1.6743774531153215,0.043,False
CAR_1_40,c_HPAI_major,24,-0.008814456417775627,0.030779425489479068,-0.28637494942160496,0.373,False
CAR_1_60,c_HPAI_major,24,0.03598894812369883,0.04283887972752144,0.8401001228932246,0.177,False
CAR_1_20,c_HPAI_minor,36,-0.011120413852817914,0.024129023046158535,-0.4608729425781017,0.32,False
CAR_1_40,c_HPAI_minor,36,-0.008155562619940228,0.02749178569168437,-0.2966545247880023,0.389,False
CAR_1_60,c_HPAI_minor,36,-0.07894779551406818,0.034511269931444745,-2.28759462259415,0.016,False
CAR_1_20,c_NCD_all,6,-0.008901447499980453,0.03764709412506344,-0.23644447750495412,0.415,True
CAR_1_40,c_NCD_all,6,-0.01848817881304467,0.050048922225595205,-0.3694021367674876,0.319,True
CAR_1_60,c_NCD_all,6,0.010796569366020156,0.05856159290209797,0.18436263139340545,0.436,True
CAR_1_20,c_NCD_minor,6,-0.008901447499980453,0.03764709412506344,-0.23644447750495412,0.415,True
CAR_1_40,c_NCD_minor,6,-0.01848817881304467,0.050048922225595205,-0.3694021367674876,0.319,True
CAR_1_60,c_NCD_minor,6,0.010796569366020156,0.05856159290209797,0.18436263139340545,0.436,True
CAR_1_20,c_PRRS_all,12,-0.0042944099314704874,0.02062901438911592,-0.20817329662323866,0.383,True
CAR_1_40,c_PRRS_all,12,-0.032149399732824595,0.03372724439228917,-0.9532175044865122,0.155,True
CAR_1_60,c_PRRS_all,12,-0.06219708275541654,0.0383500658704541,-1.6218246655825124,0.051,True
CAR_1_20,c_PRRS_minor,12,-0.0042944099314704874,0.02062901438911592,-0.20817329662323866,0.383,True
CAR_1_40,c_PRRS_minor,12,-0.032149399732824595,0.03372724439228917,-0.9532175044865122,0.155,True
CAR_1_60,c_PRRS_minor,12,-0.06219708275541654,0.0383500658704541,-1.6218246655825124,0.051,True
CAR_1_20,placebo,100,0.008030857565981297,0.008254279655477273,0.9729325757278262,0.171,False
CAR_1_40,placebo,100,0.0016096875563494384,0.01269414280094977,0.1268055339844611,0.426,False
CAR_1_60,placebo,100,0.014812170668876364,0.015237473410173693,0.9720883685996548,0.155,False
