rebalance_date,n_universe,n_computed,n_valid_signal,n_adj,n_fallback,pct_fallback
2015-01-01,361,361,361,361,0,0.0
2015-02-01,359,359,359,359,0,0.0
2015-03-01,362,362,362,361,1,0.27624309392265195
2015-04-01,360,360,360,360,0,0.0
2015-05-01,369,369,369,369,0,0.0
2015-06-01,374,374,374,374,0,0.0
2015-07-01,391,391,391,391,0,0.0
2015-08-01,394,394,394,393,1,0.25380710659898476
2015-09-01,417,417,417,417,0,0.0
2015-10-01,424,424,424,424,0,0.0
2015-11-01,401,401,401,401,0,0.0
2015-12-01,400,400,398,400,0,0.0
2016-01-01,412,412,410,412,0,0.0
2016-02-01,427,427,425,426,1,0.234192037470726
2016-03-01,412,412,410,412,0,0.0
2016-04-01,402,402,400,402,0,0.0
2016-05-01,398,398,396,398,0,0.0
2016-06-01,395,395,393,395,0,0.0
2016-07-01,414,414,412,414,0,0.0
2016-08-01,403,403,401,403,0,0.0
2016-09-01,396,396,394,396,0,0.0
2016-10-01,387,387,385,387,0,0.0
2016-11-01,404,404,402,404,0,0.0
2016-12-01,387,387,385,387,0,0.0
2017-01-01,384,384,382,384,0,0.0
2017-02-01,391,391,389,391,0,0.0
2017-03-01,393,393,391,393,0,0.0
2017-04-01,404,404,402,404,0,0.0
2017-05-01,406,406,404,405,1,0.24630541871921183
2017-06-01,428,428,426,428,0,0.0
2017-07-01,428,428,426,427,1,0.2336448598130841
2017-08-01,417,417,415,417,0,0.0
2017-09-01,414,414,412,413,1,0.24154589371980675
2017-10-01,390,390,388,390,0,0.0
2017-11-01,405,405,403,405,0,0.0
2017-12-01,406,406,404,406,0,0.0
2018-01-01,417,417,415,417,0,0.0
2018-02-01,419,419,418,419,0,0.0
2018-03-01,426,426,425,426,0,0.0
2018-04-01,429,429,428,429,0,0.0
2018-05-01,422,422,421,422,0,0.0
2018-06-01,429,429,428,429,0,0.0
2018-07-01,442,442,441,442,0,0.0
2018-08-01,435,435,434,435,0,0.0
2018-09-01,424,424,423,424,0,0.0
2018-10-01,426,426,425,426,0,0.0
2018-11-01,438,438,437,438,0,0.0
2018-12-01,439,439,438,439,0,0.0
2019-01-01,455,455,454,455,0,0.0
2019-02-01,434,434,433,434,0,0.0
2019-03-01,419,419,418,419,0,0.0
2019-04-01,440,440,439,440,0,0.0
2019-05-01,442,442,441,442,0,0.0
2019-06-01,472,472,471,472,0,0.0
2019-07-01,448,448,447,448,0,0.0
2019-08-01,448,448,447,448,0,0.0
2019-09-01,458,458,457,458,0,0.0
2019-10-01,445,445,444,445,0,0.0
2019-11-01,417,417,416,417,0,0.0
2019-12-01,422,422,421,422,0,0.0
2020-01-01,418,418,417,418,0,0.0
2020-02-01,432,432,431,432,0,0.0
2020-03-01,461,461,460,461,0,0.0
2020-04-01,512,512,511,512,0,0.0
2020-05-01,483,483,482,483,0,0.0
2020-06-01,472,472,471,472,0,0.0
2020-07-01,492,492,491,492,0,0.0
2020-08-01,493,493,492,493,0,0.0
2020-09-01,489,489,488,489,0,0.0
2020-10-01,489,489,488,489,0,0.0
2020-11-01,476,476,474,476,0,0.0
2020-12-01,460,460,459,460,0,0.0
