hold_months,rebalance_date,n_computed,n_fallback,pct_fallback
1,2015-01-01,361,0,0.0
1,2015-02-01,359,0,0.0
1,2015-03-01,362,1,0.27624309392265195
1,2015-04-01,360,0,0.0
1,2015-05-01,369,0,0.0
1,2015-06-01,374,0,0.0
1,2015-07-01,391,0,0.0
1,2015-08-01,394,1,0.25380710659898476
1,2015-09-01,417,0,0.0
1,2015-10-01,424,0,0.0
1,2015-11-01,401,0,0.0
1,2015-12-01,400,0,0.0
1,2016-01-01,412,0,0.0
1,2016-02-01,427,1,0.234192037470726
1,2016-03-01,412,0,0.0
1,2016-04-01,402,0,0.0
1,2016-05-01,398,0,0.0
1,2016-06-01,395,0,0.0
1,2016-07-01,414,0,0.0
1,2016-08-01,403,0,0.0
1,2016-09-01,396,0,0.0
1,2016-10-01,387,0,0.0
1,2016-11-01,404,0,0.0
1,2016-12-01,387,0,0.0
1,2017-01-01,384,0,0.0
1,2017-02-01,391,0,0.0
1,2017-03-01,393,0,0.0
1,2017-04-01,404,0,0.0
1,2017-05-01,406,1,0.24630541871921183
1,2017-06-01,428,0,0.0
1,2017-07-01,428,1,0.2336448598130841
1,2017-08-01,417,0,0.0
1,2017-09-01,414,1,0.24154589371980675
1,2017-10-01,390,0,0.0
1,2017-11-01,405,0,0.0
1,2017-12-01,406,0,0.0
1,2018-01-01,417,0,0.0
1,2018-02-01,419,0,0.0
1,2018-03-01,426,0,0.0
1,2018-04-01,429,0,0.0
1,2018-05-01,422,0,0.0
1,2018-06-01,429,0,0.0
1,2018-07-01,442,0,0.0
1,2018-08-01,435,0,0.0
1,2018-09-01,424,0,0.0
1,2018-10-01,426,0,0.0
1,2018-11-01,438,0,0.0
1,2018-12-01,439,0,0.0
1,2019-01-01,455,0,0.0
1,2019-02-01,434,0,0.0
1,2019-03-01,419,0,0.0
1,2019-04-01,440,0,0.0
1,2019-05-01,442,0,0.0
1,2019-06-01,472,0,0.0
1,2019-07-01,448,0,0.0
1,2019-08-01,448,0,0.0
1,2019-09-01,458,0,0.0
1,2019-10-01,445,0,0.0
1,2019-11-01,417,0,0.0
1,2019-12-01,422,0,0.0
1,2020-01-01,418,0,0.0
1,2020-02-01,432,0,0.0
1,2020-03-01,461,0,0.0
1,2020-04-01,512,0,0.0
1,2020-05-01,483,0,0.0
1,2020-06-01,472,0,0.0
1,2020-07-01,492,0,0.0
1,2020-08-01,493,0,0.0
1,2020-09-01,489,0,0.0
1,2020-10-01,489,0,0.0
1,2020-11-01,476,0,0.0
1,2020-12-01,460,0,0.0
2,2015-01-01,361,0,0.0
2,2015-03-01,362,1,0.27624309392265195
2,2015-05-01,369,0,0.0
2,2015-07-01,391,0,0.0
2,2015-09-01,417,0,0.0
2,2015-11-01,401,0,0.0
2,2016-01-01,412,0,0.0
2,2016-03-01,412,0,0.0
2,2016-05-01,398,0,0.0
2,2016-07-01,414,0,0.0
2,2016-09-01,396,0,0.0
2,2016-11-01,404,0,0.0
2,2017-01-01,384,0,0.0
2,2017-03-01,393,0,0.0
2,2017-05-01,406,1,0.24630541871921183
2,2017-07-01,428,1,0.2336448598130841
2,2017-09-01,414,1,0.24154589371980675
2,2017-11-01,405,0,0.0
2,2018-01-01,417,0,0.0
2,2018-03-01,426,0,0.0
2,2018-05-01,422,0,0.0
2,2018-07-01,442,0,0.0
2,2018-09-01,424,0,0.0
2,2018-11-01,438,0,0.0
2,2019-01-01,455,0,0.0
2,2019-03-01,419,0,0.0
2,2019-05-01,442,0,0.0
2,2019-07-01,448,0,0.0
2,2019-09-01,458,0,0.0
2,2019-11-01,417,0,0.0
2,2020-01-01,418,0,0.0
2,2020-03-01,461,0,0.0
2,2020-05-01,483,0,0.0
2,2020-07-01,492,0,0.0
2,2020-09-01,489,0,0.0
2,2020-11-01,476,0,0.0
3,2015-01-01,361,0,0.0
3,2015-04-01,360,0,0.0
3,2015-07-01,391,0,0.0
3,2015-10-01,424,0,0.0
3,2016-01-01,412,0,0.0
3,2016-04-01,402,0,0.0
3,2016-07-01,414,0,0.0
3,2016-10-01,387,0,0.0
3,2017-01-01,384,0,0.0
3,2017-04-01,404,0,0.0
3,2017-07-01,428,1,0.2336448598130841
3,2017-10-01,390,0,0.0
3,2018-01-01,417,0,0.0
3,2018-04-01,429,0,0.0
3,2018-07-01,442,0,0.0
3,2018-10-01,426,0,0.0
3,2019-01-01,455,0,0.0
3,2019-04-01,440,0,0.0
3,2019-07-01,448,0,0.0
3,2019-10-01,445,0,0.0
3,2020-01-01,418,0,0.0
3,2020-04-01,512,0,0.0
3,2020-07-01,492,0,0.0
3,2020-10-01,489,0,0.0
