rebalance_date,hold_end,n_universe,n_with_signal,n_delisted,n_valid_returns
2015-01-01,2015-02-01,361,361,0,361
2015-02-01,2015-03-01,359,359,0,359
2015-03-01,2015-04-01,362,362,0,362
2015-04-01,2015-05-01,360,360,0,360
2015-05-01,2015-06-01,369,369,1,369
2015-06-01,2015-07-01,374,374,1,374
2015-07-01,2015-08-01,391,391,1,391
2015-08-01,2015-09-01,394,394,1,394
2015-09-01,2015-10-01,417,417,1,417
2015-10-01,2015-11-01,424,424,1,424
2015-11-01,2015-12-01,401,401,1,399
2015-12-01,2016-01-01,400,398,1,398
2016-01-01,2016-02-01,412,410,1,410
2016-02-01,2016-03-01,427,425,1,425
2016-03-01,2016-04-01,412,410,1,410
2016-04-01,2016-05-01,402,400,1,400
2016-05-01,2016-06-01,398,396,1,396
2016-06-01,2016-07-01,395,393,1,393
2016-07-01,2016-08-01,414,412,1,412
2016-08-01,2016-09-01,403,401,1,401
2016-09-01,2016-10-01,396,394,1,394
2016-10-01,2016-11-01,387,385,1,385
2016-11-01,2016-12-01,404,402,1,402
2016-12-01,2017-01-01,387,385,1,385
2017-01-01,2017-02-01,384,382,1,382
2017-02-01,2017-03-01,391,389,1,389
2017-03-01,2017-04-01,393,391,1,391
2017-04-01,2017-05-01,404,402,1,402
2017-05-01,2017-06-01,406,404,1,404
2017-06-01,2017-07-01,428,426,2,426
2017-07-01,2017-08-01,428,426,2,426
2017-08-01,2017-09-01,417,415,2,415
2017-09-01,2017-10-01,414,412,2,412
2017-10-01,2017-11-01,390,388,2,388
2017-11-01,2017-12-01,405,403,2,403
2017-12-01,2018-01-01,406,404,2,404
2018-01-01,2018-02-01,417,415,2,416
2018-02-01,2018-03-01,419,418,2,418
2018-03-01,2018-04-01,426,425,2,425
2018-04-01,2018-05-01,429,428,2,428
2018-05-01,2018-06-01,422,421,2,421
2018-06-01,2018-07-01,429,428,2,428
2018-07-01,2018-08-01,442,441,2,441
2018-08-01,2018-09-01,435,434,2,434
2018-09-01,2018-10-01,424,423,3,423
2018-10-01,2018-11-01,426,425,3,425
2018-11-01,2018-12-01,438,437,3,437
2018-12-01,2019-01-01,439,438,3,438
2019-01-01,2019-02-01,455,454,3,454
2019-02-01,2019-03-01,434,433,3,433
2019-03-01,2019-04-01,419,418,3,418
2019-04-01,2019-05-01,440,439,3,439
2019-05-01,2019-06-01,442,441,3,441
2019-06-01,2019-07-01,472,471,3,471
2019-07-01,2019-08-01,448,447,3,447
2019-08-01,2019-09-01,448,447,2,447
2019-09-01,2019-10-01,458,457,3,457
2019-10-01,2019-11-01,445,444,3,444
2019-11-01,2019-12-01,417,416,3,416
2019-12-01,2020-01-01,422,421,3,421
2020-01-01,2020-02-01,418,417,3,417
2020-02-01,2020-03-01,432,431,3,431
2020-03-01,2020-04-01,461,460,3,460
2020-04-01,2020-05-01,512,511,3,511
2020-05-01,2020-06-01,483,482,3,482
2020-06-01,2020-07-01,472,471,3,471
2020-07-01,2020-08-01,492,491,3,491
2020-08-01,2020-09-01,493,492,3,492
2020-09-01,2020-10-01,489,488,3,488
2020-10-01,2020-11-01,489,488,3,488
2020-11-01,2020-12-01,476,474,3,475
2020-12-01,2021-01-01,460,459,4,459
