ticker,cik,sic,name,passed,reason
NVDA,1045810,3674.0,NVIDIA CORP,True,ok
GOOGL,1652044,7370.0,Alphabet Inc.,True,ok
AAPL,320193,3571.0,Apple Inc.,True,ok
MSFT,789019,7372.0,MICROSOFT CORP,True,ok
AMZN,1018724,5961.0,AMAZON COM INC,True,ok
AVGO,1730168,3674.0,Broadcom Inc.,True,ok
TSLA,1318605,3711.0,"Tesla, Inc.",True,ok
META,1326801,7370.0,"Meta Platforms, Inc.",True,ok
MU,723125,3674.0,MICRON TECHNOLOGY INC,True,ok
BRK-B,1067983,6331.0,BERKSHIRE HATHAWAY INC,False,financial_sic
LLY,59478,2834.0,ELI LILLY & Co,True,ok
WMT,104169,5331.0,Walmart Inc.,True,ok
JPM,19617,6021.0,JPMORGAN CHASE & CO,False,financial_sic
AMD,2488,3674.0,ADVANCED MICRO DEVICES INC,True,ok
ASML,937966,3559.0,ASML HOLDING NV,False,no_filings_in_window
INTC,50863,3674.0,INTEL CORP,True,ok
V,1403161,7389.0,VISA INC.,True,ok
XOM,34088,2911.0,EXXON MOBIL CORP,True,ok
JNJ,200406,2834.0,JOHNSON & JOHNSON,True,ok
ORCL,1341439,7372.0,ORACLE CORP,True,ok
CSCO,858877,3576.0,"CISCO SYSTEMS, INC.",True,ok
LRCX,707549,3559.0,LAM RESEARCH CORP,True,ok
AMAT,6951,3674.0,APPLIED MATERIALS INC /DE,True,ok
COST,909832,5331.0,COSTCO WHOLESALE CORP /NEW,True,ok
MA,1141391,7389.0,Mastercard Inc,True,ok
CAT,18230,3531.0,CATERPILLAR INC,True,ok
ARM,1973239,3674.0,ARM HOLDINGS PLC /UK,False,no_filings_in_window
ABBV,1551152,2834.0,AbbVie Inc.,True,ok
BAC,70858,6021.0,BANK OF AMERICA CORP /DE/,False,financial_sic
CVX,93410,2911.0,CHEVRON CORP,True,ok
UNH,731766,6324.0,UNITEDHEALTH GROUP INC,False,financial_sic
KO,21344,2080.0,COCA COLA CO,True,ok
GE,40545,3600.0,GENERAL ELECTRIC CO,True,ok
PG,80424,2840.0,PROCTER & GAMBLE Co,True,ok
NFLX,1065280,7841.0,NETFLIX INC,False,fund_etf
MS,895421,6211.0,MORGAN STANLEY,False,financial_sic
KLAC,319201,3827.0,KLA CORP,True,ok
HD,354950,5211.0,"HOME DEPOT, INC.",True,ok
HSBC,1089113,6035.0,HSBC HOLDINGS PLC,False,financial_sic
GS,886982,6211.0,GOLDMAN SACHS GROUP INC,False,financial_sic
