date,open,high,low,close,volume
2009-05-11,13.34,18.22,9.26,9.77,174109
2009-05-12,11.04,11.04,9.55,9.99,12259
2009-05-13,9.7,9.7,9.55,9.69,1275
2009-05-14,9.65,9.8,9.2,9.32,9568
2009-05-15,9.38,9.38,9.04,9.04,3346
2009-05-18,9.04,9.82,9.0,9.04,4845
2009-05-19,9.4,9.55,9.39,9.5,4350
2009-05-20,9.82,9.82,9.7,9.7,3592
2009-05-21,9.6,9.6001,9.6,9.6,1775
2009-05-22,9.8001,9.8001,9.8,9.8,2166
2009-05-26,9.3,9.3,9.3,9.3,1200
2009-05-27,9.4,10.15,9.4,9.5,21501
2009-05-28,9.9,9.9,9.7,9.7,700
2009-05-29,9.7,9.7,9.7,9.7,500
2009-06-01,9.41,9.8178,9.41,9.8178,500
2009-06-02,9.7001,9.7001,9.7001,9.7001,140
2009-06-03,9.7,9.82,9.67,9.7,2900
2009-06-04,9.7,9.7,9.7,9.7,100
2009-06-05,9.7,9.7,9.7,9.7,0
2009-06-08,9.7,9.7,9.7,9.7,100
2009-06-09,9.38,9.3801,9.25,9.33,2150
2009-06-10,9.33,9.34,9.33,9.34,400
2009-06-11,9.34,9.34,9.34,9.34,0
2009-06-12,9.4,9.4,9.4,9.4,100
2009-06-15,9.7,9.7,9.7,9.7,800
2009-06-16,9.59,9.73,9.59,9.6,4900
2009-06-17,9.45,9.45,9.45,9.45,100
2009-06-18,9.55,9.75,9.44,9.44,1600
2009-06-19,9.5,9.5,9.5,9.5,200
2009-06-22,9.85,9.85,9.7,9.7312,3078
2009-06-23,9.28,9.75,9.18,9.75,2061
2009-06-24,9.75,9.75,9.33,9.33,558
2009-06-25,9.33,9.33,9.33,9.33,0
2009-06-26,9.33,9.33,9.33,9.33,0
2009-06-29,9.0,9.5,9.0,9.5,1400
2009-06-30,9.42,9.42,9.42,9.42,300
2009-07-01,9.3,9.3,9.26,9.26,900
2009-07-02,9.34,9.34,9.3,9.3,400
2009-07-06,9.26,9.26,9.1,9.1,1900
2009-07-07,9.1,9.1,9.1,9.1,0
2009-07-08,9.1,9.1,9.1,9.1,0
2009-07-09,9.1,9.1,9.1,9.1,1100
2009-07-10,9.1,9.1,9.1,9.1,0
2009-07-13,9.1601,9.1601,9.1601,9.1601,100
2009-07-14,9.1601,9.1601,9.1601,9.1601,0
2009-07-15,9.27,9.27,9.18,9.18,600
2009-07-16,9.18,9.18,9.18,9.18,0
2009-07-17,9.62,9.75,9.62,9.75,800
2009-07-20,9.75,9.75,9.75,9.75,0
2009-07-21,9.08,9.4,8.58,9.23,5600
2009-07-22,9.28,9.52,9.28,9.52,600
2009-07-23,9.53,9.54,9.53,9.53,4200
2009-07-24,9.53,9.53,9.53,9.53,0
2009-07-27,9.53,9.53,9.53,9.53,0
2009-07-28,9.5438,9.5438,9.5438,9.5438,570
2009-07-29,10.49,10.49,9.67,9.79,1400
2009-07-30,9.5,9.8,9.5,9.71,469
2009-07-31,10.99,14.04,10.11,10.11,300
2009-08-03,10.05,10.05,10.0,10.0,1000
2009-08-04,9.5,10.79,9.5,9.51,1519
2009-08-05,9.6,9.6,9.5,9.51,2601
2009-08-06,9.51,9.51,9.51,9.51,0
2009-08-07,9.3,9.84,9.3,9.84,362
2009-08-10,9.99,10.1,9.99,9.99,500
2009-08-11,9.9,9.9,9.9,9.9,1600
2009-08-12,9.9,9.9,9.9,9.9,0
2009-08-13,10.01,10.54,10.01,10.1,850
2009-08-14,11.11,11.49,10.43,10.44,4300
