date,open,high,low,close,volume
2000-01-03,20.5,20.62,20.0,20.31,120800
2000-01-04,20.13,20.38,20.0,20.38,62400
2000-01-05,20.25,20.25,20.0,20.13,27400
2000-01-06,20.19,20.38,20.06,20.19,63900
2000-01-07,20.19,20.38,20.06,20.25,60500
2000-01-10,20.25,20.25,20.0,20.25,113100
2000-01-11,20.25,20.25,20.0,20.06,37900
2000-01-12,19.94,20.13,19.88,20.0,63800
2000-01-13,19.94,20.13,19.25,19.38,104600
2000-01-14,20.0,20.25,19.88,20.25,57000
2000-01-18,20.13,20.19,19.69,19.81,46400
2000-01-19,19.94,20.19,19.88,20.13,39600
2000-01-20,20.25,20.31,19.81,20.31,75600
2000-01-21,20.31,21.25,20.25,21.19,155200
2000-01-24,21.13,21.38,21.06,21.13,46900
2000-01-25,21.06,21.06,20.56,20.56,71700
2000-01-26,20.56,20.88,20.44,20.5,33900
2000-01-27,20.44,20.69,20.44,20.5,25200
2000-01-28,20.5,20.56,20.19,20.19,64900
2000-01-31,20.44,20.69,20.38,20.5,80500
2000-02-01,20.63,20.81,20.25,20.63,238700
2000-02-02,20.69,20.69,20.44,20.44,182200
2000-02-03,20.5,21.0,20.5,21.0,148300
2000-02-04,21.0,22.0,20.88,21.88,114400
2000-02-07,21.75,21.88,21.5,21.75,54500
2000-02-08,21.5,21.56,21.06,21.19,80400
2000-02-09,21.19,21.25,21.0,21.13,37600
2000-02-10,21.06,21.56,21.06,21.56,70300
2000-02-11,21.69,21.81,21.31,21.4,82400
2000-02-14,21.75,22.06,21.75,22.06,39800
2000-02-15,22.0,22.94,22.0,22.44,53600
2000-02-16,23.0,23.63,22.88,23.63,86400
2000-02-17,23.75,25.25,23.63,25.25,102600
2000-02-18,25.13,25.19,24.63,24.63,86500
2000-02-22,24.63,24.63,23.63,24.19,68500
2000-02-23,24.13,24.81,24.0,24.75,54800
2000-02-24,24.63,24.63,23.63,24.0,148500
2000-02-25,24.13,24.38,24.0,24.13,69700
2000-02-28,24.13,24.56,24.13,24.56,24400
2000-02-29,24.75,25.19,24.75,25.19,200300
2000-03-01,25.19,25.44,24.94,25.19,120500
2000-03-02,25.13,25.63,25.0,25.5,38900
2000-03-03,25.88,26.63,25.63,26.19,67900
2000-03-06,26.06,26.13,25.69,25.75,44800
2000-03-07,25.63,25.88,25.25,25.81,58200
2000-03-08,25.81,26.13,25.69,25.94,53100
2000-03-09,25.94,26.0,25.81,25.94,18700
2000-03-10,25.94,26.06,25.81,25.88,70900
2000-03-13,26.0,26.0,25.38,25.63,164500
2000-03-14,25.81,26.25,25.69,26.25,35700
2000-03-15,26.25,26.31,26.13,26.31,16900
2000-03-16,26.25,26.44,26.19,26.38,20200
2000-03-17,26.31,26.38,26.0,26.31,33600
2000-03-20,26.19,26.63,26.13,26.5,89800
2000-03-21,26.5,27.63,26.38,27.63,74900
2000-03-22,27.5,27.88,27.0,27.38,47000
2000-03-23,27.38,28.0,27.25,27.81,47900
2000-03-24,27.94,27.94,26.38,26.44,72100
2000-03-27,26.25,26.25,23.94,25.69,104800
2000-03-28,25.44,26.19,25.31,25.69,44500
2000-03-29,25.81,25.81,24.5,24.5,27000
2000-03-30,24.5,24.63,24.31,24.44,37400
2000-03-31,24.56,24.69,23.5,23.5,90400
2000-04-03,23.5,24.38,23.5,23.88,34100
2000-04-04,23.81,23.81,22.63,23.06,51700
2000-04-05,23.06,23.06,22.0,22.38,50400
2000-04-06,22.38,22.94,22.31,22.88,38600
2000-04-07,23.0,23.56,23.0,23.38,24700
