date,open,high,low,close,volume,splitfactor,divcash
2000-01-03,35.25,36.0,34.75,35.0,10635000,1.0,0.0
2000-01-04,34.44,34.75,33.75,34.0,10734600,1.0,0.0
2000-01-05,33.56,34.88,33.56,33.81,11722500,1.0,0.0
2000-01-06,34.0,35.25,33.81,35.13,17479500,1.0,0.0
2000-01-07,34.5,36.25,34.5,35.5,15755900,1.0,0.0
2000-01-10,36.0,36.06,34.88,35.25,10442000,1.0,0.0
2000-01-11,34.38,35.19,34.38,34.75,9533100,1.0,0.0
2000-01-12,34.81,35.0,34.0,34.06,8329900,1.0,0.07631
2000-01-13,34.06,34.38,33.69,33.75,10615800,1.0,0.0
2000-01-14,34.5,34.63,34.0,34.5,11217500,1.0,0.0
2000-01-18,33.81,34.5,33.13,33.75,11348600,1.0,0.0
2000-01-19,32.88,33.44,32.88,33.06,16849700,1.0,0.0
2000-01-20,32.69,32.88,31.69,32.05,15429100,1.0,0.0
2000-01-21,31.5,31.63,30.75,31.19,18903500,1.0,0.0
2000-01-24,30.63,30.88,30.0,30.0,20606500,1.0,0.0
2000-01-25,30.0,30.56,29.38,29.63,22725300,1.0,0.0
2000-01-26,29.81,30.0,29.44,29.69,14037300,1.0,0.0
2000-01-27,29.75,31.19,29.63,30.81,16105600,1.0,0.0
2000-01-28,31.19,32.19,31.06,31.88,13831100,1.0,0.0
2000-01-31,31.88,32.88,30.94,32.56,11452000,1.0,0.0
2000-02-01,32.38,32.88,31.88,32.88,8050600,1.0,0.0
2000-02-02,32.75,33.25,32.75,33.06,10301700,1.0,0.0
2000-02-03,33.0,33.44,32.94,33.25,8176100,1.0,0.0
2000-02-04,33.81,35.06,33.81,34.44,13315300,1.0,0.0
2000-02-07,34.5,34.56,33.38,33.81,5931600,1.0,0.0
2000-02-08,34.19,34.5,33.5,34.13,10834000,1.0,0.0
2000-02-09,34.69,36.5,34.56,36.06,14133800,1.0,0.0
2000-02-10,36.0,36.0,34.69,35.13,14272400,1.0,0.0
2000-02-11,35.19,35.19,34.0,34.0,6960800,1.0,0.0
2000-02-14,34.75,35.19,34.38,35.06,6156500,1.0,0.0
2000-02-15,35.19,35.38,34.56,35.13,8322400,1.0,0.0
2000-02-16,34.75,35.13,34.56,34.69,5104000,1.0,0.0
2000-02-17,34.94,35.25,34.13,34.25,9944300,1.0,0.0
2000-02-18,34.0,34.44,32.38,32.63,9892600,1.0,0.0
2000-02-22,33.44,33.5,32.81,33.38,8656100,1.0,0.0
2000-02-23,32.38,33.0,31.81,32.13,8071400,1.0,0.0
2000-02-24,32.25,32.56,31.0,31.75,7740500,1.0,0.0
2000-02-25,31.88,32.75,31.75,32.06,9544800,1.0,0.0
2000-02-28,33.5,33.69,32.63,33.13,9246300,1.0,0.0
2000-02-29,33.13,33.56,32.63,33.0,8257800,1.0,0.0
2000-03-01,33.13,34.0,32.75,33.81,8537000,1.0,0.0
2000-03-02,33.81,33.94,32.94,33.5,7037700,1.0,0.0
2000-03-03,32.75,33.13,31.88,32.44,11829500,1.0,0.0
2000-03-06,32.19,32.19,31.0,31.25,9772800,1.0,0.0
2000-03-07,31.19,31.25,29.5,29.63,15393700,1.0,0.0
2000-03-08,30.13,31.44,30.06,31.0,16825900,1.0,0.0
2000-03-09,30.25,31.44,30.06,31.25,11917600,1.0,0.0
2000-03-10,31.44,31.94,30.5,30.94,8180200,1.0,0.0
2000-03-13,30.0,30.69,29.88,30.56,7070400,1.0,0.0
2000-03-14,30.88,31.44,30.75,31.13,8679000,1.0,0.0
2000-03-15,30.94,32.5,30.63,32.5,9056800,1.0,0.0
2000-03-16,33.5,34.88,33.25,34.5,12571200,1.0,0.0
2000-03-17,34.5,34.88,33.38,33.5,8273400,1.0,0.0
2000-03-20,34.25,34.44,33.5,33.88,5535000,1.0,0.0
2000-03-21,34.38,34.44,32.94,33.69,8819200,1.0,0.0
2000-03-22,33.5,34.44,33.44,34.31,5635600,1.0,0.0
2000-03-23,34.25,34.31,33.5,33.81,6320300,1.0,0.0
2000-03-24,33.87,34.12,33.5,33.62,6335300,1.0,0.0
2000-03-27,33.5,33.88,33.13,33.25,7046800,1.0,0.0
2000-03-28,33.06,34.0,32.56,33.88,10095200,1.0,0.0
2000-03-29,34.13,35.5,33.94,34.88,11370100,1.0,0.0
2000-03-30,35.38,36.0,34.75,35.5,10572500,1.0,0.0
2000-03-31,35.5,35.94,34.44,35.19,7390100,1.0,0.0
2000-04-03,35.56,37.38,35.38,37.0,9708000,1.0,0.0
2000-04-04,37.19,39.75,36.94,39.44,15373200,1.0,0.0
2000-04-05,38.63,38.69,37.0,37.13,8360700,1.0,0.0
2000-04-06,37.13,38.5,37.13,37.81,7079400,1.0,0.0
2000-04-07,37.81,38.0,36.44,36.63,6845100,1.0,0.0
2000-04-10,36.25,38.0,35.56,36.81,11166100,1.0,0.0
2000-04-11,36.94,38.5,36.94,38.06,8703800,1.0,0.0
2000-04-12,38.75,40.06,38.25,39.63,15842200,1.0,0.08529
2000-04-13,39.25,39.88,38.56,39.19,8913900,1.0,0.0
2000-04-14,38.81,39.0,36.5,36.81,11353400,1.0,0.0
2000-04-17,37.0,37.88,36.56,37.69,7666900,1.0,0.0
2000-04-18,37.69,38.63,37.13,38.19,6324500,1.0,0.0
2000-04-19,38.44,38.81,37.69,38.38,6056800,1.0,0.0
2000-04-20,38.56,39.38,38.25,39.25,6094800,1.0,0.0
2000-04-24,38.75,40.25,38.63,40.06,9178800,1.0,0.0
2000-04-25,40.0,40.13,39.0,39.75,5514700,1.0,0.0
2000-04-26,38.56,39.0,38.44,39.0,4376100,1.0,0.0
2000-04-27,38.5,39.06,38.31,39.0,8515600,1.0,0.0
2000-04-28,38.75,38.75,37.69,38.44,6870100,1.0,0.0
2000-05-01,38.13,38.19,37.31,38.06,8625200,1.0,0.0
2000-05-02,37.63,38.38,36.75,38.19,8389700,1.0,0.0
2000-05-03,37.94,38.25,37.13,37.63,7554800,1.0,0.0
2000-05-04,37.38,37.69,36.81,37.25,5276500,1.0,0.0
2000-05-05,37.0,37.94,36.81,37.94,6311700,1.0,0.0
2000-05-08,38.0,38.81,37.56,38.81,4218600,1.0,0.0
2000-05-09,38.19,39.0,38.19,39.0,4383400,1.0,0.0
2000-05-10,38.25,38.88,38.0,38.56,6806700,1.0,0.0
2000-05-11,38.88,38.88,37.69,37.81,6419100,1.0,0.0
2000-05-12,37.44,37.5,36.75,37.0,6130800,1.0,0.0
2000-05-15,37.44,39.19,37.38,38.94,10544600,1.0,0.0
2000-05-16,38.94,39.0,38.25,38.63,5328800,1.0,0.0
2000-05-17,38.38,39.19,38.25,38.56,5120800,1.0,0.0
2000-05-18,39.0,40.69,38.88,40.56,14290900,1.0,0.0
2000-05-19,40.31,41.88,40.13,41.56,12146300,1.0,0.0
2000-05-22,41.63,42.81,41.56,42.75,12208400,1.0,0.0
2000-05-23,42.75,42.94,42.25,42.75,7282400,1.0,0.0
2000-05-24,42.94,44.0,42.63,43.46,11233400,1.0,0.0
2000-05-25,42.81,43.25,42.5,42.75,6554300,1.0,0.0
2000-05-26,42.75,43.0,41.38,41.69,4614400,1.0,0.0
2000-05-30,41.69,41.75,40.63,41.13,4096900,1.0,0.0
2000-05-31,41.44,41.5,40.44,40.69,4422400,1.0,0.0
2000-06-01,40.75,41.69,40.38,40.88,4444300,1.0,0.0
2000-06-02,41.13,41.19,38.94,39.13,8030200,1.0,0.0
2000-06-05,38.88,40.19,38.88,39.75,5274900,1.0,0.0
2000-06-06,39.19,40.5,38.81,40.19,3894500,1.0,0.0
2000-06-07,40.06,40.69,40.06,40.19,3213800,1.0,0.0
2000-06-08,40.94,41.0,40.0,40.63,3801500,1.0,0.0
2000-06-09,40.75,41.75,40.5,40.81,3290100,1.0,0.0
2000-06-12,40.88,41.5,40.31,40.31,2758400,1.0,0.0
2000-06-13,40.19,41.5,40.19,41.06,3572300,1.0,0.0
2000-06-14,41.38,42.13,41.31,42.0,4600000,1.0,0.0
2000-06-15,42.06,43.06,41.88,42.88,5519100,1.0,0.0
2000-06-16,42.88,42.94,42.38,42.44,6136900,1.0,0.0
2000-06-19,42.56,43.0,42.06,42.56,4127100,1.0,0.0
2000-06-20,42.19,42.19,41.38,41.81,4432000,1.0,0.0
2000-06-21,41.81,42.06,41.5,41.56,4258400,1.0,0.0
2000-06-22,41.06,41.38,40.56,40.81,5972000,1.0,0.0
2000-06-23,41.0,41.13,40.06,40.44,5284400,1.0,0.0
2000-06-26,40.38,42.5,40.13,41.06,5800100,1.0,0.0
2000-06-27,40.94,42.5,40.81,41.56,6441000,1.0,0.0
2000-06-28,41.88,43.06,41.75,42.54,7026800,1.0,0.0
2000-06-29,43.19,43.69,41.88,41.88,9090200,1.0,0.0
2000-06-30,41.0,44.69,40.63,44.56,14397800,1.0,0.0
2000-07-03,44.13,44.81,43.63,44.31,5157900,1.0,0.0
2000-07-05,44.44,45.19,44.0,44.56,10513100,1.0,0.0
2000-07-06,44.5,44.75,43.38,43.81,5738600,1.0,0.0
2000-07-07,43.81,44.06,43.0,43.31,6199400,1.0,0.0
2000-07-10,43.44,43.63,42.38,43.0,6666300,1.0,0.0
2000-07-11,42.94,43.13,42.56,43.0,4906000,1.0,0.0
2000-07-12,43.0,44.75,42.56,44.31,11584800,1.0,0.08529
2000-07-13,45.0,45.0,42.56,43.63,9299200,1.0,0.0
2000-07-14,43.63,43.69,41.0,42.5,9511600,1.0,0.0
2000-07-17,41.56,42.94,41.56,42.5,6334300,1.0,0.0
2000-07-18,42.69,43.38,41.38,41.94,5274000,1.0,0.0
2000-07-19,42.06,42.38,41.0,41.13,3729400,1.0,0.0
2000-07-20,41.38,41.69,40.63,41.13,4544100,1.0,0.0
2000-07-21,41.0,41.0,40.0,40.38,7121500,1.0,0.0
2000-07-24,40.0,40.94,40.0,40.75,4500800,1.0,0.0
2000-07-25,40.06,40.31,39.75,39.75,5136900,1.0,0.0
2000-07-26,39.94,40.38,39.69,39.88,5986800,1.0,0.0
2000-07-27,39.88,40.31,39.88,40.0,3954900,1.0,0.0
2000-07-28,39.81,42.13,39.75,41.5,5858200,1.0,0.0
2000-07-31,42.0,42.19,41.44,41.5,5687100,1.0,0.0
2000-08-01,41.88,42.44,41.63,42.19,8208400,1.0,0.0
2000-08-02,42.13,42.75,41.38,42.75,11375900,1.0,0.0
2000-08-03,42.75,42.94,42.38,42.94,8417200,1.0,0.0
2000-08-04,42.13,42.31,41.5,42.0,7071000,1.0,0.0
2000-08-07,41.5,42.0,40.0,40.43,9163600,1.0,0.0
2000-08-08,40.13,40.69,39.38,40.19,10761500,1.0,0.0
2000-08-09,40.06,40.88,39.31,39.56,6169200,1.0,0.0
2000-08-10,39.31,40.81,39.31,40.56,5376400,1.0,0.0
2000-08-11,40.94,41.31,40.56,40.93,6395500,1.0,0.0
2000-08-14,40.31,40.41,39.75,40.19,3638500,1.0,0.0
2000-08-15,39.88,40.81,39.75,40.19,8844500,1.0,0.0
2000-08-16,40.88,41.19,40.69,41.06,9283000,1.0,0.0
2000-08-17,41.19,41.19,40.56,40.94,5817200,1.0,0.0
2000-08-18,40.56,40.81,39.63,40.19,8320300,1.0,0.0
2000-08-21,42.25,42.25,41.13,41.81,9751700,1.0,0.0
2000-08-22,41.94,42.19,41.56,42.06,5186300,1.0,0.0
2000-08-23,41.63,42.0,41.5,41.63,4321300,1.0,0.0
2000-08-24,41.56,41.69,40.75,40.94,4155000,1.0,0.0
2000-08-25,40.63,42.13,40.38,41.88,4976200,1.0,0.0
2000-08-28,42.5,43.5,42.0,43.25,8327200,1.0,0.0
2000-08-29,43.0,43.0,42.25,42.56,5008900,1.0,0.0
2000-08-30,42.63,43.75,42.44,43.06,7222800,1.0,0.0
2000-08-31,44.0,45.0,43.38,43.77,12143600,1.0,0.0
2000-09-01,44.0,44.38,43.25,43.25,4006000,1.0,0.0
2000-09-05,42.81,42.94,42.0,42.69,6076400,1.0,0.0
2000-09-06,42.56,42.75,41.75,42.38,6097300,1.0,0.0
2000-09-07,42.5,43.44,42.13,43.19,3863400,1.0,0.0
2000-09-08,43.19,44.19,43.0,44.13,5164600,1.0,0.0
2000-09-11,43.94,44.94,43.81,44.94,5805500,1.0,0.0
2000-09-12,44.5,45.0,44.06,44.88,4785700,1.0,0.0
2000-09-13,44.63,44.88,43.69,44.25,4581900,1.0,0.0
