date,open,high,low,close,volume
2006-11-09,14.0,14.4,13.99,14.4,74100
2006-11-10,14.26,14.35,13.75,13.76,4400
2006-11-13,13.57,14.01,13.55,14.0,165400
2006-11-14,13.66,14.39,13.66,13.75,13400
2006-11-15,14.38,14.39,13.6,13.75,163600
2006-11-16,13.5,14.4,13.5,14.4,23600
2006-11-17,14.4,14.42,13.95,13.95,3600
2006-11-20,13.23,14.5,13.0,14.2,9900
2006-11-21,14.42,14.42,14.02,14.03,16100
2006-11-22,14.22,14.41,14.0,14.2,1600
2006-11-24,14.2,14.2,13.85,14.0,13300
2006-11-27,14.01,14.01,13.75,13.77,5800
2006-11-28,13.81,13.88,13.25,13.88,5700
2006-11-29,13.9,14.5,13.85,14.26,4000
2006-11-30,14.4,14.4,14.01,14.1,3000
2006-12-01,14.05,16.71,14.05,15.25,54500
2006-12-04,15.12,16.05,15.01,15.99,10400
2006-12-05,16.25,17.19,16.2,17.19,80600
2006-12-06,16.76,17.25,16.56,16.97,12900
2006-12-07,17.35,17.94,17.28,17.58,4200
2006-12-08,17.8,17.8,17.4,17.52,2600
2006-12-11,17.52,17.62,17.52,17.57,600
2006-12-12,17.4,17.4,16.42,16.5,19600
2006-12-13,16.4,16.4,16.25,16.4,18300
2006-12-14,16.2,16.3,15.68,15.9,5400
2006-12-15,15.8,15.8,14.75,14.75,3100
2006-12-18,14.85,14.85,14.25,14.83,9300
2006-12-19,15.08,15.08,14.75,14.75,600
2006-12-20,14.77,15.69,14.45,15.45,114600
2006-12-21,14.95,15.49,14.95,15.27,23300
2006-12-22,15.27,15.4,15.27,15.4,15400
2006-12-26,15.49,15.7,15.49,15.55,1200
2006-12-27,15.68,15.68,15.45,15.5,2300
2006-12-28,15.45,15.45,15.29,15.39,1100
2006-12-29,15.45,16.36,15.4,16.11,18000
2007-01-03,16.43,17.28,16.06,17.28,54900
2007-01-04,17.44,17.5,17.04,17.45,2500
2007-01-05,17.24,17.24,16.7,17.08,95800
2007-01-08,17.14,17.44,17.1,17.44,29400
2007-01-09,17.49,17.6,16.97,16.97,194000
2007-01-10,16.87,17.0,16.87,16.99,800
2007-01-11,16.87,17.03,16.66,17.0,8400
2007-01-12,17.05,17.12,16.99,17.0,3400
2007-01-16,17.05,17.2,16.62,16.83,3500
2007-01-17,16.85,16.85,16.6,16.6,14300
2007-01-18,16.55,16.63,16.5,16.5,20100
2007-01-19,16.49,16.5,16.25,16.34,22700
2007-01-22,16.35,16.42,16.13,16.13,1100
2007-01-23,15.91,16.1,15.63,15.65,7700
2007-01-24,15.78,16.04,15.78,16.04,2200
2007-01-25,16.04,16.2,16.04,16.14,1300
2007-01-26,16.24,16.94,16.24,16.69,4900
2007-01-29,16.76,17.95,16.76,17.81,9600
2007-01-30,18.0,18.76,17.84,18.58,14900
2007-01-31,18.72,19.26,18.56,19.26,13800
2007-02-01,19.01,20.0,19.01,19.61,23000
2007-02-02,19.79,19.79,18.66,19.15,28100
2007-02-05,19.12,19.15,18.43,19.0,48500
2007-02-06,18.91,19.16,18.69,18.99,30800
2007-02-07,18.91,19.1,18.62,18.67,11600
2007-02-08,18.56,18.93,17.96,17.99,8900
2007-02-09,8.9,9.2,8.56,8.87,559200
2007-02-12,9.22,9.36,8.75,8.86,145400
2007-02-13,8.87,8.97,8.7901,8.89,42500
2007-02-14,8.89,9.05,8.75,8.9,66400
2007-02-15,9.0,9.0,8.7,8.85,98300
2007-02-16,8.852,8.91,8.5,8.79,185400
2007-02-20,8.82,8.82,8.42,8.45,77300
2007-02-21,8.58,8.6,8.11,8.38,48900
2007-02-22,8.32,8.57,8.3,8.5,579000
2007-02-23,8.55,8.6,8.413,8.413,20500
2007-02-26,8.54,8.6499,8.3,8.4,8200
2007-02-27,8.36,8.39,8.0,8.02,55400
2007-02-28,8.01,8.01,7.62,7.9,15400
2007-03-01,7.9,7.91,7.71,7.75,12900
2007-03-02,7.7,7.75,7.45,7.46,25800
2007-03-05,7.84,7.84,6.81,6.92,75300
2007-03-06,6.95,7.16,6.85,7.0,31800
2007-03-07,7.03,7.4899,7.01,7.4899,18800
2007-03-08,7.49,7.8,7.39,7.51,20700
2007-03-09,7.55,7.68,7.4,7.46,12200
2007-03-12,7.39,7.5,7.11,7.5,19300
2007-03-13,7.44,8.0,7.36,7.46,87500
2007-03-14,7.5,7.5,7.01,7.04,24600
2007-03-15,7.04,7.2,7.02,7.02,37400
2007-03-16,7.06,7.06,6.77,6.79,9700
2007-03-19,6.82,6.82,6.21,6.36,53500
2007-03-20,6.5,6.52,6.27,6.27,22200
2007-03-21,6.29,6.29,6.04,6.04,86400
2007-03-22,6.31,6.31,6.01,6.01,21900
2007-03-23,6.05,6.19,6.04,6.08,22200
2007-03-26,6.13,6.17,6.09,6.1,6300
2007-03-27,6.05,6.1,5.93,5.96,20300
2007-03-28,6.0,6.0,5.78,5.9,25300
2007-03-29,5.88,5.98,5.77,5.8393,35900
2007-03-30,5.76,5.86,5.71,5.81,23300
2007-04-02,5.76,5.87,5.76,5.78,9400
2007-04-03,5.78,5.85,5.71,5.71,12800
2007-04-04,5.78,5.81,5.75,5.75,11400
2007-04-05,5.79,6.04,5.58,6.0,23900
2007-04-09,6.05,6.66,6.05,6.12,27600
2007-04-10,6.05,6.05,5.88,5.88,23400
2007-04-11,5.88,5.94,5.76,5.9,18100
2007-04-12,5.9,6.2,5.8,6.13,78600
2007-04-13,6.25,6.56,6.01,6.16,31700
2007-04-16,7.06,7.41,6.3,6.3,45500
2007-04-17,6.39,6.5,6.14,6.14,46500
2007-04-18,6.3,6.35,5.95,6.16,21600
2007-04-19,6.35,6.35,5.9604,6.0,19900
2007-04-20,6.11,6.11,5.94,5.95,7200
2007-04-23,6.0,6.1,5.64,5.79,22100
2007-04-24,5.79,5.86,5.79,5.81,7600
2007-04-25,5.81,5.92,5.65,5.72,15000
2007-04-26,5.72,5.9,5.67,5.82,80800
2007-04-27,5.8301,5.86,5.39,5.76,104000
2007-04-30,5.76,6.15,5.76,6.1,35400
2007-05-01,6.11,6.47,5.92,6.22,81700
2007-05-02,6.27,6.27,5.93,5.95,22900
2007-05-03,5.96,6.05,5.93,5.93,14600
2007-05-04,5.99,5.99,5.8,5.8,8100
2007-05-07,5.89,6.05,5.81,5.93,13400
2007-05-08,5.95,6.1,5.95,6.05,47200
2007-05-09,5.92,6.0248,5.92,6.01,196000
2007-05-10,6.03,6.03,5.94,5.94,27000
2007-05-11,5.92,5.94,5.56,5.6,21800
2007-05-14,5.57,5.7,5.3,5.34,25300
2007-05-15,5.4,5.45,4.95,5.05,71900
2007-05-16,5.1,5.13,5.01,5.1,22600
2007-05-17,5.1,5.18,5.06,5.08,8400
2007-05-18,5.01,5.16,4.91,5.02,13200
2007-05-21,5.0101,5.09,5.0,5.07,13700
2007-05-22,5.18,5.18,5.07,5.08,5200
2007-05-23,5.08,5.3,5.08,5.29,10200
2007-05-24,5.29,5.29,5.01,5.14,3100
2007-05-25,5.22,5.27,5.2,5.2,3600
2007-05-29,5.25,5.25,5.16,5.16,3200
2007-05-30,5.16,5.4324,5.16,5.4324,341000
