date,open,high,low,close,volume
2000-01-03,28.0,28.13,26.75,26.88,445100
2000-01-04,26.5,26.75,24.31,25.0,889800
2000-01-05,24.75,25.0,24.0,24.19,851400
2000-01-06,24.0,24.5,23.88,23.94,796800
2000-01-07,23.94,24.0,23.38,23.44,1056600
2000-01-10,23.75,25.13,23.13,24.56,1370500
2000-01-11,24.38,25.13,23.94,24.06,819800
2000-01-12,24.94,24.94,23.88,23.94,971700
2000-01-13,24.06,24.75,24.0,24.69,968800
2000-01-14,24.19,25.75,23.75,25.63,1214000
2000-01-18,25.5,27.38,24.88,27.19,1351300
2000-01-19,27.13,29.63,27.13,29.31,1728200
2000-01-20,29.72,29.88,26.44,26.88,769800
2000-01-21,26.0,26.5,22.5,24.81,3717200
2000-01-24,24.91,25.75,23.0,23.75,773300
2000-01-25,24.56,24.88,22.5,22.94,790300
2000-01-26,22.75,23.0,21.75,21.88,790200
2000-01-27,22.19,22.19,21.5,21.88,615900
2000-01-28,21.88,22.06,21.25,21.38,847000
2000-01-31,21.84,22.0,20.5,21.5,691000
2000-02-01,21.31,22.63,21.25,22.19,545700
2000-02-02,22.5,22.5,21.13,21.56,582900
2000-02-03,21.88,22.63,21.44,22.38,607000
2000-02-04,22.38,22.63,21.81,22.06,365300
2000-02-07,22.13,23.69,22.0,23.0,476300
2000-02-08,23.09,24.38,23.06,24.25,1037100
2000-02-09,24.25,25.63,24.13,25.5,1782400
2000-02-10,25.31,25.5,24.0,24.81,627300
2000-02-11,24.81,25.13,21.69,22.19,1320200
2000-02-14,22.5,23.13,22.0,23.13,992400
2000-02-15,22.94,23.19,20.25,22.88,798000
2000-02-16,22.75,24.69,22.75,23.31,908900
2000-02-17,23.31,38.69,23.22,28.0,4095400
2000-02-18,32.5,35.0,28.56,29.88,2771900
2000-02-22,30.5,31.63,25.81,26.0,1208800
2000-02-23,26.75,28.88,26.38,27.75,790900
2000-02-24,40.0,48.13,38.38,39.88,11212200
2000-02-25,39.75,41.25,38.38,39.63,1922600
2000-02-28,39.09,39.94,37.5,39.81,1509200
2000-02-29,39.81,45.63,39.75,45.13,2286200
2000-03-01,45.75,47.0,43.63,46.06,1994600
2000-03-02,44.69,45.13,42.94,43.44,637400
2000-03-03,43.44,44.44,42.25,42.69,672800
2000-03-06,42.5,42.5,40.25,40.94,509600
2000-03-07,40.75,41.88,39.88,40.13,1124000
2000-03-08,40.0,40.5,36.88,38.0,1215300
2000-03-09,38.0,39.63,37.5,39.13,420200
2000-03-10,39.19,39.63,35.38,35.88,573000
2000-03-13,33.88,35.63,31.5,32.31,635200
2000-03-14,32.38,35.5,32.13,32.75,651500
2000-03-15,32.75,32.94,29.75,30.06,754200
2000-03-16,31.38,33.0,30.25,32.56,918900
2000-03-17,31.78,35.38,31.75,34.0,536300
2000-03-20,33.88,34.06,30.0,30.25,554600
2000-03-21,30.03,30.38,27.88,29.44,831400
2000-03-22,30.25,33.13,29.88,31.81,806900
2000-03-23,32.88,32.88,30.13,30.88,414300
2000-03-24,31.19,31.19,28.75,29.69,679000
2000-03-27,29.5,29.69,27.94,28.13,568900
2000-03-28,28.0,28.88,27.13,27.5,271800
2000-03-29,27.53,28.0,25.81,27.31,532400
2000-03-30,27.25,28.13,27.22,27.81,508200
2000-03-31,28.88,29.38,28.5,28.88,801300
2000-04-03,28.97,29.0,27.38,27.44,435600
2000-04-04,27.56,27.73,26.44,26.5,687900
2000-04-05,26.25,28.25,25.88,27.44,753100
2000-04-06,27.69,29.94,27.56,28.13,568400
2000-04-07,28.69,29.38,28.0,28.19,958300
2000-04-10,28.19,28.69,25.44,25.44,478000
2000-04-11,25.41,27.13,25.25,26.63,320700
2000-04-12,26.84,27.13,25.38,25.44,242400
2000-04-13,26.31,26.31,24.56,24.63,332800
2000-04-14,24.25,24.25,22.5,22.75,524900
2000-04-17,24.19,24.88,22.19,23.0,283700
2000-04-18,23.63,25.56,23.19,25.5,603300
2000-04-19,25.81,26.75,25.5,25.88,262400
2000-04-20,25.75,25.88,24.88,25.13,315700
2000-04-24,25.16,25.16,23.88,24.19,604400
2000-04-25,24.38,25.69,24.31,25.0,477000
2000-04-26,15.0,16.0,12.88,13.31,11412000
2000-04-27,13.06,15.56,12.75,15.13,3772000
2000-04-28,15.38,17.5,14.0,16.31,2648700
2000-05-01,17.19,18.25,16.23,16.94,1892200
2000-05-02,17.38,17.38,16.5,16.63,1213100
2000-05-03,16.63,16.63,15.63,15.69,901800
2000-05-04,15.63,17.13,15.63,16.94,670100
2000-05-05,16.94,17.63,16.63,16.75,248600
2000-05-08,16.38,17.0,16.31,16.81,514600
2000-05-09,17.0,17.06,16.31,16.44,343400
2000-05-10,16.44,16.5,15.88,15.94,372500
2000-05-11,15.94,16.25,15.75,15.94,410900
2000-05-12,15.81,16.38,15.19,15.31,198100
2000-05-15,15.63,15.69,14.5,14.81,1017100
2000-05-16,14.94,15.31,14.94,15.0,432300
2000-05-17,14.94,15.06,14.38,14.94,635400
2000-05-18,15.13,15.13,14.38,14.38,163400
2000-05-19,14.34,14.63,13.88,13.88,495800
2000-05-22,14.0,14.13,13.5,13.56,343400
2000-05-23,13.94,14.19,13.56,14.0,618100
2000-05-24,14.0,14.19,13.0,13.13,1527400
2000-05-25,13.38,13.75,12.75,12.75,442700
2000-05-26,12.88,12.88,11.38,11.63,596300
2000-05-30,12.0,12.19,11.44,12.06,480800
2000-05-31,12.06,12.13,11.88,12.13,326700
2000-06-01,12.25,13.5,12.19,13.31,454500
2000-06-02,13.38,14.69,13.38,13.75,986300
2000-06-05,13.81,14.56,13.81,14.25,626500
2000-06-06,14.28,14.88,14.0,14.0,248800
2000-06-07,14.28,14.88,14.06,14.75,715000
2000-06-08,15.0,15.88,14.97,15.44,503100
2000-06-09,16.81,18.75,16.13,18.19,1206900
2000-06-12,18.19,18.31,16.0,16.94,537300
2000-06-13,16.91,17.13,16.5,16.94,376800
2000-06-14,17.0,17.13,16.75,16.94,204400
2000-06-15,17.0,17.25,16.63,16.88,561600
2000-06-16,16.88,17.19,16.88,17.06,469200
2000-06-19,17.09,17.25,17.0,17.06,276600
2000-06-20,17.03,17.5,16.88,17.5,247000
2000-06-21,17.38,17.75,17.0,17.38,86200
2000-06-22,17.25,17.75,16.88,16.88,80200
2000-06-23,17.13,17.19,16.31,17.13,375700
2000-06-26,17.13,17.69,16.81,17.38,166500
2000-06-27,16.75,17.19,16.5,16.94,338200
2000-06-28,16.75,17.0,16.63,16.94,313400
2000-06-29,16.88,17.25,16.06,16.13,103700
2000-06-30,16.56,17.13,16.25,17.13,331100
2000-07-03,17.0,17.13,16.75,16.88,128300
2000-07-05,16.69,16.88,16.13,16.13,286500
2000-07-06,16.19,16.55,15.38,16.31,290900
2000-07-07,16.13,17.31,15.88,17.31,174600
2000-07-10,16.88,17.44,16.63,17.06,258600
2000-07-11,16.81,17.44,16.81,17.19,256500
2000-07-12,17.56,18.25,17.13,18.25,297400
2000-07-13,18.31,21.13,18.0,20.38,1075900
2000-07-14,20.38,22.31,20.38,22.06,751800
2000-07-17,21.47,21.63,19.81,19.81,367900
2000-07-18,19.91,19.94,19.13,19.75,155300
2000-07-19,19.63,19.63,18.0,18.13,318300
2000-07-20,18.13,18.88,17.38,18.75,237200
2000-07-21,18.75,19.63,18.13,19.5,194800
2000-07-24,19.56,20.0,19.13,19.63,509700
2000-07-25,19.44,19.44,18.25,18.25,207500
2000-07-26,18.31,19.0,18.0,18.69,148600
2000-07-27,18.41,19.06,18.13,18.69,117100
2000-07-28,18.63,18.69,17.38,17.44,95700
2000-07-31,17.38,18.56,17.25,17.69,178400
2000-08-01,17.44,18.63,17.25,17.88,62800
2000-08-02,17.63,18.75,17.63,18.44,105400
2000-08-03,18.0,18.5,17.25,18.44,137000
2000-08-04,18.22,19.0,17.88,18.38,205700
2000-08-07,18.88,18.88,17.88,18.63,50200
2000-08-08,18.38,18.75,17.75,18.69,64000
2000-08-09,18.5,18.88,17.88,18.38,52000
2000-08-10,18.63,18.69,17.75,17.75,40000
2000-08-11,17.75,18.5,17.75,18.44,79600
2000-08-14,17.88,18.69,17.63,18.63,173600
2000-08-15,18.5,19.5,18.5,19.38,369900
2000-08-16,19.38,19.5,18.88,19.0,494800
2000-08-17,19.47,19.5,18.63,18.81,62500
