date,open,high,low,close,volume
2000-07-11,27.5,30.0,23.75,23.94,17448600
2000-07-12,24.75,26.63,23.94,25.88,4542000
2000-07-13,26.38,27.44,25.0,25.5,2084700
2000-07-14,25.81,25.88,23.94,25.19,1095000
2000-07-17,26.88,26.88,23.88,24.13,1266300
2000-07-18,24.38,25.5,23.06,25.25,2147800
2000-07-19,25.13,25.19,23.25,24.0,1399200
2000-07-20,24.25,25.38,22.63,23.13,1320300
2000-07-21,22.88,22.94,19.0,19.31,2689400
2000-07-24,20.13,20.25,16.5,16.88,2541100
2000-07-25,17.25,18.63,17.19,18.5,1936700
2000-07-26,18.13,19.88,17.75,18.5,1296600
2000-07-27,17.88,18.13,16.31,16.56,1494100
2000-07-28,17.13,17.19,14.25,15.38,2061200
2000-07-31,15.38,19.63,14.88,18.5,2001900
2000-08-01,18.56,18.56,16.25,16.63,984900
2000-08-02,16.06,17.25,16.0,16.5,779400
2000-08-03,15.5,16.69,15.0,16.13,931400
2000-08-04,16.88,17.0,15.75,16.38,817000
2000-08-07,17.75,18.25,16.31,16.75,2041500
2000-08-08,16.94,17.0,15.5,15.56,941300
2000-08-09,16.13,16.19,14.88,15.19,934900
2000-08-10,15.31,15.38,14.31,14.81,1024300
2000-08-11,14.38,14.75,13.75,14.5,1213100
2000-08-14,14.88,15.69,14.38,15.44,1566400
2000-08-15,15.59,18.13,15.38,17.94,3045600
2000-08-16,18.5,19.25,17.44,17.56,1226200
2000-08-17,17.5,18.75,17.44,18.56,960200
2000-08-18,19.13,19.13,17.88,18.38,846200
2000-08-21,18.81,18.94,17.63,18.94,719300
2000-08-22,19.13,19.75,18.88,19.31,812500
2000-08-23,18.63,19.25,18.25,18.75,332800
2000-08-24,18.25,19.94,18.19,19.94,768400
2000-08-25,19.81,20.44,19.38,19.38,349600
2000-08-28,19.16,19.38,18.31,18.63,255000
2000-08-29,18.63,19.44,18.5,19.13,566900
2000-08-30,19.06,19.25,18.25,18.31,384900
2000-08-31,18.25,18.63,18.0,18.06,470100
2000-09-01,18.19,18.75,18.13,18.5,340800
2000-09-05,18.75,18.75,17.75,17.88,460900
2000-09-06,17.94,18.0,16.81,16.88,514000
2000-09-07,16.88,19.0,16.75,18.69,439500
2000-09-08,18.5,18.63,17.38,17.38,327800
2000-09-11,17.13,17.75,16.25,16.75,547200
2000-09-12,16.66,17.0,15.88,15.94,252100
2000-09-13,15.81,16.13,15.63,15.75,554000
2000-09-14,15.94,16.81,15.94,16.38,333700
2000-09-15,16.38,16.5,15.25,15.5,370500
2000-09-18,15.94,16.44,15.0,15.0,324600
2000-09-19,15.31,15.56,14.81,14.94,555300
2000-09-20,15.0,15.06,14.0,14.19,1074000
2000-09-21,14.13,14.25,12.75,12.88,848900
2000-09-22,11.63,12.5,11.19,11.94,1564500
2000-09-25,12.63,13.63,12.06,12.31,605000
2000-09-26,12.5,12.63,11.38,11.63,352000
2000-09-27,12.56,12.75,11.5,11.94,254000
2000-09-28,12.06,12.06,11.56,11.75,507700
2000-09-29,11.75,11.94,11.25,11.88,329200
2000-10-02,12.0,12.0,10.88,11.19,448000
2000-10-03,11.75,11.75,10.19,10.69,520500
2000-10-04,10.31,11.0,10.25,11.0,470800
2000-10-05,10.94,11.13,9.844,9.875,1091100
2000-10-06,9.813,10.06,8.688,9.125,823800
2000-10-09,9.0,9.0,8.375,8.563,699800
2000-10-10,8.719,8.75,7.563,7.625,1402700
2000-10-11,7.469,8.5,7.188,8.0,1341900
2000-10-12,8.469,9.0,8.0,8.563,908200
2000-10-13,8.531,10.38,8.125,10.13,926000
2000-10-16,11.0,12.0,10.0,10.38,1039100
2000-10-17,10.81,10.88,8.375,8.75,1301600
2000-10-18,8.094,9.344,8.0,8.813,823300
2000-10-19,9.438,10.0,8.75,9.5,855300
2000-10-20,9.375,10.88,9.25,10.75,1202300
