date,open,high,low,close,volume
2007-12-27,0.83,0.83,0.83,0.83,0
2007-12-28,0.9,0.9,0.9,0.9,15700
2007-12-31,0.9,0.9,0.9,0.9,16300
2008-01-02,0.9,0.9,0.9,0.9,28900
2008-01-03,0.9,0.9,0.9,0.9,16800
2008-01-04,0.9,0.9,0.9,0.9,10500
2008-01-07,0.9,0.9,0.9,0.9,0
2008-01-08,0.9,0.9,0.88,0.88,39200
2008-01-09,0.88,0.88,0.88,0.88,0
2008-01-10,0.89,0.9,0.89,0.9,142600
2008-01-11,0.93,0.93,0.9,0.9,9000
2008-01-14,0.9,0.9,0.9,0.9,0
2008-01-15,0.9,0.9,0.9,0.9,0
2008-01-16,0.89,0.89,0.77,0.77,11000
2008-01-17,0.8,0.8,0.73,0.73,112500
2008-01-18,0.73,0.73,0.73,0.73,0
2008-01-22,0.73,0.73,0.73,0.73,0
2008-01-23,0.73,0.73,0.73,0.73,0
2008-01-24,0.73,0.73,0.73,0.73,0
2008-01-25,0.8,0.8,0.8,0.8,23600
2008-01-28,0.8,0.8,0.8,0.8,0
2008-01-29,0.8,0.8,0.8,0.8,0
2008-01-30,0.8,0.8,0.8,0.8,0
2008-01-31,0.78,0.8,0.75,0.8,186700
2008-02-01,0.8,0.8,0.8,0.8,48000
2008-02-04,0.8,0.8,0.8,0.8,5700
2008-02-05,0.8,0.8,0.8,0.8,0
2008-02-06,0.8,0.85,0.8,0.83,131500
2008-02-07,0.83,0.83,0.83,0.83,0
2008-02-08,0.83,0.83,0.83,0.83,18400
2008-02-11,0.83,0.83,0.82,0.82,27300
2008-02-12,0.82,0.82,0.82,0.82,0
2008-02-13,0.82,0.82,0.82,0.82,100
2008-02-14,0.85,0.87,0.85,0.85,8400
2008-02-15,0.85,0.85,0.85,0.85,2700
2008-02-19,0.9,0.92,0.9,0.92,21000
2008-02-20,0.9,0.94,0.9,0.94,27000
2008-02-21,0.94,0.99,0.94,0.99,44200
2008-02-22,0.99,0.99,0.99,0.99,39900
2008-02-25,0.99,0.99,0.99,0.99,0
2008-02-26,0.99,1.75,0.99,1.01,12800
2008-02-27,1.0,1.01,1.0,1.01,6300
2008-02-28,1.0,1.06,1.0,1.06,44700
2008-02-29,1.1,1.1,1.08,1.09,11200
2008-03-03,1.05,1.07,1.05,1.07,8400
2008-03-04,1.09,1.09,1.04,1.04,28600
2008-03-05,1.04,1.04,1.0,1.01,41400
2008-03-06,1.01,1.01,1.01,1.01,0
2008-03-07,1.01,1.01,1.01,1.01,0
2008-03-10,1.01,1.01,1.01,1.01,500
2008-03-11,1.05,1.05,1.05,1.05,500
2008-03-12,1.03,1.03,1.03,1.03,1500
2008-03-13,1.0,1.02,1.0,1.02,10500
2008-03-14,1.02,1.03,1.01,1.01,7800
2008-03-17,1.01,1.01,1.01,1.01,0
2008-03-18,0.9,0.9,0.9,0.9,3100
2008-03-19,0.99,0.99,0.99,0.99,10500
2008-03-20,0.99,0.99,0.99,0.99,15700
2008-03-24,0.98,0.98,0.98,0.98,10500
2008-03-25,1.01,1.01,1.01,1.01,500
2008-03-26,1.01,1.03,1.01,1.03,1500
2008-03-27,1.03,1.03,1.03,1.03,3800
2008-03-28,1.05,1.05,1.05,1.05,2100
2008-03-31,0.91,1.04,0.91,1.01,5500
2008-04-01,1.01,1.01,1.01,1.01,0
2008-04-02,1.05,1.05,1.05,1.05,500
2008-04-03,1.05,1.1,1.05,1.1,6700
2008-04-04,1.1,1.1,1.1,1.1,600
2008-04-07,1.1,1.1,1.1,1.1,1000
2008-04-08,1.1,1.1,1.1,1.1,0
2008-04-09,1.05,1.05,1.05,1.05,200
2008-04-10,1.1,1.1,1.09,1.09,5600
2008-04-11,1.09,1.09,1.09,1.09,0
2008-04-14,1.09,1.09,1.05,1.05,18400
2008-04-15,1.09,1.09,1.09,1.09,200
2008-04-16,1.09,1.1,1.05,1.1,12000
2008-04-17,1.1,1.15,1.1,1.15,2700
2008-04-18,1.15,1.28,1.15,1.28,7100
2008-04-21,1.3,1.3,1.3,1.3,12000
2008-04-22,1.28,1.3,1.28,1.3,1800
2008-04-23,1.29,1.29,1.29,1.29,2100
2008-04-24,1.25,1.25,1.21,1.21,2100
2008-04-25,1.3,1.35,1.29,1.34,24400
2008-04-28,1.35,1.37,1.34,1.37,4800
2008-04-29,1.41,1.69,1.41,1.69,16400
2008-04-30,1.97,1.97,1.69,1.69,8600
2008-05-01,1.89,1.99,1.75,1.8,44300
2008-05-02,1.9,1.93,1.86,1.86,14900
2008-05-05,1.91,1.91,1.77,1.8,11300
2008-05-06,1.8,1.84,1.8,1.8,31600
2008-05-07,1.8,1.8,1.8,1.8,3100
2008-05-08,1.83,1.86,1.83,1.86,8700
2008-05-09,1.89,1.89,1.86,1.86,14700
2008-05-12,1.86,1.86,1.86,1.86,0
2008-05-13,1.86,1.92,1.86,1.89,9300
2008-05-14,1.89,1.89,1.89,1.89,2100
2008-05-15,1.89,1.89,1.89,1.89,3300
2008-05-16,1.89,1.89,1.75,1.75,47700
2008-05-19,1.72,1.8,1.65,1.65,19600
2008-05-20,1.65,1.65,1.65,1.65,300
2008-05-21,1.56,1.73,1.56,1.73,10800
2008-05-22,1.69,1.73,1.69,1.73,13600
2008-05-23,1.8,1.8,1.7,1.74,25600
2008-05-27,1.7,1.7,1.56,1.65,31400
2008-05-28,1.65,1.65,1.52,1.65,8400
2008-05-29,1.55,1.7,1.55,1.7,12000
2008-05-30,1.65,1.65,1.65,1.65,6200
2008-06-02,1.7,1.7,1.6,1.69,2900
2008-06-03,1.55,1.55,1.55,1.55,500
2008-06-04,1.55,1.55,1.55,1.55,0
2008-06-05,1.7,1.74,1.52,1.52,11400
2008-06-06,1.57,1.57,1.57,1.57,1000
2008-06-09,1.6,1.69,1.57,1.69,8100
2008-06-10,1.65,1.7,1.6,1.6,27500
2008-06-11,1.6,1.6,1.55,1.59,5700
2008-06-12,1.59,1.59,1.59,1.59,0
2008-06-13,1.5,1.65,1.5,1.57,16800
2008-06-16,1.55,1.57,1.55,1.55,3500
2008-06-17,1.55,1.6,1.55,1.59,14400
2008-06-18,1.57,1.57,1.55,1.55,4700
2008-06-19,1.55,1.55,1.55,1.55,3200
2008-06-20,1.47,1.55,1.4,1.47,65500
2008-06-23,1.48,1.49,1.42,1.42,42600
2008-06-24,1.4,1.42,1.39,1.42,12000
2008-06-25,1.42,1.42,1.42,1.42,0
2008-06-26,1.4,1.4,1.4,1.4,129600
2008-06-27,1.4,1.4,1.4,1.4,10500
2008-06-30,1.4,1.43,1.4,1.43,2400
2008-07-01,1.43,1.43,1.43,1.43,0
2008-07-02,1.43,1.43,1.39,1.39,33100
2008-07-03,1.39,1.39,1.3,1.35,2900
2008-07-07,1.44,1.44,1.44,1.44,500
2008-07-08,1.44,1.44,1.44,1.44,500
2008-07-09,1.5,1.5,1.49,1.49,3100
2008-07-10,1.45,1.45,1.44,1.45,6500
2008-07-11,1.44,1.45,1.44,1.45,6300
2008-07-14,1.44,1.44,1.42,1.42,1000
2008-07-15,1.42,1.42,1.4,1.4,2600
2008-07-16,1.4,1.4,1.4,1.4,0
2008-07-17,1.4,1.4,1.4,1.4,0
2008-07-18,1.4,1.4,1.4,1.4,0
2008-07-21,1.45,1.47,1.45,1.47,7800
2008-07-22,1.47,1.47,1.47,1.47,0
2008-07-23,1.55,1.55,1.5,1.53,11000
2008-07-24,1.51,1.51,1.51,1.51,1100
2008-07-25,1.51,1.51,1.51,1.51,0
2008-07-28,1.51,1.51,1.51,1.51,0
2008-07-29,1.54,1.7,1.54,1.7,5600
2008-07-30,1.73,1.75,1.73,1.75,4700
2008-07-31,1.75,1.75,1.75,1.75,800
2008-08-01,1.71,1.71,1.64,1.64,6600
2008-08-04,1.69,1.69,1.67,1.67,5700
2008-08-05,1.67,1.68,1.67,1.68,3600
2008-08-06,1.68,1.68,1.68,1.68,0
2008-08-07,1.69,1.7,1.69,1.7,4500
2008-08-08,1.7,1.7,1.64,1.64,6300
2008-08-11,1.65,1.65,1.52,1.52,12500
