date,open,high,low,close,volume,splitfactor,divcash
2000-01-03,53.5,53.94,51.94,52.0,2698900,1.0,0.0
2000-01-04,51.63,53.0,51.5,52.0,3141100,1.0,0.0
2000-01-05,51.94,51.94,50.69,51.56,3008800,1.0,0.0
2000-01-06,51.88,52.94,51.31,52.19,2121700,1.0,0.0
2000-01-07,53.38,53.81,52.5,53.38,1892300,1.0,0.0
2000-01-10,53.0,54.75,52.88,54.69,1722200,1.0,0.0
2000-01-11,54.13,54.38,53.31,53.63,1087900,1.0,0.0
2000-01-12,53.63,53.88,52.75,53.13,1108900,1.0,0.0
2000-01-13,53.13,53.13,52.44,52.81,1314600,1.0,0.0
2000-01-14,51.88,52.88,51.0,52.25,2138500,1.0,0.0
2000-01-18,51.75,52.06,49.06,49.25,2826300,1.0,0.0
2000-01-19,49.38,54.5,49.31,54.06,4264400,1.0,0.0
2000-01-20,53.38,54.0,50.38,50.81,3220200,1.0,0.0
2000-01-21,51.56,51.56,50.0,50.56,2826200,1.0,0.0
2000-01-24,51.0,51.0,49.75,50.0,2919500,1.0,0.0
2000-01-25,50.5,51.31,50.19,51.06,2439700,1.0,0.0
2000-01-26,51.88,51.88,50.06,51.0,1759300,1.0,0.0
2000-01-27,51.25,51.69,47.56,50.19,2568300,1.0,0.0
2000-01-28,49.94,50.0,48.25,48.94,1732100,1.0,0.0
2000-01-31,48.94,48.94,46.81,47.44,2152300,1.0,0.0
2000-02-01,47.5,48.63,46.69,48.19,1747500,1.0,0.0
2000-02-02,48.25,48.25,44.25,45.56,2998300,1.0,0.0
2000-02-03,46.0,49.0,45.81,48.63,3202300,1.0,0.0
2000-02-04,48.56,49.25,47.88,48.0,1296600,1.0,0.0
2000-02-07,48.0,48.25,46.5,46.5,1554500,1.0,0.0
2000-02-08,47.0,47.0,46.0,46.56,2684900,1.0,0.0
2000-02-09,46.56,46.94,44.81,45.0,2266800,1.0,0.0
2000-02-10,45.19,47.88,45.06,47.38,2229900,1.0,0.0
2000-02-11,47.0,47.0,45.5,45.81,1208300,1.0,0.0
2000-02-14,45.94,47.75,45.63,46.31,1729900,1.0,0.0
