date,open,high,low,close,volume
2013-10-17,0.8,1.02,0.7999,0.92,487437
2013-10-18,0.87,1.08,0.87,1.03,124925
2013-10-21,1.08,1.3,1.07,1.2,148725
2013-10-22,1.2,1.2,1.0,1.1,95742
2013-10-23,1.0,1.1,0.9901,1.04,99559
2013-10-24,1.04,1.0999,1.04,1.05,75900
2013-10-25,1.05,1.05,1.0,1.05,17355
2013-10-28,1.15,1.15,1.04,1.07,27450
2013-10-29,2.5,2.5,1.15,1.28,93045
2013-10-30,1.4,1.4,1.3,1.34,49223
2013-10-31,1.3,1.34,1.25,1.2936,24269
2013-11-01,1.2952,1.34,1.26,1.31,23110
2013-11-04,1.49,1.49,1.36,1.44,49550
2013-11-05,1.457,1.47,1.4,1.47,23575
2013-11-06,1.4001,1.45,1.4,1.42,13894
2013-11-07,1.3976,1.3976,1.3,1.3,1968
2013-11-08,1.32,1.35,1.17,1.25,32622
2013-11-11,1.25,1.25,1.0,1.12,32832
2013-11-12,1.119,1.119,1.07,1.07,2392
2013-11-13,1.0592,1.07,1.0,1.02,23914
2013-11-14,1.0554,1.07,0.9956,1.0,36806
2013-11-15,1.05,1.0501,0.9835,1.0,57930
2013-11-18,1.09,1.17,1.087,1.1165,56810
2013-11-19,1.1414,1.17,1.1414,1.16,14400
2013-11-20,1.1701,1.2001,1.1701,1.2,5100
2013-11-21,1.2799,1.4,1.15,1.21,11950
2013-11-22,1.2001,1.49,1.2001,1.28,55829
2013-11-25,1.3101,1.39,1.2999,1.39,37110
2013-11-26,1.4,1.5,1.3999,1.4,33020
2013-11-27,1.4807,1.4807,1.3,1.47,19300
2013-11-29,1.478,1.499,1.4501,1.475,2531
2013-12-02,1.45,1.5,1.45,1.46,10050
2013-12-03,1.45,1.48,1.31,1.4775,19505
2013-12-04,1.36,1.48,1.3,1.4,10420
2013-12-05,1.4201,1.45,1.4201,1.4465,2900
2013-12-06,1.439,1.44,1.3,1.4,4240
2013-12-09,1.64,1.9755,1.3,1.52,121627
2013-12-10,1.4,1.53,1.3999,1.4701,31364
2013-12-11,1.5,1.5,1.4499,1.4499,8547
2013-12-12,1.3999,1.5,1.3601,1.5,13810
2013-12-13,1.42,1.59,1.42,1.55,10586
2013-12-16,1.56,1.59,1.55,1.55,9250
2013-12-17,1.6,1.65,1.5301,1.6,18625
2013-12-18,1.58,1.6481,1.58,1.6481,2250
2013-12-19,1.55,1.551,1.518,1.55,6544
2013-12-20,1.4,1.55,1.3965,1.55,20874
2013-12-23,1.41,1.55,1.41,1.5,9354
