date,open,high,low,close,volume
2012-02-07,24.9,25.08,24.89,25.0,998073
2012-02-08,25.0,25.96,24.9,24.92,602040
2012-02-09,24.99,25.02,24.92,25.0,559511
2012-02-10,24.98,24.99,24.85,24.95,391622
2012-02-13,24.98,25.02,24.97,24.9999,289423
2012-02-14,25.0,25.05,24.96,25.0,345217
2012-02-15,25.04,25.08,24.98,25.07,269083
2012-02-16,25.07,25.1,25.01,25.01,291249
2012-02-17,25.06,25.15,25.0,25.06,441708
2012-02-21,25.15,25.22,25.05,25.07,380442
2012-02-22,25.09,25.2,25.075,25.16,280266
2012-02-23,25.22,25.3,25.19,25.23,439356
2012-02-24,25.29,25.39,25.21,25.33,275905
2012-02-27,25.38,25.44,25.3,25.39,217688
2012-02-28,25.45,25.66,25.4304,25.55,369108
2012-02-29,25.53,25.84,25.4,25.75,371437
2012-03-01,25.7,25.85,25.55,25.74,283768
2012-03-02,25.74,25.76,25.65,25.76,164144
2012-03-05,25.69,25.73,25.54,25.65,265090
2012-03-06,25.61,25.61,25.41,25.46,289267
2012-03-07,25.52,25.6,25.47,25.48,232428
2012-03-08,25.6,25.6,25.48,25.52,208325
2012-03-09,25.6,25.69,25.51,25.52,131855
2012-03-12,25.72,25.72,25.54,25.65,166195
2012-03-13,25.76,25.76,25.67,25.7,217065
2012-03-14,25.75,25.84,25.7,25.77,179237
2012-03-15,25.85,25.9,25.71,25.85,229669
2012-03-16,25.86,25.9,25.77,25.84,141806
2012-03-19,25.85,25.9,25.7,25.75,307106
2012-03-20,25.75,25.84,25.73,25.82,225311
2012-03-21,25.87,25.94,25.83,25.89,232803
2012-03-22,25.88,25.93,25.81,25.88,135740
2012-03-23,25.9,26.05,25.85,25.92,138243
2012-03-26,26.0,26.13,25.98,26.07,143938
2012-03-27,26.1,26.15,26.01,26.07,132470
2012-03-28,26.13,26.13,26.03,26.08,157642
2012-03-29,26.1,26.15,26.021,26.04,160003
2012-03-30,26.13,26.19,26.06,26.14,146599
2012-04-02,26.16,26.16,26.06,26.06,132870
2012-04-03,26.05,26.11,26.05,26.07,90199
2012-04-04,26.07,26.1,26.0,26.06,123105
2012-04-05,26.07,26.1,26.03,26.04,56464
2012-04-09,26.04,26.04,25.96,26.03,96115
2012-04-10,26.09,26.15,25.99,25.99,234290
2012-04-11,26.02,26.16,26.02,26.14,95801
2012-04-12,26.14,26.2,26.13,26.2,104571
2012-04-13,26.23,26.3,26.18,26.21,72045
2012-04-16,26.27,26.32,26.23,26.3,92186
2012-04-17,26.31,26.49,26.3,26.48,127975
2012-04-18,26.47,26.55,26.28,26.41,212738
2012-04-19,26.45,26.5,26.38,26.42,343785
2012-04-20,26.48,26.91,26.4,26.88,634017
2012-04-23,26.48,26.58,26.36,26.53,271393
2012-04-24,26.6,26.72,26.42,26.61,184998
2012-04-25,26.6,26.74,26.55,26.59,251138
2012-04-26,26.6,26.83,26.59,26.76,128027
2012-04-27,26.35,26.6,26.25,26.5,924002
2012-04-30,26.6,26.6,26.38,26.41,150196
2012-05-01,26.54,26.54,26.36,26.36,83761
2012-05-02,26.43,26.47,26.17,26.22,118677
2012-05-03,26.31,26.38,26.18,26.21,99306
2012-05-04,26.2,26.25,26.12,26.24,72984
2012-05-07,26.25,26.45,26.18,26.25,75442
2012-05-08,26.35,26.35,26.125,26.19,186916
2012-05-09,25.93,26.15,25.93,26.13,98222
2012-05-10,26.2,26.26,26.07,26.11,79631
2012-05-11,26.05,26.19,25.94,25.99,131521
2012-05-14,25.96,25.96,25.76,25.8,78585
2012-05-15,25.87,25.87,25.69,25.78,88987
2012-05-16,25.85,25.85,25.66,25.71,87306
2012-05-17,25.7,25.7,25.02,25.16,138098
2012-05-18,24.94,24.98,24.58,24.7217,236803
2012-05-21,24.79,25.59,24.75,25.38,127108
2012-05-22,25.37,25.77,25.37,25.69,99494
2012-05-23,25.47,25.63,25.11,25.63,158109
2012-05-24,25.52,25.99,25.4401,25.73,85491
2012-05-25,25.84,25.91,25.53,25.69,64628
2012-05-29,25.93,26.08,25.8576,26.04,68139
2012-05-30,25.93,25.95,25.61,25.74,86478
2012-05-31,25.88,25.94,25.51,25.8,114032
2012-06-01,25.55,25.85,25.49,25.75,82424
2012-06-04,25.87,25.89,25.55,25.7,94291
2012-06-05,25.61,25.95,25.61,25.67,72954
2012-06-06,25.88,26.0,25.84,25.93,83700
2012-06-07,26.07,26.1,25.75,25.79,100755
