date,open,high,low,close,volume
2000-01-03,7.25,7.31,7.19,7.19,68400
2000-01-04,6.88,7.12,6.88,7.0,172500
2000-01-05,7.06,7.06,6.88,6.94,79000
2000-01-06,6.88,7.12,6.88,7.06,69700
2000-01-07,7.06,7.5,7.06,7.25,167000
2000-01-10,7.31,7.38,7.25,7.31,52300
2000-01-11,7.25,7.31,7.12,7.19,33800
2000-01-12,7.19,7.25,7.06,7.25,126900
2000-01-13,7.25,7.31,7.19,7.19,40100
2000-01-14,7.25,7.44,7.12,7.38,93400
2000-01-18,7.31,7.38,7.12,7.25,66900
2000-01-19,7.19,7.5,7.19,7.5,143700
2000-01-20,7.5,7.5,7.25,7.31,43300
2000-01-21,7.25,7.25,7.0,7.12,61700
2000-01-24,7.12,7.12,6.75,6.75,129500
2000-01-25,6.75,6.88,6.62,6.69,104500
2000-01-26,6.56,6.62,6.44,6.56,110000
2000-01-27,6.62,6.94,6.56,6.94,142800
2000-01-28,6.81,6.81,6.5,6.5,103300
2000-01-31,6.56,6.75,6.38,6.44,64300
2000-02-01,6.44,6.44,5.88,6.0,119900
2000-02-02,6.12,6.19,5.75,5.81,143200
2000-02-03,5.75,6.0,5.69,6.0,77700
2000-02-04,6.31,7.5,6.31,7.5,389500
2000-02-07,7.88,7.94,6.94,7.38,354900
2000-02-08,7.38,7.38,6.62,6.75,129900
2000-02-09,7.19,7.31,7.19,7.25,169700
2000-02-10,7.44,7.69,7.25,7.61,150500
2000-02-11,7.62,7.62,7.31,7.5,53600
2000-02-14,7.5,7.5,7.0,7.12,69700
2000-02-15,7.0,7.12,6.94,7.12,53700
2000-02-16,7.06,7.31,7.0,7.0,76300
2000-02-17,7.31,7.31,6.81,6.81,98200
2000-02-18,6.88,7.25,6.88,7.19,98800
2000-02-22,7.25,7.38,7.0,7.31,127300
2000-02-23,7.25,7.75,7.25,7.62,388400
2000-02-24,7.5,7.56,7.38,7.5,125700
2000-02-25,7.5,7.56,7.06,7.12,98400
2000-02-28,7.06,7.12,6.94,7.0,51300
2000-02-29,6.94,7.06,6.94,7.0,53300
2000-03-01,7.0,7.06,6.94,6.94,115900
2000-03-02,7.0,7.0,6.75,6.75,124900
2000-03-03,6.75,6.81,6.62,6.62,151500
2000-03-06,6.69,6.81,6.5,6.5,75400
2000-03-07,6.62,6.81,6.56,6.75,194100
2000-03-08,6.75,6.75,6.38,6.44,70700
2000-03-09,6.56,6.56,6.25,6.25,124300
2000-03-10,6.25,6.25,5.94,6.0,96200
2000-03-13,6.19,6.25,6.06,6.12,80700
2000-03-14,6.12,6.19,6.06,6.19,60100
2000-03-15,6.19,6.19,6.0,6.06,52000
2000-03-16,6.06,6.19,6.0,6.12,99200
2000-03-17,6.12,6.12,5.81,5.94,167500
2000-03-20,6.0,6.06,5.94,6.0,178900
2000-03-21,6.0,6.25,5.88,6.12,359100
2000-03-22,6.0,6.38,6.0,6.25,196200
2000-03-23,6.12,6.19,6.0,6.12,33900
2000-03-24,6.12,6.12,6.06,6.06,31000
2000-03-27,6.06,6.06,5.81,5.94,107700
2000-03-28,5.88,6.0,5.88,6.0,36400
2000-03-29,6.0,6.0,5.5,5.56,139500
2000-03-30,5.56,5.62,5.44,5.44,82300
2000-03-31,5.56,5.69,5.5,5.56,79300
2000-04-03,5.62,5.62,5.5,5.5,73400
2000-04-04,5.56,6.19,5.44,6.0,296600
2000-04-05,6.0,6.0,5.81,5.94,115900
2000-04-06,5.94,5.94,5.75,5.81,30600
2000-04-07,5.81,5.81,5.56,5.62,75900
2000-04-10,5.75,5.81,5.56,5.62,50200
2000-04-11,5.75,5.75,5.56,5.62,74500
2000-04-12,5.62,5.81,5.62,5.69,66300
2000-04-13,5.75,5.81,5.56,5.62,41000
2000-04-14,5.75,6.0,5.75,5.94,156000
2000-04-17,6.0,6.0,5.69,5.75,108500
2000-04-18,5.69,5.75,5.62,5.69,73700
2000-04-19,5.62,5.75,5.62,5.69,72700
2000-04-20,5.62,5.75,5.62,5.62,89300
2000-04-24,5.62,5.69,5.56,5.62,63200
2000-04-25,5.62,5.69,5.56,5.62,68900
2000-04-26,5.56,5.62,5.56,5.62,46500
2000-04-27,5.62,5.69,5.56,5.62,137600
2000-04-28,5.62,5.62,5.38,5.38,106400
2000-05-01,5.38,5.56,5.31,5.56,59800
2000-05-02,5.69,6.19,5.5,6.19,334400
2000-05-03,6.06,6.06,5.75,6.0,165200
2000-05-04,6.06,6.69,6.06,6.56,503700
2000-05-05,6.62,6.62,5.88,6.12,166900
2000-05-08,6.0,6.12,5.94,6.12,92900
2000-05-09,6.12,6.56,5.94,6.56,217000
2000-05-10,6.56,6.69,6.31,6.44,90900
2000-05-11,6.31,6.38,6.19,6.38,34300
2000-05-12,6.38,6.44,6.25,6.44,52900
2000-05-15,6.38,6.44,6.25,6.31,87000
2000-05-16,6.25,6.5,6.25,6.38,83600
2000-05-17,6.31,6.44,6.19,6.38,168600
2000-05-18,6.31,6.38,6.0,6.06,67700
2000-05-19,6.06,6.19,5.94,6.0,141900
2000-05-22,6.0,6.19,6.0,6.0,54000
2000-05-23,6.0,6.06,5.75,5.81,67300
2000-05-24,5.75,5.88,5.75,5.75,81000
2000-05-25,5.75,5.81,5.31,5.31,104100
2000-05-26,5.31,5.44,5.25,5.38,89900
2000-05-30,5.5,5.56,5.38,5.44,111600
2000-05-31,5.44,5.44,5.31,5.38,91200
2000-06-01,5.38,5.56,5.38,5.56,97500
2000-06-02,5.5,6.06,5.5,6.06,182800
2000-06-05,6.06,6.94,6.06,6.88,309500
2000-06-06,6.88,7.12,6.88,7.12,377700
2000-06-07,6.88,7.0,6.75,7.0,111000
2000-06-08,6.88,6.88,6.69,6.88,70500
2000-06-09,6.94,6.94,6.56,6.56,65000
2000-06-12,6.5,6.88,6.5,6.81,98300
2000-06-13,6.94,7.06,6.62,6.62,149200
2000-06-14,6.69,6.94,6.69,6.94,85200
2000-06-15,6.81,6.81,6.5,6.56,81600
2000-06-16,6.69,6.69,6.31,6.31,103800
2000-06-19,6.38,6.38,6.06,6.06,93300
2000-06-20,6.12,6.19,6.0,6.0,87100
2000-06-21,6.06,6.31,6.0,6.31,129500
2000-06-22,6.25,6.56,6.25,6.5,168300
2000-06-23,6.5,6.5,6.25,6.38,24100
2000-06-26,6.38,6.5,6.25,6.31,96100
2000-06-27,6.25,6.25,6.19,6.19,150000
2000-06-28,6.19,6.38,6.19,6.31,233700
2000-06-29,6.31,6.31,6.06,6.06,52500
2000-06-30,6.06,6.44,6.06,6.44,78800
2000-07-03,6.31,6.44,6.25,6.25,33800
2000-07-05,6.19,6.31,6.06,6.06,122300
2000-07-06,6.06,6.25,6.06,6.25,47600
2000-07-07,6.25,6.25,6.0,6.0,63400
2000-07-10,6.06,6.12,6.0,6.12,64300
2000-07-11,6.06,6.12,6.0,6.06,130700
2000-07-12,6.06,6.12,6.0,6.06,45100
2000-07-13,6.06,6.12,5.94,5.94,50000
2000-07-14,6.0,6.0,5.69,5.69,81100
2000-07-17,5.75,5.88,5.69,5.81,131500
2000-07-18,5.81,5.94,5.81,5.88,63000
2000-07-19,5.75,5.88,5.75,5.88,109100
2000-07-20,5.81,5.88,5.75,5.75,71700
2000-07-21,5.81,5.81,5.62,5.62,92300
2000-07-24,5.69,5.81,5.62,5.81,65200
2000-07-25,5.88,5.88,5.69,5.69,76500
2000-07-26,5.69,6.12,5.69,6.0,155000
2000-07-27,6.0,6.06,5.81,6.06,63200
2000-07-28,6.06,6.06,5.88,6.06,94500
2000-07-31,6.06,6.06,5.88,5.94,126100
2000-08-01,6.0,6.0,5.88,5.94,30200
2000-08-02,5.88,5.94,5.81,5.88,31900
2000-08-03,5.81,5.81,5.31,5.31,216000
2000-08-04,5.38,5.56,5.38,5.5,38600
2000-08-07,5.62,5.62,5.56,5.62,45500
2000-08-08,5.62,5.69,5.56,5.62,58400
2000-08-09,5.62,5.69,5.56,5.62,33700
2000-08-10,5.69,5.75,5.62,5.75,33300
