date,open,high,low,close,volume
2000-01-03,46.0,46.5,43.56,44.0,1294600
2000-01-04,43.25,43.25,39.88,40.13,1234667
2000-01-05,40.0,44.94,39.13,43.44,1306800
2000-01-06,42.5,43.38,39.75,40.09,1024467
2000-01-07,40.31,41.88,39.88,41.0,452600
2000-01-10,40.06,41.25,40.0,40.5,352467
2000-01-11,40.31,40.31,37.0,37.22,1433600
2000-01-12,37.94,40.0,37.38,39.94,754800
2000-01-13,40.0,40.0,38.0,39.38,693067
2000-01-14,39.28,39.69,38.25,38.31,533200
2000-01-18,38.25,38.5,37.0,38.25,1125400
2000-01-19,38.38,38.38,36.0,36.75,674267
2000-01-20,37.25,37.38,34.25,35.94,991067
2000-01-21,35.94,37.75,35.38,36.56,990600
2000-01-24,37.0,37.5,36.75,36.75,747600
2000-01-25,36.81,36.88,35.59,36.13,654400
2000-01-26,35.69,41.25,35.63,39.06,2053000
2000-01-27,39.0,40.5,37.75,38.25,480467
2000-01-28,35.25,36.63,33.89,35.09,1798067
2000-01-31,35.94,36.38,34.0,36.31,634200
2000-02-01,36.5,36.75,34.13,34.13,1140000
2000-02-02,34.56,34.94,33.56,34.75,2700067
2000-02-03,33.5,33.56,30.25,30.27,2671000
2000-02-04,31.5,32.0,27.63,29.75,5128200
2000-02-07,30.06,33.0,26.5,30.06,6626267
2000-02-08,30.88,31.25,28.69,29.34,2148600
2000-02-09,29.69,29.69,27.5,27.81,2014267
2000-02-10,27.88,28.75,27.5,28.0,640000
2000-02-11,28.0,28.06,26.75,27.0,1621467
2000-02-14,27.13,28.75,26.81,28.5,1194267
2000-02-15,28.88,29.13,27.94,28.44,837867
2000-02-16,28.0,28.19,24.63,25.88,2435467
2000-02-17,24.0,24.13,20.63,20.94,4555800
2000-02-18,20.88,21.69,20.5,20.56,2544467
2000-02-22,21.5,23.75,21.0,22.75,2236067
2000-02-23,23.38,23.5,20.88,22.63,2108267
2000-02-24,22.63,23.56,21.75,22.0,1258267
2000-02-25,22.13,23.5,21.63,22.5,1085467
2000-02-28,23.06,25.25,22.75,23.06,2636200
2000-02-29,24.06,26.0,23.81,25.5,1172000
2000-03-01,28.13,30.13,25.0,25.63,4288000
2000-03-02,27.0,27.75,26.19,27.13,1661067
2000-03-03,27.5,27.75,26.44,27.0,837667
2000-03-06,27.0,27.5,26.44,26.63,518400
2000-03-07,26.63,27.13,26.5,26.56,483800
2000-03-08,26.5,27.06,25.13,27.0,641400
2000-03-09,26.88,27.13,26.0,26.94,827467
2000-03-10,26.56,27.5,26.0,26.94,1032667
2000-03-13,26.94,26.94,25.5,26.31,1074667
2000-03-14,26.38,27.13,26.13,27.06,508800
2000-03-15,27.31,30.06,27.19,30.0,2842800
2000-03-16,30.44,36.25,30.25,35.63,3951867
2000-03-17,33.19,36.25,33.0,35.06,2806867
2000-03-20,34.38,35.63,32.25,32.88,1173467
2000-03-21,32.25,34.13,31.75,33.25,786667
2000-03-22,33.25,37.0,33.25,36.63,1991467
2000-03-23,36.0,36.06,34.13,34.56,878867
2000-03-24,34.12,35.25,34.0,34.56,338000
2000-03-27,34.0,35.19,34.0,34.23,617200
2000-03-28,34.25,35.0,33.19,33.81,434400
2000-03-29,33.31,35.38,33.25,35.0,1154800
2000-03-30,34.88,37.63,34.88,36.31,915400
2000-03-31,36.38,38.0,36.25,37.94,1208067
2000-04-03,37.5,37.88,34.0,34.06,1001067
2000-04-04,30.25,31.13,28.0,30.98,4290800
2000-04-05,29.63,33.63,29.63,31.81,1135800
2000-04-06,31.69,33.75,31.0,32.13,1691867
2000-04-07,32.44,32.44,31.25,31.5,2072400
2000-04-10,31.44,31.56,30.25,30.5,1887800
2000-04-11,29.88,30.75,29.75,30.5,1809267
2000-04-12,30.63,30.75,29.5,30.06,661267
2000-04-13,29.94,29.97,28.25,28.38,1347600
2000-04-14,27.5,27.63,25.13,25.75,899667
