date,open,high,low,close,volume,splitfactor,divcash
2000-01-03,32.0,32.0,31.12,31.44,396900,1.0,0.0
2000-01-04,31.38,31.94,31.38,31.81,325500,1.0,0.0
2000-01-05,31.94,33.13,31.88,33.0,392200,1.0,0.0
2000-01-06,32.75,33.69,32.75,33.19,433000,1.0,0.0
2000-01-07,33.38,33.75,33.06,33.63,250500,1.0,0.0
2000-01-10,33.63,33.81,33.44,33.5,307700,1.0,0.0
2000-01-11,33.5,33.69,33.5,33.63,223000,1.0,0.0
2000-01-12,33.56,33.94,33.5,33.88,252500,1.0,0.0
2000-01-13,33.88,34.0,33.63,33.81,222400,1.0,0.0
2000-01-14,33.88,33.88,33.5,33.81,529900,1.0,0.0
2000-01-18,33.69,33.75,33.0,33.0,363800,1.0,0.0
2000-01-19,33.0,33.63,33.0,33.44,215500,1.0,0.0
2000-01-20,33.38,33.38,33.06,33.06,278800,1.0,0.0
2000-01-21,33.31,34.0,33.19,34.0,345000,1.0,0.0
2000-01-24,34.0,34.44,33.88,33.88,855500,1.0,0.0
2000-01-25,33.88,34.13,32.63,32.88,964400,1.0,0.0
2000-01-26,33.13,33.69,32.88,33.69,508500,1.0,0.0
2000-01-27,33.69,34.13,33.31,33.56,923900,1.0,0.0
2000-01-28,33.56,33.63,32.88,33.0,357300,1.0,0.0
2000-01-31,33.19,33.56,33.0,33.5,209900,1.0,0.0
2000-02-01,33.5,33.75,33.06,33.69,318200,1.0,0.0
2000-02-02,33.63,34.06,33.56,33.63,765300,1.0,0.0
2000-02-03,33.69,34.81,33.69,34.75,536200,1.0,0.0
2000-02-04,34.94,34.94,33.88,34.06,1106200,1.0,0.0
2000-02-07,34.0,34.0,33.56,33.69,2040500,1.0,0.0
2000-02-08,33.13,33.5,33.06,33.31,461400,1.0,0.6
2000-02-09,33.25,33.25,32.5,32.56,307500,1.0,0.0
2000-02-10,32.56,32.56,31.44,31.63,399000,1.0,0.0
2000-02-11,31.63,31.94,31.31,31.81,339400,1.0,0.0
2000-02-14,31.81,32.31,31.69,31.75,317600,1.0,0.0
2000-02-15,31.75,31.81,31.31,31.31,234600,1.0,0.0
2000-02-16,31.13,31.31,30.69,30.69,367900,1.0,0.0
2000-02-17,30.75,30.75,30.31,30.44,287100,1.0,0.0
2000-02-18,30.13,30.19,29.88,29.94,510500,1.0,0.0
