date,open,high,low,close,volume
2004-04-23,18.22,18.4,18.0,18.0,20895900
2004-04-26,18.0,18.04,17.6,17.8,5904000
2004-04-27,17.79,18.09,17.75,18.0,1306100
2004-04-28,18.0,18.03,17.8,17.85,799400
2004-04-29,17.8,17.8,17.6,17.62,584900
2004-04-30,17.6,17.78,17.6,17.7,328800
2004-05-03,17.85,17.93,17.75,17.85,592300
2004-05-04,17.85,17.87,17.5,17.8,1292200
2004-05-05,17.75,17.81,17.75,17.76,286000
2004-05-06,17.72,17.74,17.59,17.7,447500
2004-05-07,17.65,17.65,17.5,17.52,347000
2004-05-10,17.5,17.5,17.25,17.26,687000
2004-05-11,17.28,17.55,17.27,17.31,488800
2004-05-12,17.27,17.32,17.15,17.17,406900
2004-05-13,17.15,17.22,17.05,17.05,141400
2004-05-14,17.05,17.11,16.8,16.81,996600
2004-05-17,16.8,16.81,16.5,16.52,386100
2004-05-18,16.4,16.53,16.15,16.4,525900
2004-05-19,16.35,16.75,16.35,16.5,210000
2004-05-20,16.5,16.66,16.5,16.62,156400
2004-05-21,16.5,16.68,16.3,16.57,272800
2004-05-24,16.4,16.7,16.36,16.53,203100
2004-05-25,16.45,16.85,16.4,16.85,313600
2004-05-26,16.75,17.0,16.55,16.74,169800
2004-05-27,16.75,17.05,16.75,17.0,403900
2004-05-28,17.0,17.05,16.85,17.0,392400
2004-06-01,17.0,17.0,16.85,16.92,267000
2004-06-02,17.0,17.35,16.83,17.0,326000
2004-06-03,17.05,17.24,16.88,17.18,273200
2004-06-04,17.3,17.45,17.2,17.4,269400
2004-06-07,17.3,17.69,17.25,17.54,213300
2004-06-08,17.4,17.67,17.4,17.65,314600
2004-06-09,17.65,17.74,17.6,17.6,74900
2004-06-10,17.5,17.62,17.5,17.51,69700
2004-06-14,17.55,17.64,17.39,17.47,140900
2004-06-15,17.5,17.59,17.2,17.31,252200
2004-06-16,17.25,17.41,17.19,17.39,131200
2004-06-17,17.37,17.4,17.2,17.25,458900
2004-06-18,17.22,17.33,17.1,17.25,132700
2004-06-21,17.32,17.35,17.1,17.13,110800
2004-06-22,17.1,17.1,16.95,17.0,374400
2004-06-23,16.95,16.95,16.6,16.6,186700
2004-06-24,16.75,17.0,16.7,16.96,132700
2004-06-25,16.86,16.99,16.5,16.84,312100
2004-06-28,16.95,16.95,16.6,16.65,180400
2004-06-29,16.68,16.84,16.57,16.79,202500
2004-06-30,16.77,17.05,16.77,16.95,696000
2004-07-01,16.95,16.99,16.75,16.75,483800
2004-07-02,16.8,17.06,16.8,17.05,568200
2004-07-06,17.05,17.1,16.95,17.0,875600
2004-07-07,17.0,17.0,16.97,17.0,393000
2004-07-08,17.0,17.2,16.9,17.13,1257400
2004-07-09,17.14,17.35,17.14,17.25,60300
2004-07-12,17.35,17.44,17.25,17.28,57100
2004-07-13,17.28,17.5,17.22,17.26,202000
2004-07-14,17.2,17.45,17.2,17.4,149100
2004-07-15,17.4,17.47,17.3,17.46,131000
2004-07-16,17.45,17.45,17.24,17.24,475200
2004-07-19,17.25,17.3,17.16,17.25,74700
2004-07-20,17.25,17.27,17.03,17.05,193100
2004-07-21,17.1,17.29,17.1,17.12,140900
2004-07-22,17.12,17.12,17.0,17.09,59200
2004-07-23,17.05,17.05,16.96,17.0,48200
2004-07-26,17.2,17.2,16.95,16.98,159200
2004-07-27,17.0,17.08,16.97,17.01,74400
2004-07-28,17.05,17.05,16.91,16.99,161600
2004-07-29,17.0,17.12,17.0,17.1,263300
2004-07-30,17.1,17.25,17.03,17.25,366400
2004-08-02,17.25,17.25,17.06,17.2,138800
2004-08-03,17.2,17.29,17.05,17.14,361500
2004-08-04,16.7,16.8,16.0,16.2,897300
2004-08-05,16.15,16.16,15.57,15.79,828700
2004-08-06,15.75,15.84,15.65,15.77,185500
2004-08-09,15.57,15.79,15.56,15.61,144600
2004-08-10,15.7,15.85,15.7,15.83,136100
2004-08-11,16.38,16.38,15.73,15.94,403800
2004-08-12,15.99,15.99,15.6,15.64,262500
2004-08-13,15.58,15.6,15.5,15.5,83000
2004-08-16,15.55,15.57,15.11,15.5,173700
2004-08-17,15.45,15.55,15.2,15.2,325200
2004-08-18,15.3,15.3,14.9,14.96,902800
2004-08-19,14.97,15.37,14.91,15.37,1219400
2004-08-20,15.5,15.85,15.5,15.8,723400
2004-08-23,15.88,15.89,15.6,15.75,455200
2004-08-24,15.75,15.78,15.71,15.78,262100
2004-08-25,15.8,15.8,15.75,15.77,199300
2004-08-26,15.8,15.9,15.78,15.9,157100
2004-08-27,15.88,15.92,15.86,15.92,98500
2004-08-30,15.92,15.96,15.86,15.92,336600
2004-08-31,16.0,16.05,15.93,16.03,248000
2004-09-01,15.93,16.18,15.93,16.15,121600
2004-09-02,16.1,16.14,15.97,16.1,245300
2004-09-03,16.1,16.15,16.0,16.09,173000
2004-09-07,16.2,16.2,15.91,15.95,106700
2004-09-08,15.95,15.95,15.81,15.81,95200
2004-09-09,15.85,15.9,15.77,15.79,356700
2004-09-10,15.79,15.99,15.76,15.93,353900
2004-09-13,16.0,16.05,15.89,16.04,217800
2004-09-14,16.04,16.05,16.0,16.05,76700
2004-09-15,16.0,16.05,15.94,16.0,167000
2004-09-16,16.0,16.5,16.0,16.5,169400
2004-09-17,16.5,16.77,16.31,16.75,333700
2004-09-20,16.78,16.78,16.5,16.69,137100
2004-09-21,16.65,16.99,16.62,16.86,226900
2004-09-22,16.92,16.92,16.67,16.85,100100
2004-09-23,16.85,16.9,16.53,16.76,406400
2004-09-24,16.76,16.76,16.5,16.7,97700
2004-09-27,16.55,16.58,16.13,16.13,352200
2004-09-28,16.05,16.31,16.01,16.23,858900
2004-09-29,16.24,16.25,16.17,16.2,299200
2004-09-30,16.25,16.66,16.22,16.66,202400
2004-10-01,16.66,16.75,16.58,16.67,268100
2004-10-04,16.72,16.75,16.51,16.6,521100
2004-10-05,16.7,16.7,16.48,16.49,695300
2004-10-06,16.49,16.84,16.49,16.76,247400
2004-10-07,16.76,16.76,16.29,16.36,767800
2004-10-08,16.48,16.54,16.35,16.44,200000
2004-10-11,16.54,16.7,16.46,16.51,782200
2004-10-12,16.5,16.5,16.23,16.24,238400
2004-10-13,16.34,16.56,16.34,16.56,496400
2004-10-14,16.58,16.75,16.18,16.32,107800
2004-10-15,16.4,16.43,16.24,16.33,288800
2004-10-18,16.33,16.4,16.33,16.36,139400
2004-10-19,16.5,16.56,16.14,16.14,89000
2004-10-20,16.08,16.75,15.93,16.73,379300
2004-10-21,16.9,16.94,16.82,16.85,355200
2004-10-22,16.85,16.98,16.72,16.77,103300
2004-10-25,16.77,16.77,16.66,16.72,174800
2004-10-26,16.72,16.8,16.48,16.48,129500
2004-10-27,16.42,16.7,16.3,16.3,165100
2004-10-28,16.33,16.65,16.33,16.5,88500
2004-10-29,16.45,16.46,16.32,16.42,117600
2004-11-01,16.4,16.8,16.4,16.69,310800
