date,open,high,low,close,volume
2006-12-15,13.5,14.29,13.36,14.29,5134900
2006-12-18,13.9,14.22,13.53,13.99,426100
2006-12-19,13.702,13.8,13.5,13.79,289000
2006-12-20,13.5,13.8,13.5,13.75,155400
2006-12-21,13.7,14.55,13.6,14.55,184700
2006-12-22,14.05,14.49,13.81,14.19,40900
2006-12-26,13.71,14.0,13.5,14.0,88300
2006-12-27,13.69,14.15,13.67,14.06,46500
2006-12-28,13.73,14.04,13.65,13.86,42900
2006-12-29,13.75,14.05,13.75,14.05,32400
2007-01-03,13.72,14.16,13.4,14.15,76800
2007-01-04,13.42,14.02,13.42,13.86,60700
2007-01-05,13.51,14.09,13.51,13.85,40100
2007-01-08,13.6,14.0,13.5,13.93,29100
2007-01-09,13.62,14.0,13.57,14.0,27700
2007-01-10,13.62,14.0,13.62,13.9,37700
2007-01-11,13.78,14.01,13.64,14.0,59400
2007-01-12,13.87,14.0,13.66,13.92,210300
2007-01-16,14.28,14.6,14.08,14.33,120400
2007-01-17,14.25,14.7,14.25,14.56,49200
2007-01-18,14.42,14.7,14.35,14.41,93400
2007-01-19,14.4,14.61,14.4,14.44,61000
2007-01-22,14.4,14.44,14.2,14.36,52900
2007-01-23,14.33,14.5,14.25,14.35,84100
2007-01-24,14.65,15.0,14.2,14.405,485400
2007-01-25,14.5,14.55,14.25,14.46,51900
2007-01-26,14.4,14.45,14.35,14.37,200000
2007-01-29,13.97,14.4,13.97,14.4,75800
2007-01-30,14.35,14.46,14.27,14.35,100000
2007-01-31,14.24,14.47,14.14,14.4182,313300
2007-02-01,14.25,14.8,14.25,14.68,153900
2007-02-02,14.54,15.5,14.54,15.25,272400
2007-02-05,15.2,15.53,15.13,15.38,148400
2007-02-06,15.25,15.69,15.25,15.58,94100
2007-02-07,15.8,15.9,15.33,15.89,86300
2007-02-08,15.85,16.29,15.52,16.03,57800
2007-02-09,16.09,16.5,16.09,16.3,80200
2007-02-12,16.15,16.15,14.5,15.85,65000
2007-02-13,15.8765,16.38,15.87,16.25,71000
2007-02-14,16.4,16.5,15.86,16.5,23100
2007-02-15,15.81,16.5,15.8,16.35,36500
2007-02-16,16.4,16.4,15.9,16.4,24300
2007-02-20,16.5,16.75,15.51,16.58,74700
2007-02-21,16.75,16.75,16.0,16.21,141000
2007-02-22,15.95,16.87,15.1,16.87,72100
2007-02-23,16.8,17.18,16.44,16.64,153500
2007-02-26,16.8,16.8,16.07,16.26,119200
2007-02-27,16.35,16.5392,15.2,15.75,59300
2007-02-28,15.17,15.49,14.41,15.06,199800
2007-03-01,14.27,15.02,13.5,14.26,226600
2007-03-02,14.28,14.72,14.1709,14.41,75100
2007-03-05,14.2,14.63,14.2,14.37,34500
2007-03-06,14.16,14.5,13.5,14.15,87300
2007-03-07,14.15,14.15,13.97,14.0,95000
2007-03-08,13.85,14.046,13.85,14.0,47200
2007-03-09,13.98,14.56,13.65,14.5,183300
2007-03-12,14.36,15.47,13.85,14.95,83700
2007-03-13,14.78,14.79,13.7801,14.35,69200
2007-03-14,14.6,14.6,14.06,14.21,71800
2007-03-15,14.3,14.3,14.0,14.03,105700
2007-03-16,13.73,14.7,13.64,14.28,96600
2007-03-19,14.18,14.5,13.6,14.02,63400
2007-03-20,13.99,14.25,13.82,14.12,66300
2007-03-21,14.22,14.24,13.84,14.07,103200
2007-03-22,14.06,14.24,13.9,13.99,72700
2007-03-23,13.9,14.59,13.9,14.41,78500
2007-03-26,14.5,14.54,14.19,14.21,87700
2007-03-27,14.03,14.45,13.76,14.4,182800
2007-03-28,14.3,14.415,14.27,14.27,63600
2007-03-29,14.18,14.42,13.8,14.25,93900
2007-03-30,14.36,14.58,13.71,13.71,857400
2007-04-02,13.9,14.1,13.9,13.94,152400
2007-04-03,14.04,14.4,13.82,14.12,280400
2007-04-04,14.21,14.48,13.95,14.45,70800
2007-04-05,14.5,14.5,14.12,14.17,53200
2007-04-09,14.12,14.69,14.12,14.58,70000
2007-04-10,14.43,14.69,14.25,14.27,95100
2007-04-11,14.17,14.17,13.88,14.0,123500
2007-04-12,13.91,14.17,13.9,14.0,112500
2007-04-13,13.93,14.55,13.69,14.39,124900
2007-04-16,14.5,14.5,14.39,14.44,28300
2007-04-17,14.4,15.16,14.4,15.16,101600
2007-04-18,15.1,15.51,15.05,15.48,71600
2007-04-19,15.35,15.76,15.07,15.65,97200
2007-04-20,15.88,16.39,15.66,16.2,92800
2007-04-23,16.23,16.51,16.05,16.47,79100
2007-04-24,16.42,16.53,16.05,16.3,71700
2007-04-25,16.3,16.37,16.01,16.29,63000
2007-04-26,16.27,16.39,16.0,16.36,67200
2007-04-27,16.2,17.2,15.33,16.9,167500
2007-04-30,17.21,17.21,16.75,16.81,188700
2007-05-01,16.8,17.29,16.23,16.35,55400
2007-05-02,16.41,16.94,16.41,16.66,57900
2007-05-03,16.72,18.3,16.5,17.9,113300
2007-05-04,17.9,18.19,17.83,18.0,134900
2007-05-07,17.95,18.35,17.77,17.87,99300
2007-05-08,17.95,18.0,17.58,17.91,40600
2007-05-09,17.81,17.94,17.01,17.59,63200
2007-05-10,17.51,17.52,17.05,17.2,284200
2007-05-11,17.73,18.04,17.19,17.35,37300
2007-05-14,17.33,17.84,17.0601,17.49,48300
2007-05-15,17.44,17.98,16.66,16.7,70000
2007-05-16,16.78,17.49,16.66,17.1,53400
2007-05-17,17.12,17.12,16.43,16.78,46400
2007-05-18,16.77,17.44,16.5,17.44,34200
2007-05-21,17.49,17.98,16.85,16.91,34700
2007-05-22,16.9,17.43,16.9,17.28,81200
2007-05-23,17.34,17.34,16.8,16.81,21900
2007-05-24,16.68,16.8094,16.23,16.29,38200
2007-05-25,17.11,17.11,15.69,16.23,45900
2007-05-29,16.3,17.12,15.93,17.06,67400
2007-05-30,16.91,17.01,16.4,16.75,31400
2007-05-31,16.83,17.12,16.74,16.91,44600
2007-06-01,17.02,17.2,16.79,17.04,97200
2007-06-04,16.94,16.94,16.35,16.5,178200
2007-06-05,16.42,16.68,16.1,16.53,68400
2007-06-06,16.42,16.48,16.0,16.45,35100
2007-06-07,16.36,16.41,15.87,16.41,43600
2007-06-08,16.35,16.84,16.19,16.72,48400
2007-06-11,16.64,16.77,16.02,16.5,59800
2007-06-12,16.41,16.41,15.81,16.0,50000
2007-06-13,15.98,16.4,15.98,16.3,33800
2007-06-14,16.25,16.87,16.15,16.27,79000
2007-06-15,16.6,16.7,15.26,16.3,150600
2007-06-18,16.37,17.9,16.37,17.27,280500
2007-06-19,17.08,17.08,16.14,16.77,407700
2007-06-20,17.03,17.45,16.7,16.73,4928300
2007-06-21,16.69,17.68,16.6,17.66,714500
2007-06-22,17.0,17.32,16.6901,17.28,699800
2007-06-25,17.07,17.3,17.0,17.01,322800
2007-06-26,17.1,17.53,17.01,17.05,401900
2007-06-27,16.87,17.4,16.85,17.15,299800
2007-06-28,17.19,17.25,16.55,17.15,230800
2007-06-29,17.21,18.24,16.81,17.28,458000
2007-07-02,17.3,18.11,17.05,18.1,357800
