date,open,high,low,close,volume
2000-01-03,15.5,15.5,14.88,15.12,13425
2000-01-04,15.0,15.06,14.25,14.31,13700
2000-01-05,14.19,14.62,14.19,14.5,10325
2000-01-06,14.44,14.44,14.06,14.19,13700
2000-01-07,14.25,14.81,14.25,14.75,14275
2000-01-10,15.0,15.0,14.56,14.75,8800
2000-01-11,14.69,14.88,14.69,14.75,6325
2000-01-12,14.69,14.94,14.69,14.88,6275
2000-01-13,14.75,14.94,14.75,14.81,5000
2000-01-14,14.88,14.88,14.69,14.75,8025
2000-01-18,14.62,14.88,14.44,14.81,9800
2000-01-19,14.81,14.81,14.69,14.75,1925
2000-01-20,14.75,14.94,14.56,14.62,15825
2000-01-21,14.62,14.62,13.94,14.0,17375
2000-01-24,14.12,14.38,13.88,13.88,7700
2000-01-25,13.88,13.88,12.75,12.75,25225
2000-01-26,13.0,13.75,13.0,13.62,112750
2000-01-27,13.69,14.06,13.62,14.0,9275
2000-01-28,14.12,14.94,14.12,14.94,125150
2000-01-31,14.94,14.94,14.81,14.81,12025
2000-02-01,14.88,15.0,14.56,14.81,15300
2000-02-02,14.81,14.88,14.62,14.62,9975
2000-02-03,14.56,15.0,14.5,14.88,17925
2000-02-04,14.94,14.94,14.19,14.19,9775
2000-02-07,14.31,14.5,14.06,14.12,5625
2000-02-08,14.12,14.44,14.12,14.19,7500
2000-02-09,14.31,14.31,14.0,14.0,6625
2000-02-10,14.06,14.19,14.0,14.12,18225
2000-02-11,14.12,14.19,13.75,13.88,17600
2000-02-14,14.0,15.0,13.94,14.94,16400
2000-02-15,15.0,15.0,14.75,15.0,10375
2000-02-16,14.88,14.88,14.62,14.69,5775
2000-02-17,14.75,14.75,14.62,14.69,21325
2000-02-18,14.75,15.0,14.56,14.56,11825
2000-02-22,14.69,14.88,14.62,14.88,3775
2000-02-23,14.81,14.81,14.25,14.56,7075
2000-02-24,14.5,14.62,14.25,14.31,6850
2000-02-25,14.31,14.44,14.06,14.12,4500
2000-02-28,14.06,14.19,13.94,14.06,5400
2000-02-29,14.12,14.69,14.12,14.5,12425
2000-03-01,14.5,14.62,14.0,14.31,23150
2000-03-02,14.25,14.25,13.0,13.5,26125
2000-03-03,13.5,14.31,13.5,14.31,21625
2000-03-06,14.31,14.31,13.81,13.81,3125
2000-03-07,13.94,14.0,13.44,13.44,10550
2000-03-08,13.44,13.44,13.0,13.12,11250
2000-03-09,13.25,13.31,13.06,13.19,13950
2000-03-10,13.12,13.25,13.12,13.19,11125
2000-03-13,13.38,13.38,13.12,13.19,9375
2000-03-14,13.19,13.19,12.88,12.94,12075
2000-03-15,13.06,13.12,12.94,12.94,19050
2000-03-16,13.25,14.19,13.19,14.19,20675
2000-03-17,14.06,14.5,14.06,14.25,15350
2000-03-20,14.25,14.56,14.25,14.44,6225
2000-03-21,14.31,14.31,14.06,14.19,36050
2000-03-22,14.31,14.31,14.06,14.31,3275
2000-03-23,14.19,14.5,14.19,14.31,11950
2000-03-24,14.31,14.69,14.31,14.38,2950
2000-03-27,14.38,14.38,13.88,13.88,6825
2000-03-28,14.0,14.0,13.56,13.56,6500
2000-03-29,13.94,14.0,13.81,14.0,15300
2000-03-30,14.12,14.75,14.12,14.38,10975
2000-03-31,14.5,14.81,14.25,14.81,23875
2000-04-03,14.75,14.88,14.62,14.62,30550
2000-04-04,14.62,14.62,13.44,14.06,25500
2000-04-05,14.06,14.19,13.5,13.5,14000
2000-04-06,13.62,13.94,13.56,13.62,14525
2000-04-07,13.75,13.81,13.25,13.44,5225
2000-04-10,13.44,13.56,13.31,13.5,6250
2000-04-11,13.44,13.5,13.38,13.38,9400
2000-04-12,13.38,13.5,13.31,13.5,16100
2000-04-13,13.38,13.44,13.0,13.12,12875
2000-04-14,13.12,13.25,12.94,13.0,31200
2000-04-17,13.12,13.25,13.06,13.19,8400
2000-04-18,13.19,13.31,13.06,13.06,6275
2000-04-19,13.19,13.5,13.19,13.44,11925
2000-04-20,13.38,14.0,13.38,14.0,14675
2000-04-24,13.88,13.94,13.38,13.38,3950
2000-04-25,13.44,13.75,13.25,13.75,13175
2000-04-26,13.88,13.94,13.81,13.88,6575
2000-04-27,13.88,13.94,13.62,13.62,70325
2000-04-28,14.12,15.38,14.12,15.19,88000
2000-05-01,15.12,15.19,14.88,15.0,45400
2000-05-02,14.94,15.12,14.94,14.94,27000
2000-05-03,15.0,15.0,14.31,14.44,38825
2000-05-04,14.5,14.69,14.38,14.69,11150
2000-05-05,14.81,15.0,14.81,15.0,7750
2000-05-08,14.94,15.0,14.62,14.94,7100
2000-05-09,14.94,14.94,14.69,14.94,14425
2000-05-10,14.81,14.81,14.0,14.56,6675
2000-05-11,14.5,14.75,14.38,14.56,27950
2000-05-12,14.5,14.75,14.38,14.44,8275
2000-05-15,14.44,14.62,14.31,14.44,18475
2000-05-16,14.56,14.94,14.56,14.94,23450
2000-05-17,14.81,14.88,14.75,14.81,5500
2000-05-18,14.75,14.81,14.69,14.75,8650
2000-05-19,14.62,14.69,14.31,14.56,6850
2000-05-22,14.69,14.88,14.12,14.19,6300
2000-05-23,14.25,14.38,13.94,14.12,5125
2000-05-24,14.06,14.19,13.94,14.0,15450
2000-05-25,14.12,14.44,14.06,14.06,6000
2000-05-26,14.19,14.19,13.62,13.94,10400
2000-05-30,13.94,14.12,13.75,14.06,19975
2000-05-31,14.19,14.31,14.12,14.31,5750
2000-06-01,14.31,14.62,14.25,14.38,13525
2000-06-02,14.25,14.5,14.19,14.5,7250
2000-06-05,14.38,14.69,14.38,14.62,3775
2000-06-06,14.62,15.0,14.62,14.94,20825
2000-06-07,14.94,14.94,14.75,14.81,4250
2000-06-08,14.75,14.88,14.62,14.81,12550
2000-06-09,14.75,14.94,14.62,14.75,4050
2000-06-12,14.62,14.75,14.5,14.62,14900
2000-06-13,14.75,14.81,14.69,14.75,2375
2000-06-14,14.69,14.69,14.56,14.62,10000
2000-06-15,14.69,14.88,14.56,14.88,9525
2000-06-16,14.75,14.81,14.38,14.75,22075
2000-06-19,14.75,14.81,14.5,14.62,4750
2000-06-20,14.62,14.69,14.25,14.25,10750
2000-06-21,14.31,14.44,14.12,14.12,12600
2000-06-22,14.12,14.25,13.94,13.94,2275
2000-06-23,13.94,13.94,13.69,13.69,5075
2000-06-26,13.69,13.81,13.44,13.44,6225
2000-06-27,13.5,14.0,13.5,13.69,3525
