date,open,high,low,close,volume
2000-01-03,3.188,3.313,3.188,3.188,39300
2000-01-04,3.188,3.188,3.063,3.063,26000
2000-01-05,3.125,3.25,3.125,3.188,12800
2000-01-06,3.188,3.281,3.125,3.125,33900
2000-01-07,3.125,3.313,3.125,3.313,21900
2000-01-10,3.313,3.5,3.25,3.313,25600
2000-01-11,3.375,3.5,3.313,3.438,44900
2000-01-12,3.438,3.5,3.438,3.5,17400
2000-01-13,3.5,3.563,3.438,3.5,24500
2000-01-14,3.5,3.625,3.5,3.563,48100
2000-01-18,3.625,3.875,3.563,3.813,120600
2000-01-19,3.875,3.938,3.75,3.75,45900
2000-01-20,3.75,4.188,3.75,4.125,101800
2000-01-21,4.063,4.188,4.0,4.188,63100
2000-01-24,4.125,4.375,4.125,4.188,25400
2000-01-25,4.188,4.25,3.875,4.063,31500
2000-01-26,4.0,4.063,3.875,4.0,6000
2000-01-27,3.875,4.063,3.875,3.875,19700
2000-01-28,3.938,4.0,3.813,3.938,19500
2000-01-31,3.906,3.969,3.875,3.875,5000
2000-02-01,3.875,3.969,3.875,3.969,8900
2000-02-02,3.875,3.969,3.813,3.969,3600
2000-02-03,3.75,4.0,3.75,3.813,10700
2000-02-04,3.938,3.938,3.688,3.688,9000
2000-02-07,3.969,3.969,3.75,3.75,10800
2000-02-08,3.813,3.938,3.688,3.875,26100
2000-02-09,3.875,4.0,3.75,4.0,29400
2000-02-10,4.0,4.0,3.5,3.875,40900
2000-02-11,3.813,3.938,3.75,3.938,11400
2000-02-14,3.938,4.0,3.875,3.938,15300
2000-02-15,3.922,3.969,3.922,3.938,27000
2000-02-16,3.969,4.0,3.938,4.0,49700
2000-02-17,4.0,4.125,3.938,4.125,42000
2000-02-18,4.125,4.25,4.0,4.25,25800
2000-02-22,4.313,4.375,4.188,4.25,79600
2000-02-23,4.188,4.375,4.188,4.313,25700
2000-02-24,4.313,4.313,4.0,4.188,17500
2000-02-25,4.0,4.25,3.875,4.188,20300
2000-02-28,4.0,4.25,4.0,4.25,17600
2000-02-29,4.25,4.438,4.125,4.438,46000
2000-03-01,4.375,4.5,4.313,4.375,50400
2000-03-02,4.375,4.438,4.188,4.313,55300
2000-03-03,4.375,4.5,4.25,4.438,39700
2000-03-06,4.438,4.438,4.375,4.375,28100
2000-03-07,4.438,4.438,4.313,4.375,40600
2000-03-08,4.438,4.438,4.0,4.25,46600
2000-03-09,4.375,4.438,4.125,4.375,40400
2000-03-10,4.438,5.0,4.25,4.75,145700
2000-03-13,5.0,5.0,4.875,4.875,84600
2000-03-14,4.969,5.375,4.875,5.125,126900
2000-03-15,5.188,5.219,4.875,4.875,36200
2000-03-16,4.813,5.0,4.813,5.0,39600
2000-03-17,5.0,5.0,4.75,4.875,25300
2000-03-20,4.875,5.0,4.875,5.0,58000
2000-03-21,4.875,5.0,4.75,4.938,19700
2000-03-22,4.875,5.125,4.875,5.125,42600
