date,open,high,low,close,volume
2000-01-03,3.5,3.5,3.19,3.19,5300
2000-01-04,3.25,3.25,3.25,3.25,1200
2000-01-05,3.25,3.25,3.25,3.25,0
2000-01-06,3.25,3.25,3.25,3.25,0
2000-01-07,3.375,3.563,3.375,3.563,700
2000-01-10,3.375,3.375,3.375,3.375,200
2000-01-11,3.563,3.563,3.375,3.375,3500
2000-01-12,3.375,3.375,3.375,3.375,1000
2000-01-13,3.5,3.5,3.25,3.5,5300
2000-01-14,3.25,3.25,3.25,3.25,2600
2000-01-18,3.375,3.375,3.25,3.25,600
2000-01-19,3.25,3.25,3.25,3.25,400
2000-01-20,3.25,3.563,3.25,3.563,1200
2000-01-21,3.25,3.563,3.188,3.188,13300
2000-01-24,3.188,3.188,3.188,3.188,2300
2000-01-25,3.563,3.563,3.563,3.563,100
2000-01-26,3.188,3.188,3.188,3.188,2600
2000-01-27,3.188,3.188,3.188,3.188,600
2000-01-28,3.19,3.19,3.19,3.19,0
2000-01-31,3.563,3.563,3.188,3.188,1000
2000-02-01,3.5,3.5,3.188,3.188,2100
2000-02-02,3.19,3.19,3.19,3.19,0
2000-02-03,3.188,3.188,3.188,3.188,1100
2000-02-04,3.5,3.5,3.5,3.5,700
2000-02-07,3.188,3.188,3.188,3.188,1000
2000-02-08,3.5,3.5,3.375,3.5,1700
2000-02-09,3.563,3.563,3.25,3.25,300
2000-02-10,3.5,3.5,3.5,3.5,600
2000-02-11,3.438,3.5,3.438,3.5,9700
2000-02-14,3.5,3.5,3.5,3.5,3800
2000-02-15,3.563,3.75,3.5,3.5,5300
2000-02-16,3.438,3.75,3.438,3.75,4700
2000-02-17,3.875,4.0,3.625,3.625,24200
2000-02-18,3.5,3.625,3.5,3.5,10300
2000-02-22,3.438,3.625,3.438,3.5,8800
2000-02-23,3.5,3.5,3.5,3.5,9500
2000-02-24,3.344,3.5,3.344,3.5,5200
2000-02-25,3.344,3.5,3.188,3.5,1500
2000-02-28,3.344,3.344,3.188,3.188,4400
2000-02-29,3.25,3.25,3.25,3.25,1000
2000-03-01,3.25,3.25,3.188,3.188,3700
2000-03-02,3.25,3.25,3.25,3.25,200
2000-03-03,3.25,3.25,3.25,3.25,0
2000-03-06,3.25,3.375,3.25,3.375,7500
2000-03-07,3.594,3.625,3.563,3.625,7300
2000-03-08,3.563,3.563,3.563,3.563,3000
2000-03-09,3.563,3.563,3.563,3.563,2000
2000-03-10,3.563,3.625,3.313,3.313,5300
2000-03-13,3.625,3.625,3.313,3.313,3400
2000-03-14,3.313,3.625,3.313,3.625,600
2000-03-15,3.5,3.625,3.5,3.625,2600
2000-03-16,3.563,3.563,3.5,3.5,2900
