date,open,high,low,close,volume
2013-05-06,24.65,24.68,24.4,24.47,27900
2013-05-07,24.34,24.4,24.2,24.3,37000
2013-05-08,24.34,24.49,24.28,24.49,46300
2013-05-09,24.49,24.85,24.49,24.65,132300
2013-05-10,24.67,24.8,24.67,24.78,14300
2013-05-13,24.89,24.89,24.72,24.73,11500
2013-05-14,24.77,24.89,24.65,24.65,18400
2013-05-15,24.76,24.76,24.6,24.6,3600
2013-05-16,24.7,24.7,24.55,24.66,3400
2013-05-17,24.74,24.85,24.65,24.66,13800
2013-05-20,24.766,24.84,24.67,24.7,14400
2013-05-21,24.75,24.89,24.7,24.81,21000
2013-05-22,24.98,24.98,24.8,24.85,9500
2013-05-23,24.85,24.98,24.85,24.9799,5600
2013-05-24,24.98,24.98,24.92,24.94,6900
2013-05-28,24.92,24.98,24.9,24.95,4500
2013-05-29,24.77,24.9399,24.699,24.8,8600
2013-05-30,24.9,24.94,24.8,24.94,16900
2013-05-31,24.8,24.91,24.63,24.77,4700
2013-06-03,24.8,24.8,24.77,24.77,10300
2013-06-04,24.9697,24.9697,24.58,24.58,3000
2013-06-05,24.6001,24.6159,24.6001,24.6159,600
2013-06-06,24.62,24.62,24.62,24.62,0
2013-06-07,24.63,24.9,24.63,24.9,3500
2013-06-10,24.59,24.9497,24.5,24.85,4700
2013-06-11,24.79,24.79,24.79,24.79,400
2013-06-12,24.291,24.9,24.051,24.051,1700
2013-06-13,24.55,24.55,23.801,24.55,1800
2013-06-14,24.55,24.8175,24.4799,24.7898,10200
2013-06-17,24.785,24.8,24.69,24.7,5100
2013-06-18,24.65,24.65,24.51,24.51,2300
2013-06-19,24.51,24.51,24.51,24.51,0
2013-06-20,24.3,24.3,24.0,24.0,400
2013-06-21,24.25,24.85,24.25,24.5,2800
2013-06-24,24.06,24.06,23.07,23.86,1400
2013-06-25,23.99,24.65,23.5,23.95,1200
2013-06-26,24.4,24.75,24.35,24.37,1900
2013-06-27,23.95,24.5,22.95,23.94,5300
2013-06-28,24.1,24.7,24.1,24.7,900
2013-07-01,24.5,24.53,24.14,24.14,5300
2013-07-02,24.2,24.2,24.2,24.2,200
2013-07-03,23.94,23.95,21.58,23.94,5700
2013-07-05,23.96,24.38,23.73,24.35,11200
2013-07-08,24.35,24.35,24.35,24.35,0
2013-07-09,24.2,24.2,23.9992,23.9992,2200
2013-07-10,23.85,23.86,23.5,23.86,2100
2013-07-11,23.44,24.33,23.31,23.31,2100
2013-07-12,24.19,24.43,24.04,24.4,2000
2013-07-15,24.25,24.47,24.25,24.4,3500
2013-07-16,24.09,24.45,24.07,24.44,4300
2013-07-17,24.3,24.48,23.951,23.99,3700
2013-07-18,24.38,24.38,23.52,24.15,3500
2013-07-19,23.551,24.2375,23.55,24.2375,1300
2013-07-22,24.0,24.0,24.0,24.0,1000
2013-07-23,24.0,24.0,24.0,24.0,0
2013-07-24,24.0,24.0,24.0,24.0,0
2013-07-25,23.55,23.57,23.51,23.55,1000
2013-07-26,23.99,24.22,23.99,24.19,700
2013-07-29,24.27,24.305,24.27,24.305,450
2013-07-30,24.194,24.194,23.9499,23.9999,1000
2013-07-31,24.0,24.0,24.0,24.0,0
2013-08-01,24.5099,24.5099,24.5,24.5,800
2013-08-02,24.5,24.5,24.5,24.5,0
2013-08-05,24.185,24.44,24.18,24.4,1900
2013-08-06,24.2,24.2,24.18,24.2,600
2013-08-07,24.2,24.2,24.2,24.2,0
2013-08-08,24.19,24.19,23.2301,23.36,3400
2013-08-09,23.36,23.36,23.36,23.36,0
2013-08-12,23.36,23.36,23.36,23.36,0
2013-08-13,23.14,23.48,23.13,23.48,900
2013-08-14,23.75,23.7999,23.34,23.35,1400
2013-08-15,22.87,22.87,22.87,22.87,100
2013-08-16,23.25,23.25,22.41,22.41,2000
2013-08-19,22.41,22.41,22.41,22.41,0
2013-08-20,22.41,22.41,22.41,22.41,0
2013-08-21,21.9801,22.84,21.98,22.84,1100
2013-08-22,22.84,22.84,22.84,22.84,0
2013-08-23,23.23,23.23,22.31,22.33,1300
2013-08-26,22.3,22.3,22.3,22.3,200
2013-08-27,22.0,22.0,22.0,22.0,800
2013-08-28,22.0,22.22,22.0,22.0,1000
2013-08-29,22.0,22.15,22.0,22.15,1500
2013-08-30,22.0,22.0,22.0,22.0,700
2013-09-03,21.75,21.85,21.46,21.46,800
2013-09-04,21.46,21.46,21.46,21.46,0
2013-09-05,21.46,21.46,21.46,21.46,0
2013-09-06,21.6,21.75,21.6,21.75,1100
2013-09-09,21.75,21.75,21.75,21.75,0
2013-09-10,21.8,21.8,21.8,21.8,2000
2013-09-11,21.9,21.99,21.9,21.98,2700
2013-09-12,21.5,21.9,21.5,21.65,4900
2013-09-13,21.77,21.77,21.46,21.46,800
2013-09-16,21.97,21.97,21.93,21.93,600
2013-09-17,21.5,21.5,21.5,21.5,0
2013-09-18,21.75,21.9999,21.75,21.98,1100
2013-09-19,21.97,22.01,21.97,22.0,2800
2013-09-20,22.0,22.0,22.0,22.0,0
2013-09-23,22.25,22.25,22.17,22.17,500
2013-09-24,22.03,22.2,21.9,21.9,5300
2013-09-25,21.5601,21.5601,21.5601,21.5601,300
2013-09-26,21.8,22.25,21.8,22.25,700
2013-09-27,22.25,22.25,22.25,22.25,0
2013-09-30,22.25,22.25,22.25,22.25,0
2013-10-01,22.42,22.43,22.42,22.43,500
2013-10-02,22.43,22.43,22.43,22.43,0
2013-10-03,22.4,22.4,22.4,22.4,400
2013-10-04,22.4175,22.4175,22.4175,22.4175,100
2013-10-07,22.3503,22.3503,22.3503,22.3503,600
2013-10-08,22.42,22.42,22.2288,22.24,600
2013-10-09,22.24,22.24,22.24,22.24,0
2013-10-10,22.26,23.29,22.26,22.99,3200
2013-10-11,23.0577,23.0577,23.0577,23.0577,200
2013-10-14,23.06,23.06,23.06,23.06,0
2013-10-15,22.8,22.8554,22.8,22.8554,200
2013-10-16,22.86,23.04,22.73,22.73,1200
2013-10-17,22.73,22.801,22.73,22.801,600
2013-10-18,23.16,23.16,23.16,23.16,100
2013-10-21,23.17,23.19,23.13,23.19,1600
2013-10-22,23.26,23.26,23.26,23.26,100
2013-10-23,23.26,23.26,23.26,23.26,0
2013-10-24,23.0,23.0,22.9,22.91,1000
2013-10-25,22.91,22.91,22.91,22.91,0
2013-10-28,22.5,22.5,22.04,22.04,1200
2013-10-29,21.9,21.9,21.86,21.86,1700
2013-10-30,22.3,22.3,21.865,21.865,500
2013-10-31,21.87,21.87,21.87,21.87,0
2013-11-01,21.77,21.77,21.77,21.77,500
2013-11-04,22.17,22.17,21.51,21.53,1700
2013-11-05,21.55,21.55,21.55,21.55,800
2013-11-06,21.6,21.66,21.6,21.66,200
2013-11-07,21.73,21.73,21.68,21.68,200
2013-11-08,21.65,21.65,21.49,21.49,1100
2013-11-11,21.5,21.56,21.38,21.4,1200
2013-11-12,21.4,21.4,21.0,21.16,7800
2013-11-13,21.499,21.5,20.77,20.87,3700
2013-11-14,20.96,20.96,20.9,20.96,1100
2013-11-15,21.275,21.3,21.275,21.29,1700
2013-11-18,21.13,21.14,21.11,21.14,800
2013-11-19,21.15,21.15,21.15,21.15,200
2013-11-20,21.25,21.25,20.91,21.25,5000
2013-11-21,20.9018,21.25,20.9018,21.25,2800
2013-11-22,21.2396,21.25,21.05,21.25,800
2013-11-25,21.25,21.3499,21.01,21.3499,1500
2013-11-26,21.53,21.649,21.5,21.649,4200
2013-11-27,21.65,21.65,21.65,21.65,0
2013-11-29,21.65,21.65,21.65,21.65,0
2013-12-02,21.66,21.66,21.55,21.55,400
2013-12-03,21.55,21.79,21.55,21.75,5800
2013-12-04,21.6,21.6,21.6,21.6,200
2013-12-05,21.501,21.501,21.5,21.5,1500
2013-12-06,21.5,21.5,21.5,21.5,0
2013-12-09,21.5,21.5,21.31,21.35,7200
2013-12-10,21.36,21.36,20.66,21.14,18900
2013-12-11,20.75,20.95,20.75,20.8,5700
2013-12-12,20.6,20.77,20.6,20.7,3700
2013-12-13,20.8,20.8,20.75,20.76,1300
2013-12-16,20.61,20.69,20.5,20.57,12500
2013-12-17,20.54,20.87,20.52,20.818,3400
2013-12-18,20.818,20.818,20.818,20.818,23
2013-12-19,20.88,20.88,20.88,20.88,100
2013-12-20,20.85,20.85,20.85,20.85,200
2013-12-23,20.93,20.9399,20.9299,20.9399,2000
2013-12-24,20.94,20.94,20.91,20.91,1600
2013-12-26,20.9399,21.0,20.9399,21.0,8500
2013-12-27,21.0499,21.3999,21.0,21.25,6200
2013-12-30,21.35,21.3863,21.25,21.3863,2300
2013-12-31,21.39,21.62,21.39,21.6199,2400
2014-01-02,21.62,21.62,21.62,21.62,1200
2014-01-03,21.62,22.04,21.62,21.998,2600
2014-01-06,22.29,22.29,22.18,22.18,500
2014-01-07,22.31,22.34,22.31,22.34,3200
2014-01-08,22.34,22.34,22.34,22.34,9
2014-01-09,22.282,22.35,22.282,22.35,600
2014-01-10,22.01,22.35,22.01,22.349,1500
2014-01-13,22.15,22.15,22.15,22.15,300
2014-01-14,22.15,22.15,22.15,22.15,100
2014-01-15,21.9301,21.9301,21.9301,21.9301,500
2014-01-16,21.95,21.95,21.42,21.87,3500
2014-01-17,21.27,21.31,21.27,21.27,1500
2014-01-21,21.5,21.76,21.5,21.6,3800
2014-01-22,21.6,21.6,21.6,21.6,0
2014-01-23,21.71,21.71,21.65,21.67,1600
2014-01-24,21.551,21.57,21.55,21.57,2000
2014-01-27,21.749,21.75,21.749,21.75,1300
2014-01-28,21.5501,21.7,21.55,21.7,800
2014-01-29,21.75,21.78,21.7499,21.78,500
2014-01-30,21.93,21.93,21.9284,21.9284,700
2014-01-31,21.57,21.86,21.57,21.86,2200
2014-02-03,21.86,21.86,21.86,21.86,0
2014-02-04,21.86,21.985,21.86,21.985,800
2014-02-05,21.99,21.99,21.99,21.99,0
2014-02-06,21.97,21.97,21.97,21.97,200
2014-02-07,21.965,21.965,21.965,21.965,500
2014-02-10,21.97,21.97,21.65,21.65,1200
2014-02-11,21.65,21.65,21.65,21.65,0
2014-02-12,21.71,21.71,21.6001,21.6001,500
2014-02-13,21.6,21.6,21.6,21.6,0
2014-02-14,21.8,21.8999,21.65,21.65,1300
2014-02-18,21.66,21.8599,21.66,21.8599,500
2014-02-19,21.83,22.2,21.83,22.0,3500
2014-02-20,22.2,22.2,22.199,22.2,900
2014-02-21,22.23,22.24,22.23,22.23,900
2014-02-24,22.23,22.23,21.9001,21.9001,600
2014-02-25,22.0,22.0,22.0,22.0,200
2014-02-26,22.0,22.23,21.95,22.01,3900
2014-02-27,22.23,22.23,22.23,22.23,200
2014-02-28,22.225,22.23,22.225,22.23,1100
2014-03-03,22.46,22.46,22.46,22.46,100
2014-03-04,22.46,22.74,22.03,22.74,3900
2014-03-05,22.74,22.75,22.72,22.75,2400
2014-03-06,22.75,22.75,22.7455,22.75,800
2014-03-07,22.4,22.79,22.3,22.79,3300
2014-03-10,22.34,22.46,22.3,22.46,2600
2014-03-11,22.6638,22.6638,22.65,22.65,300
2014-03-12,22.65,22.65,22.65,22.65,0
2014-03-13,22.71,22.71,22.65,22.7,1200
2014-03-14,22.7,22.7,22.7,22.7,0
2014-03-17,22.68,22.7,22.68,22.68,2700
2014-03-18,22.7,22.7,22.68,22.68,900
2014-03-19,22.79,22.86,22.79,22.8177,1100
2014-03-20,22.81,22.81,22.45,22.45,1300
2014-03-21,23.08,23.31,22.72,22.8,4800
2014-03-24,22.53,23.2,22.53,23.2,2300
2014-03-25,23.2,23.26,23.2,23.26,700
2014-03-26,23.03,23.31,23.03,23.31,1500
2014-03-27,23.23,23.31,23.2,23.31,2900
2014-03-28,23.31,23.31,23.31,23.31,0
2014-03-31,23.31,23.31,23.31,23.31,0
2014-04-01,23.4,23.4,23.4,23.4,200
2014-04-02,23.75,23.75,23.75,23.75,600
2014-04-03,23.75,23.89,23.75,23.7501,400
2014-04-04,23.749,23.75,23.0701,23.0701,2300
2014-04-07,23.1,23.6,23.1,23.6,300
2014-04-08,23.6,23.6,23.6,23.6,0
2014-04-09,23.1401,23.5,23.14,23.5,1700
2014-04-10,23.96,23.96,23.5,23.5,900
2014-04-11,23.88,23.88,23.5,23.53,1600
2014-04-14,23.5,23.5001,23.5,23.5001,600
2014-04-15,23.75,23.75,23.75,23.75,100
2014-04-16,23.78,24.29,23.75,24.0,2300
2014-04-17,24.24,24.29,24.24,24.26,800
2014-04-21,24.26,24.26,24.26,24.26,0
2014-04-22,23.8,23.8001,23.8,23.8001,400
2014-04-23,23.88,23.88,23.85,23.85,1500
2014-04-24,23.8,23.8,23.8,23.8,300
2014-04-25,23.9001,23.9001,23.9001,23.9001,400
2014-04-28,24.0,24.0,23.97,24.0,1900
2014-04-29,24.0,24.0,24.0,24.0,400
2014-04-30,24.0,24.0,24.0,24.0,100
2014-05-01,23.9976,24.0,23.7199,23.72,2500
2014-05-02,23.72,23.72,23.72,23.72,1200
2014-05-05,23.65,23.65,23.649,23.65,1800
2014-05-06,23.7,23.75,23.61,23.65,8700
