date,open,high,low,close,volume
2013-06-26,24.85,24.88,24.45,24.73,181800
2013-06-27,24.55,24.75,24.4,24.69,52100
2013-06-28,24.7,24.7,24.55,24.65,62900
2013-07-01,24.65,24.87,24.58,24.85,78500
2013-07-02,24.85,24.95,24.8,24.8,63300
2013-07-03,24.61,24.87,24.61,24.75,5700
2013-07-05,24.69,24.74,24.04,24.5,23700
2013-07-08,24.32,24.61,24.32,24.36,80300
2013-07-09,24.45,24.48,24.11,24.12,19000
2013-07-10,24.11,24.2,24.0,24.0,38700
2013-07-11,24.03,24.21,24.0,24.06,19700
2013-07-12,24.05,24.22,23.84,23.99,18100
2013-07-15,23.99,24.02,23.7,23.7,16500
2013-07-16,23.9,23.9,23.4,23.46,21000
2013-07-17,23.17,23.75,23.16,23.75,38800
2013-07-18,23.43,23.73,23.39,23.65,22700
2013-07-19,23.86,23.86,23.59,23.6,14600
2013-07-22,23.78,23.8,23.4,23.6,45700
2013-07-23,23.45,23.8,23.45,23.7,68800
2013-07-24,23.8,23.87,23.26,23.44,23200
2013-07-25,23.44,23.59,23.25,23.59,30100
2013-07-26,23.63,23.65,23.44,23.6,21400
2013-07-29,23.7,23.71,23.55,23.6,37200
2013-07-30,23.72,23.72,23.32,23.43,24100
2013-07-31,23.62,23.62,23.25,23.36,24100
2013-08-01,23.5,23.5,23.0,23.03,47500
2013-08-02,23.25,23.3,23.15,23.15,5900
2013-08-05,23.2,23.2,22.83,23.09,12900
2013-08-06,23.1,23.1,22.56,22.82,42000
2013-08-07,22.4,23.24,22.4,23.19,43500
2013-08-08,23.25,23.25,22.7,22.87,39600
2013-08-09,23.0,23.0,22.8,22.94,15900
2013-08-12,22.95,23.0,22.8,22.8,14200
2013-08-13,22.81,22.93,22.7,22.71,22000
2013-08-14,22.7,22.93,22.25,22.49,22300
2013-08-15,22.72,22.72,21.91,22.31,39600
2013-08-16,22.02,22.49,21.53,21.67,27800
2013-08-19,21.7,21.7,20.82,21.12,71200
2013-08-20,21.2,21.33,20.78,21.25,46400
2013-08-21,21.25,21.38,20.85,21.14,32600
2013-08-22,21.29,21.36,21.01,21.29,17000
2013-08-23,21.0,21.82,21.0,21.82,22500
2013-08-26,21.91,21.94,21.55,21.85,24000
2013-08-27,21.83,22.15,21.83,22.0,25900
2013-08-28,22.07,22.2,21.89,22.1,15100
2013-08-29,22.0,22.5,22.0,22.01,18000
2013-08-30,22.13,22.34,22.01,22.26,11400
2013-09-03,22.2,22.2,21.58,21.82,32200
2013-09-04,21.6,22.15,21.6,21.82,22900
