date,open,high,low,close,volume
2000-01-03,9.88,9.88,9.0,9.31,215300
2000-01-04,9.438,9.438,8.563,8.688,104900
2000-01-05,8.688,8.75,8.438,8.5,264000
2000-01-06,8.5,8.5,8.375,8.438,149700
2000-01-07,8.5,8.625,8.438,8.5,141200
2000-01-10,8.5,8.5,8.438,8.5,156200
2000-01-11,8.5,8.563,8.375,8.5,250700
2000-01-12,8.5,8.5,8.375,8.438,195400
2000-01-13,8.5,8.563,7.813,7.938,913800
2000-01-14,7.938,8.438,7.875,8.188,2134700
2000-01-18,8.563,9.5,8.375,8.813,327900
2000-01-19,8.813,9.5,8.813,9.5,134300
2000-01-20,9.438,9.813,9.25,9.75,107100
2000-01-21,9.75,10.0,9.625,9.813,72800
2000-01-24,9.938,9.938,8.938,8.938,159500
2000-01-25,9.063,9.063,8.313,8.625,96600
2000-01-26,8.75,8.75,8.313,8.375,120700
2000-01-27,8.25,8.438,8.188,8.438,77500
2000-01-28,8.313,8.75,8.313,8.75,41000
2000-01-31,8.75,8.875,8.0,8.125,162100
2000-02-01,8.313,8.438,8.125,8.188,74500
2000-02-02,8.375,8.438,8.063,8.063,103000
2000-02-03,7.813,7.938,7.438,7.625,212200
2000-02-04,7.75,8.0,7.75,7.88,494200
2000-02-07,7.875,7.938,7.375,7.625,138700
2000-02-08,7.75,7.75,7.438,7.438,104800
2000-02-09,7.438,7.563,6.875,7.313,171900
2000-02-10,7.188,7.375,6.75,6.75,314300
2000-02-11,6.875,7.375,6.625,6.813,236500
2000-02-14,7.063,7.5,6.875,7.313,133300
2000-02-15,7.438,8.0,7.375,7.75,135400
2000-02-16,7.875,8.188,7.813,7.938,155100
2000-02-17,7.938,7.938,7.563,7.813,119900
2000-02-18,7.813,8.313,7.625,7.813,97300
2000-02-22,7.938,7.938,7.188,7.5,193400
2000-02-23,7.5,7.5,6.813,7.188,146000
2000-02-24,7.313,7.375,6.875,6.938,38800
2000-02-25,6.938,7.438,6.938,7.125,87100
2000-02-28,7.438,7.875,7.438,7.875,118600
2000-02-29,8.0,8.0,7.313,7.75,105700
2000-03-01,8.0,8.125,7.0,7.063,192400
2000-03-02,7.688,7.813,7.5,7.625,111800
2000-03-03,8.0,8.0,7.438,7.625,127300
2000-03-06,7.625,8.0,7.625,8.0,103100
2000-03-07,8.0,8.063,7.5,7.625,82200
2000-03-08,7.563,7.563,7.063,7.313,72300
2000-03-09,7.313,7.313,6.938,6.938,71500
2000-03-10,7.0,7.25,7.0,7.063,106100
2000-03-13,7.5,7.625,7.063,7.188,102600
2000-03-14,7.375,7.875,7.313,7.625,128300
2000-03-15,7.813,8.25,7.688,8.0,130800
2000-03-16,8.125,8.375,8.0,8.375,141400
2000-03-17,8.313,8.438,8.0,8.188,127300
2000-03-20,7.625,8.313,7.625,8.188,150300
2000-03-21,8.063,8.063,8.0,8.0,83300
2000-03-22,8.063,8.125,8.0,8.0,68500
2000-03-23,7.813,8.125,7.813,8.063,86600
2000-03-24,8.0,8.313,8.0,8.313,248200
2000-03-27,8.313,8.625,8.25,8.625,182500
2000-03-28,8.5,8.625,8.375,8.625,171200
2000-03-29,8.563,8.875,8.5,8.75,51200
2000-03-30,8.625,9.094,8.563,8.875,108500
2000-03-31,8.75,8.875,7.75,7.75,161800
2000-04-03,7.75,8.375,7.75,8.375,144800
2000-04-04,8.313,8.625,8.125,8.438,118300
2000-04-05,8.5,8.563,8.313,8.563,53200
2000-04-06,8.438,8.688,8.438,8.563,56900
2000-04-07,8.563,8.563,8.438,8.563,35100
2000-04-10,8.813,8.813,8.563,8.688,26300
2000-04-11,8.75,8.75,8.063,8.125,64500
2000-04-12,8.375,8.563,8.375,8.5,52700
2000-04-13,8.375,8.688,8.063,8.625,90000
2000-04-14,8.375,8.75,8.25,8.438,71700
2000-04-17,8.313,8.75,8.125,8.75,96600
2000-04-18,8.75,9.25,8.688,8.75,359900
2000-04-19,8.625,8.875,8.625,8.813,25900
2000-04-20,8.813,9.25,8.75,8.938,224000
2000-04-24,8.813,9.25,8.813,9.188,409800
2000-04-25,9.25,9.875,9.25,9.75,285000
2000-04-26,9.875,9.938,9.75,9.813,170000
2000-04-27,9.75,10.0,9.625,10.0,114700
2000-04-28,10.0,10.13,9.938,10.06,84400
2000-05-01,9.875,10.0,9.688,9.813,190200
2000-05-02,9.688,9.75,9.625,9.688,64500
2000-05-03,9.688,9.688,9.25,9.563,76800
2000-05-04,9.5,10.0,9.5,9.938,97100
2000-05-05,9.938,10.31,9.875,10.31,147300
2000-05-08,10.19,10.44,10.06,10.44,73600
2000-05-09,10.31,10.81,9.938,10.56,135000
2000-05-10,10.56,10.56,10.06,10.19,41300
2000-05-11,9.938,10.38,9.75,10.38,77100
2000-05-12,10.25,10.31,10.13,10.13,47900
2000-05-15,10.0,10.25,9.688,10.13,57300
2000-05-16,10.06,10.19,9.875,10.19,60500
2000-05-17,10.0,10.06,9.75,10.0,20000
2000-05-18,9.938,10.0,9.813,9.813,58100
2000-05-19,9.938,9.938,9.75,9.875,27800
2000-05-22,9.813,9.875,9.688,9.75,38900
2000-05-23,9.75,9.938,9.625,9.625,52000
2000-05-24,9.625,9.625,9.438,9.625,79000
2000-05-25,9.625,9.75,9.313,9.625,54400
2000-05-26,9.5,10.0,9.25,9.938,91000
2000-05-30,9.938,10.0,9.688,9.938,65500
2000-05-31,9.813,10.06,9.813,10.0,49900
2000-06-01,9.75,10.0,9.313,9.313,114500
2000-06-02,9.375,9.5,9.125,9.125,38300
2000-06-05,9.188,9.25,8.688,9.0,54500
2000-06-06,9.063,9.438,8.938,9.0,117300
2000-06-07,9.0,9.0,8.75,9.0,62400
2000-06-08,8.938,8.938,8.5,8.625,35600
2000-06-09,8.688,8.688,8.0,8.375,74000
2000-06-12,8.375,8.625,7.875,8.5,203400
2000-06-13,8.438,8.438,7.875,8.125,150500
2000-06-14,8.188,8.313,8.063,8.063,35300
2000-06-15,8.063,8.188,7.625,7.75,68700
2000-06-16,7.875,8.375,7.875,7.938,90700
2000-06-19,8.0,8.0,7.813,8.0,20700
2000-06-20,7.938,7.938,7.625,7.813,58900
2000-06-21,7.625,8.0,7.375,7.938,182700
2000-06-22,8.0,8.0,7.625,7.688,117800
2000-06-23,7.5,8.0,7.438,7.938,166400
2000-06-26,8.0,8.063,7.813,7.938,148400
2000-06-27,8.0,8.0,7.75,8.0,28700
2000-06-28,8.0,8.0,7.938,8.0,52000
2000-06-29,8.0,8.0,7.688,7.75,31100
2000-06-30,7.75,8.0,7.688,8.0,71600
2000-07-03,7.938,8.375,7.938,8.375,73600
2000-07-05,8.625,8.625,8.0,8.0,139600
2000-07-06,8.125,8.25,8.0,8.0,78700
2000-07-07,8.063,8.125,7.688,8.0,26400
2000-07-10,7.875,8.125,7.75,8.125,124200
2000-07-11,8.188,8.25,8.0,8.063,54100
2000-07-12,8.0,8.563,8.0,8.5,88900
2000-07-13,8.438,9.125,8.375,9.0,42600
2000-07-14,9.0,9.125,8.813,8.875,63800
2000-07-17,8.875,9.125,8.75,8.938,43700
2000-07-18,9.063,9.125,8.375,8.625,51300
2000-07-19,8.75,9.25,8.688,8.875,80200
2000-07-20,8.813,8.938,8.625,8.813,13900
2000-07-21,8.875,9.0,8.375,8.375,18200
2000-07-24,8.5,8.5,8.125,8.25,72400
2000-07-25,8.375,8.5,8.0,8.438,41000
2000-07-26,8.5,8.5,8.063,8.5,43600
2000-07-27,8.375,8.75,8.125,8.75,33100
2000-07-28,8.625,8.625,7.5,7.625,140900
2000-07-31,7.5,8.0,7.5,7.938,97400
2000-08-01,7.938,7.938,7.438,7.5,36600
2000-08-02,7.5,7.625,7.0,7.25,159900
2000-08-03,7.125,7.125,6.938,7.0,211300
2000-08-04,6.813,7.25,6.813,7.0,276200
2000-08-07,7.125,7.438,7.125,7.25,93400
2000-08-08,7.25,7.5,7.25,7.375,293900
2000-08-09,7.438,7.5,7.25,7.313,388400
2000-08-10,7.438,7.438,7.313,7.313,64100
