date,open,high,low,close,volume
2011-04-19,27.25,28.4,26.75,27.95,20033300
2011-04-20,28.06,28.34,27.88,28.1,2633200
2011-04-21,28.5,29.05,28.34,29.05,969100
2011-04-25,28.96,29.05,28.43,28.8,324300
2011-04-26,28.8,28.92,28.51,28.8,347600
2011-04-27,28.7,28.77,28.0,28.56,414500
2011-04-28,28.35,28.41,27.91,28.02,479800
2011-04-29,27.82,27.89,27.1705,27.6,717000
2011-05-02,27.5,27.75,27.5,27.67,440000
2011-05-03,27.57,27.57,27.03,27.13,238000
2011-05-04,27.06,27.06,26.586,26.69,324200
2011-05-05,26.65,26.71,26.5,26.62,870700
2011-05-06,26.82,26.82,26.4,26.76,344500
2011-05-09,26.93,27.43,26.75,27.27,184000
2011-05-10,27.47,27.8,27.47,27.75,354300
2011-05-11,27.65,28.22,27.38,27.81,217200
2011-05-12,28.05,28.73,27.7,28.65,108000
2011-05-13,28.75,28.97,28.681,28.95,431200
2011-05-16,28.8,29.08,28.61,28.98,270900
2011-05-17,29.1,29.1,28.48,28.55,172100
2011-05-18,28.65,29.15,28.49,29.0,270100
2011-05-19,29.13,29.63,29.0,29.54,400200
2011-05-20,29.59,29.94,29.1,29.7,1069900
2011-05-23,29.65,29.65,28.7,28.75,96900
2011-05-24,28.76,28.83,28.553,28.78,59600
2011-05-25,28.6,28.82,28.06,28.22,91300
2011-05-26,27.9,28.66,27.9,28.55,84800
2011-05-27,28.6,28.61,28.25,28.43,117400
2011-05-31,28.45,28.83,28.45,28.5,236000
2011-06-01,28.75,28.75,27.7,27.79,253500
2011-06-02,28.16,28.34,27.56,27.59,119200
2011-06-03,27.25,27.38,26.37,26.37,610900
2011-06-06,26.43,26.56,25.55,25.75,618500
2011-06-07,25.96,25.96,24.82,24.93,956500
2011-06-08,25.05,25.1,24.29,24.65,1064300
2011-06-09,24.65,25.2,24.35,24.9,775400
2011-06-10,24.81,25.0,24.41,24.91,427400
2011-06-13,25.08,26.08,24.89,25.63,978100
2011-06-14,25.67,26.45,25.67,26.33,503900
2011-06-15,26.15,26.34,25.63,25.78,511500
2011-06-16,26.0,26.08,25.72,25.75,380700
2011-06-17,25.93,26.08,25.5,25.9,539900
2011-06-20,25.84,26.04,25.5113,25.81,247600
2011-06-21,26.22,26.22,25.66,25.81,376800
2011-06-22,25.95,25.995,25.35,25.69,586400
2011-06-23,25.36,25.65,24.835,24.99,644100
2011-06-24,24.99,25.05,23.54,23.55,3719100
2011-06-27,23.55,24.1,23.02,23.98,750700
2011-06-28,24.01,24.92,24.01,24.89,452800
