date,open,high,low,close,volume
2019-04-25,9.7,9.72,9.7,9.7,202000
2019-04-26,9.7,9.7,9.7,9.7,0
2019-04-29,9.7,9.7,9.7,9.7,0
2019-04-30,9.7,9.7,9.7,9.7,0
2019-05-01,9.7,9.75,9.7,9.7,100000
2019-05-02,9.7,9.7,9.7,9.7,0
2019-05-03,9.7,9.7,9.7,9.7,0
2019-05-06,9.7,9.7,9.7,9.7,0
2019-05-07,9.7,9.7,9.7,9.7,0
2019-05-08,9.7,9.7,9.7,9.7,0
2019-05-09,9.7,9.7,9.7,9.7,0
2019-05-10,9.7,9.7,9.7,9.7,0
2019-05-13,9.7,9.7,9.7,9.7,0
2019-05-14,9.7,9.7,9.7,9.7,0
2019-05-15,9.7,9.7,9.7,9.7,0
2019-05-16,9.7,9.7,9.7,9.7,0
2019-05-17,9.6737,9.6737,9.6737,9.6737,150
2019-05-20,9.674,9.674,9.674,9.674,0
2019-05-21,9.674,9.674,9.674,9.674,1
2019-05-22,9.674,9.674,9.674,9.674,0
2019-05-23,9.796,9.796,9.796,9.796,151
2019-05-24,9.796,9.796,9.796,9.796,0
2019-05-28,9.796,9.796,9.796,9.796,0
2019-05-29,9.796,9.796,9.796,9.796,0
2019-05-30,9.796,9.796,9.796,9.796,151
2019-05-31,9.796,9.796,9.796,9.796,0
2019-06-03,9.796,9.796,9.796,9.796,153
2019-06-04,9.85,9.8993,9.79,9.79,16244
2019-06-05,9.79,9.79,9.79,9.79,1
2019-06-06,9.85,9.85,9.79,9.796,300
2019-06-07,9.7502,9.7502,9.7502,9.7502,801
2019-06-10,9.75,9.75,9.75,9.75,0
2019-06-11,9.75,9.75,9.75,9.75,0
2019-06-12,9.75,9.75,9.75,9.75,0
2019-06-13,9.75,9.75,9.75,9.75,0
2019-06-14,9.75,9.75,9.75,9.75,0
2019-06-17,9.75,9.75,9.75,9.75,0
2019-06-18,9.85,9.85,9.85,9.85,100
2019-06-19,9.85,9.85,9.8126,9.8126,200
2019-06-20,9.72,9.77,9.72,9.77,202
2019-06-21,9.77,9.77,9.77,9.77,0
2019-06-24,9.79,9.79,9.79,9.79,25002
2019-06-25,9.75,9.75,9.75,9.75,5501
2019-06-26,9.75,9.75,9.75,9.75,1000
2019-06-27,9.73,9.73,9.73,9.73,50000
2019-06-28,9.75,9.75,9.75,9.75,45100
2019-07-01,9.77,9.77,9.74,9.74,200
2019-07-02,9.76,9.76,9.75,9.75,4100
2019-07-03,9.75,9.75,9.75,9.75,1001
2019-07-05,9.75,9.75,9.75,9.75,1
