date,open,high,low,close,volume
2000-01-03,1.37,1.37,1.37,1.37,0
2000-01-04,1.375,1.437,1.375,1.437,3075
2000-01-05,1.437,1.437,1.437,1.437,3150
2000-01-06,1.437,1.5,1.437,1.5,5475
2000-01-07,1.562,1.812,1.5,1.812,6675
2000-01-10,1.812,1.812,1.687,1.812,5850
2000-01-11,1.75,1.75,1.625,1.625,9750
2000-01-12,1.875,1.875,1.812,1.875,2700
2000-01-13,1.875,1.875,1.75,1.875,3375
2000-01-14,1.75,1.875,1.625,1.875,3675
2000-01-18,1.875,1.875,1.875,1.875,450
2000-01-19,1.937,1.937,1.75,1.75,7950
2000-01-20,1.812,1.812,1.625,1.812,1950
2000-01-21,1.812,1.937,1.812,1.875,7050
2000-01-24,1.75,2.75,1.312,2.687,98700
2000-01-25,2.687,2.687,2.562,2.687,18600
2000-01-26,2.75,2.937,2.5,2.812,41475
2000-01-27,2.812,2.812,2.5,2.562,9450
2000-01-28,2.625,2.812,2.125,2.125,84375
2000-01-31,2.25,2.312,2.25,2.25,7800
2000-02-01,2.312,2.312,2.312,2.312,1575
2000-02-02,2.375,2.375,2.375,2.375,1500
2000-02-03,2.25,2.375,2.25,2.375,5250
2000-02-04,2.5,2.625,2.5,2.625,10875
2000-02-07,2.687,2.687,2.5,2.625,19875
2000-02-08,2.687,2.812,2.687,2.75,17100
2000-02-09,2.625,2.625,2.5,2.562,24300
2000-02-10,2.375,2.625,2.375,2.625,4500
2000-02-11,2.625,2.625,2.625,2.625,3000
2000-02-14,2.625,2.75,2.625,2.625,1200
2000-02-15,2.75,2.75,2.75,2.75,4500
2000-02-16,2.562,2.562,2.562,2.562,150
2000-02-17,2.687,2.687,2.562,2.687,5775
2000-02-18,2.75,2.812,2.562,2.812,8475
2000-02-22,2.812,2.937,2.625,2.875,43950
2000-02-23,2.812,2.812,2.75,2.75,5700
2000-02-24,2.875,2.875,2.625,2.75,7275
2000-02-25,2.25,2.937,2.25,2.875,16800
2000-02-28,2.875,2.875,2.75,2.75,7200
2000-02-29,2.75,2.75,2.75,2.75,0
2000-03-01,2.625,2.812,2.5,2.812,19500
2000-03-02,2.812,3.0,2.75,2.75,20700
2000-03-03,2.937,3.062,2.875,3.062,21000
2000-03-06,3.062,3.062,2.812,2.812,1050
2000-03-07,3.062,3.062,2.812,3.062,1875
2000-03-08,2.937,2.937,2.812,2.937,3450
2000-03-09,2.812,3.062,2.625,2.75,10950
2000-03-10,2.875,3.0,2.875,3.0,1275
