date,open,high,low,close,volume
2000-01-03,4.72,4.72,4.5,4.5,5000
2000-01-04,4.38,4.63,4.38,4.38,5000
2000-01-05,4.38,4.38,4.38,4.38,0
2000-01-06,4.38,4.38,4.38,4.38,2000
2000-01-07,4.38,4.38,4.38,4.38,0
2000-01-10,4.38,4.38,4.38,4.38,0
2000-01-11,4.38,4.38,4.38,4.38,0
2000-01-12,4.5,4.5,4.5,4.5,0
2000-01-13,4.5,4.5,4.5,4.5,0
2000-01-14,5.0,5.0,5.0,5.0,1000
2000-01-18,5.38,5.38,5.19,5.19,0
2000-01-19,5.19,5.19,5.19,5.19,0
2000-01-20,5.25,5.25,5.19,5.25,2000
2000-01-21,5.63,5.63,5.5,5.5,0
2000-01-24,5.5,5.5,5.5,5.5,0
2000-01-25,5.5,5.5,5.5,5.5,0
2000-01-26,5.88,8.5,5.88,7.78,28000
2000-01-27,8.19,8.25,7.31,7.31,14000
2000-01-28,7.38,7.38,7.31,7.31,3000
2000-01-31,7.31,7.31,7.31,7.31,0
2000-02-01,7.75,7.75,7.44,7.44,0
2000-02-02,7.25,7.25,7.25,7.25,0
2000-02-03,7.25,7.25,6.19,6.19,5000
2000-02-04,7.0,8.0,7.0,7.0,3000
2000-02-07,6.88,6.88,6.63,6.63,4000
2000-02-08,6.63,6.63,6.63,6.63,0
2000-02-09,6.5,6.5,6.38,6.38,1000
2000-02-10,6.44,6.44,6.25,6.25,3000
2000-02-11,6.06,6.06,6.06,6.06,0
2000-02-14,5.88,7.0,5.75,7.0,5000
2000-02-15,7.0,7.0,7.0,7.0,0
2000-02-16,7.0,7.0,6.63,6.63,4000
2000-02-17,6.97,6.97,6.97,6.97,1000
2000-02-18,6.97,6.97,6.97,6.97,0
2000-02-22,6.97,6.97,6.97,6.97,0
2000-02-23,6.97,6.97,6.13,6.31,4000
2000-02-24,6.38,7.0,6.38,6.97,15000
2000-02-25,6.97,6.97,6.78,6.78,0
2000-02-28,6.97,7.0,6.31,6.31,6000
2000-02-29,6.19,6.19,6.19,6.19,0
2000-03-01,7.0,7.0,7.0,7.0,0
2000-03-02,6.31,7.25,6.31,7.22,17000
2000-03-03,7.31,7.31,7.25,7.25,1000
2000-03-06,7.03,7.03,6.78,6.78,6000
2000-03-07,6.78,6.78,5.88,5.88,5000
2000-03-08,5.75,5.88,5.25,5.88,6000
2000-03-09,6.06,6.06,5.25,5.5,18000
2000-03-10,5.5,7.0,5.5,7.0,24000
2000-03-13,6.38,6.38,5.13,5.75,30000
2000-03-14,5.75,5.88,5.63,5.63,13000
2000-03-15,5.88,5.88,5.5,5.5,1000
2000-03-16,5.5,6.13,5.5,6.06,7000
2000-03-17,6.13,6.5,5.75,6.0,14000
2000-03-20,6.11,6.11,5.97,5.97,2000
2000-03-21,5.75,5.75,5.75,5.75,1000
2000-03-22,6.06,6.06,6.06,6.06,1000
2000-03-23,6.0,6.25,6.0,6.25,0
2000-03-24,6.75,7.38,6.63,7.31,5000
2000-03-27,7.25,7.81,7.25,7.66,10000
2000-03-28,7.73,7.84,6.72,6.72,15000
2000-03-29,6.97,7.47,6.5,6.88,23000
2000-03-30,6.75,6.84,6.75,6.81,0
2000-03-31,6.75,6.75,6.75,6.75,0
2000-04-03,6.88,6.88,6.88,6.88,0
2000-04-04,7.16,7.16,7.16,7.16,1000
2000-04-05,6.88,6.88,6.88,6.88,0
2000-04-06,6.88,6.88,6.88,6.88,0
2000-04-07,6.88,7.5,6.88,7.25,5000
2000-04-10,7.0,7.0,6.88,6.88,3000
2000-04-11,6.94,7.13,6.94,7.13,0
2000-04-12,6.88,7.56,6.56,6.97,34000
2000-04-13,7.0,7.0,7.0,7.0,0
2000-04-14,6.91,6.91,5.5,5.75,3000
2000-04-17,5.88,6.75,5.88,6.44,3000
2000-04-18,7.0,7.0,7.0,7.0,0
2000-04-19,7.25,7.5,7.0,7.38,19000
2000-04-20,7.5,7.5,6.81,6.94,3000
2000-04-24,6.94,6.94,6.94,6.94,0
2000-04-25,6.94,6.94,6.94,6.94,0
2000-04-26,6.94,6.94,6.94,6.94,0
2000-04-27,6.75,6.75,6.56,6.56,0
2000-04-28,6.5,7.25,6.5,7.25,1000
2000-05-01,7.13,7.13,6.63,6.94,3000
2000-05-02,6.94,6.94,6.94,6.94,0
2000-05-03,6.69,6.75,6.53,6.53,1000
2000-05-04,7.0,7.0,7.0,7.0,0
2000-05-05,7.0,7.0,7.0,7.0,0
2000-05-08,6.53,6.53,6.53,6.53,0
2000-05-09,6.5,6.53,6.0,6.0,1000
2000-05-10,6.5,7.88,6.25,7.09,10000
2000-05-11,7.13,8.0,7.13,7.5,5000
2000-05-12,7.5,7.53,7.5,7.53,1000
2000-05-15,7.63,8.25,7.5,7.5,26000
2000-05-16,7.13,7.13,6.88,6.91,8000
2000-05-17,6.91,6.91,6.63,6.63,2000
2000-05-18,6.91,7.41,6.75,6.75,2000
2000-05-19,7.0,7.75,7.0,7.19,2000
2000-05-22,7.0,7.0,6.5,6.5,4000
2000-05-23,6.75,6.75,6.69,6.69,5000
2000-05-24,6.75,6.75,6.75,6.75,15000
2000-05-25,6.75,6.75,6.75,6.75,0
2000-05-26,6.75,6.75,6.75,6.75,0
2000-05-30,7.0,7.0,7.0,7.0,0
2000-05-31,7.0,7.0,7.0,7.0,0
2000-06-01,7.0,7.0,7.0,7.0,0
2000-06-02,7.0,8.0,7.0,7.31,9000
2000-06-05,7.31,7.31,6.88,6.91,8000
2000-06-06,7.13,7.13,7.0,7.0,0
2000-06-07,7.0,7.0,7.0,7.0,0
2000-06-08,6.81,6.81,6.81,6.81,0
2000-06-09,6.81,6.81,6.81,6.81,0
2000-06-12,6.81,6.81,6.81,6.81,0
2000-06-13,6.88,6.88,6.88,6.88,1000
2000-06-14,6.88,6.94,6.88,6.88,8000
2000-06-15,6.88,6.88,6.88,6.88,0
2000-06-16,6.88,6.88,6.88,6.88,0
2000-06-19,6.97,6.97,6.97,6.97,0
2000-06-20,6.97,6.97,6.97,6.97,0
2000-06-21,6.97,6.97,6.97,6.97,0
2000-06-22,6.81,6.81,6.81,6.81,0
2000-06-23,6.81,6.81,6.81,6.81,0
2000-06-26,6.81,7.13,6.63,7.13,37000
2000-06-27,7.13,7.63,7.13,7.63,14000
2000-06-28,7.28,7.28,7.0,7.0,11000
2000-06-29,6.94,6.94,6.88,6.88,1000
2000-06-30,6.81,6.81,6.5,6.5,1000
2000-07-03,6.5,6.5,6.5,6.5,0
2000-07-05,6.63,6.63,6.0,6.06,3000
2000-07-06,6.0,6.5,6.0,6.38,70000
2000-07-07,6.34,6.34,6.25,6.25,9000
2000-07-10,6.25,6.25,6.25,6.25,0
2000-07-11,6.25,6.25,6.25,6.25,0
2000-07-12,6.25,6.25,6.25,6.25,0
2000-07-13,6.25,6.25,6.25,6.25,0
2000-07-14,6.25,6.25,6.25,6.25,0
2000-07-17,6.25,6.25,6.25,6.25,0
2000-07-18,6.25,6.25,6.25,6.25,0
2000-07-19,6.19,6.19,6.06,6.13,0
2000-07-20,6.13,6.13,6.13,6.13,0
2000-07-21,6.13,6.13,6.13,6.13,0
2000-07-24,5.94,5.94,5.94,5.94,0
2000-07-25,6.0,6.0,5.25,5.5,24000
2000-07-26,5.5,5.5,5.5,5.5,0
2000-07-27,5.5,5.5,5.5,5.5,0
2000-07-28,5.5,5.5,5.5,5.5,1000
2000-07-31,5.5,5.5,5.5,5.5,0
2000-08-01,5.5,5.5,5.5,5.5,2000
2000-08-02,5.44,5.44,5.44,5.44,0
2000-08-03,5.44,5.44,5.0,5.0,4000
2000-08-04,4.63,5.88,4.63,5.88,10000
2000-08-07,5.44,5.44,5.44,5.44,4000
2000-08-08,5.25,5.25,5.25,5.25,0
2000-08-09,5.25,5.25,5.25,5.25,0
2000-08-10,5.38,5.63,5.38,5.63,8000
2000-08-11,5.63,5.63,5.63,5.63,0
2000-08-14,5.66,6.25,5.5,5.5,27000
2000-08-15,5.44,5.44,5.44,5.44,0
2000-08-16,5.63,5.63,5.63,5.63,0
2000-08-17,5.63,6.25,5.63,6.25,1000
2000-08-18,6.25,6.38,6.25,6.38,8000
2000-08-21,6.0,6.22,6.0,6.0,7000
