date,open,high,low,close,volume
2007-05-10,5.5,6.058,5.5,5.5,13900
2007-05-11,4.86,5.46,4.6,4.89,39900
2007-05-14,4.82,4.82,4.0,4.16,340200
2007-05-15,4.1,4.6,4.06,4.51,100800
2007-05-16,4.55,4.98,4.45,4.9,195300
2007-05-17,4.9,4.9,4.51,4.7,89200
2007-05-18,4.65,5.09,4.6,4.8,150500
2007-05-21,4.7,4.85,4.5,4.75,81500
2007-05-22,4.7,4.75,4.22,4.25,150300
2007-05-23,4.3,4.7,4.3,4.5,64600
2007-05-24,4.4,4.42,4.24,4.37,72400
2007-05-25,4.35,4.67,4.22,4.67,52800
2007-05-29,4.6,4.6,4.41,4.47,46100
2007-05-30,4.3,4.35,4.17,4.19,69100
2007-05-31,4.2,4.5,4.2,4.3,193500
2007-06-01,4.49,4.51,4.2,4.42,169200
2007-06-04,4.41,4.46,4.25,4.31,83800
2007-06-05,4.34,4.47,4.34,4.46,75000
2007-06-06,4.47,4.51,4.4,4.5,132700
2007-06-07,4.5,4.74,4.45,4.72,335500
2007-06-08,4.65,4.9,4.49,4.72,357000
2007-06-11,4.74,4.74,4.49,4.5,40500
2007-06-12,4.49,4.55,4.34,4.5,376000
2007-06-13,4.45,4.45,4.23,4.4,69100
2007-06-14,4.4,4.4,4.25,4.3,21600
2007-06-15,4.28,4.3,4.22,4.29,28000
2007-06-18,4.3,4.37,4.24,4.29,58700
2007-06-19,4.25,4.35,4.25,4.32,28900
2007-06-20,4.3,4.33,4.25,4.31,28300
2007-06-21,4.28,4.45,4.25,4.44,37900
2007-06-22,4.4001,4.4001,4.11,4.3,85900
2007-06-25,4.2,4.3,4.01,4.3,165300
2007-06-26,4.29,4.29,4.01,4.14,171500
2007-06-27,4.1,4.2599,4.02,4.25,140400
2007-06-28,4.22,4.3,4.2,4.25,34400
2007-06-29,4.2,4.37,4.2,4.3,81200
2007-07-02,4.32,4.4599,4.25,4.4,55400
2007-07-03,4.4,4.4,4.32,4.35,13000
2007-07-05,4.35,4.42,4.3,4.34,60500
2007-07-06,4.31,4.43,4.25,4.43,144000
2007-07-09,4.39,4.62,4.38,4.6,119500
2007-07-10,4.63,4.64,4.49,4.5,69500
2007-07-11,4.48,4.4899,4.45,4.46,29300
2007-07-12,4.46,4.5,4.39,4.5,94700
2007-07-13,4.64,4.64,4.46,4.49,61800
2007-07-16,4.5,4.62,4.47,4.47,131500
2007-07-17,4.5,4.52,4.4,4.48,52300
2007-07-18,4.5,4.63,4.48,4.6052,61700
2007-07-19,4.61,4.65,4.55,4.6,37300
2007-07-20,4.62,5.0,4.62,4.93,65100
2007-07-23,5.0,5.49,4.9999,5.38,203200
2007-07-24,5.45,5.78,5.35,5.57,167400
2007-07-25,5.58,5.63,5.15,5.38,71800
2007-07-26,5.3,5.3506,4.8,5.04,79000
2007-07-27,5.05,5.18,5.0,5.13,45200
2007-07-30,5.1,5.55,5.05,5.42,66300
2007-07-31,5.6,5.61,5.42,5.48,83800
2007-08-01,5.45,5.62,5.3,5.6,69000
2007-08-02,5.51,5.89,5.51,5.8799,77500
2007-08-03,5.8,6.15,5.6,5.99,84800
2007-08-06,6.0,6.15,5.46,5.4601,88200
2007-08-07,5.66,5.94,5.5,5.84,52100
2007-08-08,5.8,5.91,5.6,5.68,57900
