date,open,high,low,close,volume
2014-11-17,0.5,1.03,0.5,0.8,257989
2014-11-18,1.04,1.04,0.85,0.87,26364
2014-11-19,0.91,0.9374,0.84,0.84,28305
2014-11-20,0.85,0.87,0.8,0.8,7375
2014-11-21,0.82,0.9265,0.797,0.9265,19465
2014-11-24,0.831,0.831,0.67,0.72,15200
2014-11-25,1.21,1.21,0.7,0.7,33600
2014-11-26,0.75,0.78,0.75,0.78,1100
2014-11-28,0.85,0.85,0.6995,0.6995,9300
2014-12-01,0.73,0.73,0.65,0.65,11150
2014-12-02,0.689,0.84,0.689,0.84,32150
2014-12-03,0.8,0.9,0.7801,0.9,18864
2014-12-04,1.04,1.15,0.8301,0.95,46650
2014-12-05,1.1,1.1,1.0,1.03,13400
2014-12-08,1.1,1.15,1.0,1.0,34521
2014-12-09,1.0649,1.0649,1.0,1.0,6290
2014-12-10,1.0762,1.0762,1.0,1.05,3356
2014-12-11,1.03,1.04,1.0,1.0109,14900
2014-12-12,1.03,1.05,0.98,1.05,14864
2014-12-15,1.06,1.12,1.02,1.1,25600
2014-12-16,1.1,1.294,1.1,1.11,30622
2014-12-17,1.1,1.12,1.07,1.07,18030
2014-12-18,1.14,1.2,1.1,1.2,7900
2014-12-19,1.239,1.239,1.229,1.23,6033
2014-12-22,1.25,1.25,1.15,1.15,14492
2014-12-23,1.12,1.29,1.12,1.29,7160
2014-12-24,1.25,1.25,1.2012,1.24,370
2014-12-26,1.22,1.22,1.16,1.22,9900
2014-12-29,1.2,1.23,1.2,1.23,800
2014-12-30,1.23,1.23,1.23,1.23,0
2014-12-31,1.21,1.21,1.21,1.21,100
2015-01-02,1.12,1.1201,1.12,1.1201,5500
2015-01-05,1.22,1.22,1.12,1.14,6484
2015-01-06,1.14,1.19,1.07,1.14,19601
2015-01-07,1.2092,1.21,1.14,1.21,5554
2015-01-08,1.17,1.17,1.15,1.16,7200
2015-01-09,1.17,1.18,1.17,1.18,400
2015-01-12,1.18,1.18,1.18,1.18,0
2015-01-13,1.18,1.18,1.18,1.18,0
2015-01-14,1.07,1.22,1.07,1.2,15796
2015-01-15,1.07,1.2,0.8025,1.2,29250
2015-01-16,1.08,1.17,1.02,1.17,11800
2015-01-20,1.18,1.21,1.17,1.21,1725
2015-01-21,1.22,1.23,1.22,1.23,200
2015-01-22,1.2,1.22,1.2,1.2,1600
2015-01-23,1.19,1.23,1.17,1.23,2300
2015-01-26,1.2299,1.23,1.2299,1.23,930
2015-01-27,1.24,1.3,1.18,1.25,17600
2015-01-28,1.4156,1.4273,1.33,1.36,57200
2015-01-29,1.33,1.4,1.3,1.4,3350
2015-01-30,1.4301,1.46,1.4299,1.43,7300
2015-02-02,1.41,1.44,1.4,1.44,350
2015-02-03,1.47,1.6,1.38,1.59,7900
2015-02-04,1.6,1.75,1.4001,1.68,23126
2015-02-05,1.63,1.76,1.63,1.75,58459
2015-02-06,1.7999,1.8,1.7,1.7,15461
2015-02-09,1.7,1.7899,1.65,1.7899,3785
2015-02-10,1.65,1.65,1.38,1.45,50567
2015-02-11,1.47,1.51,0.8998,0.8998,28302
2015-02-12,1.2,1.4,1.1999,1.3,17004
2015-02-13,1.3,1.39,1.2,1.26,36113
2015-02-17,1.29,1.53,1.29,1.47,7870
2015-02-18,1.55,1.55,1.38,1.43,7321
2015-02-19,1.43,1.43,1.43,1.43,0
2015-02-20,1.44,1.44,1.44,1.44,256
2015-02-23,1.22,1.65,1.22,1.62,34351
2015-02-24,1.49,1.66,1.49,1.6,21320
2015-02-25,1.5,1.59,1.49,1.59,11825
2015-02-26,1.33,1.54,1.3,1.42,8900
2015-02-27,1.4,1.52,1.3,1.5,15928
2015-03-02,1.52,1.7,1.52,1.65,24201
2015-03-03,1.5,1.56,1.5,1.54,5600
2015-03-04,1.47,1.47,1.46,1.46,206
2015-03-05,1.65,1.65,1.39,1.45,4385
2015-03-06,1.65,1.65,1.0974,1.45,3501
2015-03-09,1.45,1.4501,1.38,1.41,35473
2015-03-10,1.38,1.38,1.38,1.38,192
2015-03-11,1.39,1.39,1.35,1.35,1349
2015-03-12,1.45,1.4899,1.32,1.4276,3402
2015-03-13,1.5,1.5,1.181,1.33,800
2015-03-16,1.35,1.3601,1.25,1.25,6450
2015-03-17,1.2,1.26,1.19,1.2,4164
2015-03-18,1.25,1.48,1.2,1.37,31108
2015-03-19,1.5,1.5,1.38,1.38,961
2015-03-20,1.48,1.48,1.31,1.37,4406
2015-03-23,1.45,1.45,1.27,1.37,7571
2015-03-24,1.4399,1.4399,1.43,1.43,1000
2015-03-25,1.43,1.43,1.3042,1.41,4666
2015-03-26,1.2801,1.36,1.27,1.27,21770
2015-03-27,1.2,1.2,0.9,1.17,102324
2015-03-30,1.4,1.4,0.85,1.15,48283
2015-03-31,1.1,1.12,1.02,1.0499,12215
2015-04-01,1.05,1.1,1.05,1.0899,7000
2015-04-02,1.14,1.142,1.1,1.14,25295
2015-04-06,1.16,1.24,1.105,1.24,26115
2015-04-07,1.2102,1.2102,1.2,1.2,1495
2015-04-08,1.2,1.2,1.14,1.16,6709
2015-04-09,1.1401,1.1548,1.139,1.1408,8945
2015-04-10,1.14,1.1401,1.1,1.12,17307
2015-04-13,1.15,1.15,1.1,1.1001,2368
2015-04-14,1.15,1.18,1.12,1.15,19015
2015-04-15,1.1799,1.19,1.15,1.18,28500
2015-04-16,1.18,1.2,1.16,1.16,34600
2015-04-17,1.11,1.18,1.11,1.11,13200
2015-04-20,1.15,1.15,1.12,1.12,2200
2015-04-21,1.12,1.12,1.12,1.12,0
2015-04-22,1.0342,1.06,1.0342,1.06,2100
2015-04-23,1.12,1.12,1.02,1.02,5607
2015-04-24,1.03,1.03,0.99,1.02,8885
2015-04-27,1.05,1.07,0.99,1.07,11700
2015-04-28,1.03,1.11,1.02,1.11,4700
2015-04-29,1.0939,1.1288,1.0939,1.1288,401
2015-04-30,1.01,1.1,1.0,1.1,2222
2015-05-01,1.068,1.068,0.99,1.05,7823
2015-05-04,0.95,0.9999,0.95,0.9999,4102
2015-05-05,0.9001,0.97,0.9001,0.95,2404
2015-05-06,0.945,0.945,0.8599,0.925,5634
2015-05-07,0.9499,0.9499,0.89,0.9399,3200
2015-05-08,0.97,1.04,0.95,1.0,3400
2015-05-11,1.05,1.05,0.85,0.9,3006
2015-05-12,1.01,1.18,1.0,1.1,8136
2015-05-13,1.12,1.12,1.0899,1.09,12370
2015-05-14,1.1199,1.1199,1.0,1.0,3615
2015-05-15,1.0699,1.1,1.0,1.09,12552
2015-05-18,1.01,1.07,0.96,0.96,4000
2015-05-19,0.9899,0.9899,0.96,0.9799,2858
2015-05-20,0.96,1.02,0.93,0.96,12320
2015-05-21,0.96,0.96,0.96,0.96,2
2015-05-22,1.0,1.05,1.0,1.05,9800
2015-05-26,1.0,1.0,0.989,1.0,15650
2015-05-27,1.0499,1.0499,1.0499,1.0499,250
2015-05-28,1.0499,1.0499,1.0499,1.0499,0
2015-05-29,1.1,1.1,1.05,1.05,4502
2015-06-01,1.05,1.05,1.05,1.05,200
2015-06-02,0.97,1.03,0.92,1.03,6100
2015-06-03,1.03,1.03,1.03,1.03,102
2015-06-04,1.0799,1.08,0.93,0.96,15000
2015-06-05,1.0199,1.03,0.99,1.03,9200
2015-06-08,0.95,1.18,0.95,1.18,39850
2015-06-09,1.18,1.18,1.15,1.1529,9156
2015-06-10,1.16,1.16,1.15,1.15,1056
2015-06-11,1.1601,1.1601,1.1601,1.1601,200
2015-06-12,1.14,1.15,1.13,1.15,3104
2015-06-15,1.17,1.18,1.15,1.17,74100
2015-06-16,1.21,1.35,1.2,1.34,36713
2015-06-17,1.37,1.44,1.37,1.43,17870
2015-06-18,1.43,1.5,1.42,1.5,20500
2015-06-19,1.5,1.54,1.46,1.47,18272
2015-06-22,1.62,1.81,1.5,1.6,43175
2015-06-23,1.41,1.5,1.36,1.5,1917
2015-06-24,1.56,1.56,1.56,1.56,197
2015-06-25,1.3242,1.4,1.3242,1.36,6137
2015-06-26,1.3001,1.46,1.25,1.46,6826
2015-06-29,1.46,1.46,1.46,1.46,97
2015-06-30,1.2744,1.5,1.2728,1.4,4300
2015-07-01,1.2501,1.48,1.25,1.36,1900
2015-07-02,1.35,1.3501,1.35,1.35,2500
2015-07-06,1.38,1.38,1.35,1.35,4200
2015-07-07,1.2501,1.36,1.2501,1.35,1527
2015-07-08,1.31,1.31,1.0,1.15,222035
2015-07-09,1.3,1.35,1.04,1.2101,13940
2015-07-10,1.25,1.39,1.21,1.39,17000
2015-07-13,1.39,1.39,1.2601,1.38,5206
2015-07-14,1.39,1.39,1.39,1.39,520
2015-07-15,1.35,1.35,1.26,1.26,10450
2015-07-16,1.33,1.36,1.3,1.3,1400
2015-07-17,1.32,1.32,1.32,1.32,6000
2015-07-20,1.32,1.32,1.32,1.32,0
2015-07-21,1.2701,1.3899,1.26,1.26,3525
2015-07-22,1.21,1.21,1.19,1.19,2371
2015-07-23,1.23,1.23,1.22,1.22,500
2015-07-24,1.22,1.3,1.14,1.3,16493
2015-07-27,1.3,1.3,1.25,1.25,61900
2015-07-28,1.4,1.4,1.12,1.24,22200
2015-07-29,1.2,1.2,1.15,1.18,1700
2015-07-30,1.1501,1.1501,1.15,1.15,1842
2015-07-31,1.1101,1.12,1.1,1.1,8290
2015-08-03,1.1611,1.1852,1.13,1.13,13350
2015-08-04,1.15,1.15,1.13,1.13,811
2015-08-05,1.1301,1.1301,1.1301,1.1301,500
2015-08-06,1.1899,1.25,1.13,1.1301,16623
2015-08-07,1.11,1.2386,0.95,1.2386,18795
2015-08-10,1.2101,1.25,1.2101,1.25,3680
2015-08-11,1.221,1.33,1.18,1.33,21432
2015-08-12,1.25,1.35,1.25,1.28,12230
2015-08-13,1.26,1.356,1.26,1.2728,23751
2015-08-14,1.25,1.33,1.25,1.33,8900
2015-08-17,1.44,1.44,1.3,1.3,10230
2015-08-18,1.35,1.45,1.2,1.2,19171
2015-08-19,1.11,1.11,1.1,1.1,971
2015-08-20,1.25,1.26,1.2,1.22,12885
2015-08-21,1.25,1.25,1.15,1.15,4505
2015-08-24,1.17,1.17,1.14,1.15,11750
2015-08-25,1.2015,1.33,1.02,1.1,23823
2015-08-26,1.1,1.2999,0.9844,1.08,19947
2015-08-27,1.1,1.25,1.1,1.24,7051
2015-08-28,1.28,1.31,1.2101,1.31,4590
2015-08-31,1.36,1.45,1.34,1.3601,37936
2015-09-01,1.4936,1.5,1.46,1.5,19416
2015-09-02,1.47,1.5,1.4101,1.45,18504
2015-09-03,1.4236,1.4236,1.4,1.4,5400
2015-09-04,1.4404,1.45,1.44,1.44,500
2015-09-08,1.45,1.5501,1.4499,1.51,22409
2015-09-09,1.52,1.6204,1.41,1.5346,12450
2015-09-10,1.52,1.72,1.51,1.698,45323
2015-09-11,1.72,2.0,1.718,2.0,160331
2015-09-14,2.3,2.71,2.1,2.5,197562
2015-09-15,2.75,2.75,2.16,2.4899,25062
2015-09-16,2.59,2.693,2.2,2.693,43269
2015-09-17,2.68,2.84,2.2,2.84,35959
2015-09-18,2.84,3.3,2.64,3.3,70105
2015-09-21,3.27,3.7999,3.2,3.38,82767
2015-09-22,3.1,3.4,3.1,3.4,59685
2015-09-23,3.4,3.6124,3.4,3.48,44528
2015-09-24,3.48,3.5,3.25,3.34,49895
2015-09-25,3.15,3.35,3.1,3.24,7712
2015-09-28,3.1,3.18,2.76,3.06,4096
2015-09-29,3.1,3.299,2.75,3.15,25291
2015-09-30,3.09,3.1,3.0,3.0,9193
2015-10-01,3.01,3.01,2.57,2.8308,27825
2015-10-02,2.79,3.0,2.65,3.0,11181
2015-10-05,3.15,3.48,2.952,3.4,45727
2015-10-06,3.35,3.62,3.35,3.54,24828
2015-10-07,3.4,3.5,3.0,3.32,31714
2015-10-08,3.33,4.0,3.33,3.95,105890
2015-10-09,3.705,5.4527,3.705,5.06,321765
2015-10-12,5.01,5.75,4.75,4.88,126448
2015-10-13,4.75,5.3,4.74,4.8499,61585
2015-10-14,5.09,5.09,4.06,4.33,48405
2015-10-15,4.53,4.86,4.286,4.77,28390
2015-10-16,4.91,5.15,4.56,5.0,45082
2015-10-19,5.0,6.35,5.0,5.6448,101385
2015-10-20,5.63,5.65,5.08,5.25,52589
2015-10-21,5.11,5.11,4.64,4.7,13036
2015-10-22,4.9,4.9,4.36,4.38,28626
2015-10-23,4.6,5.0,4.48,4.78,34369
2015-10-26,5.0,5.05,4.41,4.67,28222
2015-10-27,4.38,4.6,4.25,4.33,7977
2015-10-28,4.5,4.5,4.01,4.27,27826
2015-10-29,4.4,4.4,0.91,1.246,646294
2015-10-30,1.4,1.69,1.28,1.444,584868
2015-11-02,1.88,2.49,1.55,2.07,553626
2015-11-03,2.48,2.64,2.15,2.1684,237857
2015-11-04,2.45,2.75,2.02,2.2,244525
2015-11-05,2.19,2.25,2.0,2.16,142183
2015-11-06,2.18,2.18,1.8,1.995,84732
2015-11-09,2.0,2.0,1.83,1.97,55894
2015-11-10,1.872,1.98,1.85,1.89,43434
2015-11-11,1.99,1.99,1.42,1.66,37442
2015-11-12,1.85,2.05,1.63,1.77,46206
2015-11-13,1.77,2.0,1.68,2.0,23133
2015-11-16,1.7159,1.91,1.7159,1.82,13179
2015-11-17,1.82,1.82,1.54,1.6,92882
2015-11-18,1.59,1.6696,1.48,1.58,83115
2015-11-19,1.6,2.01,1.6,2.01,185731
2015-11-20,2.2,2.49,1.9,1.91,64088
2015-11-23,2.0,2.0,0.97,1.46,277680
2015-11-24,1.4,1.5,1.26,1.33,73507
2015-11-25,1.55,1.55,1.26,1.36,55514
2015-11-27,1.36,1.4,1.3599,1.39,14705
2015-11-30,1.39,1.69,1.39,1.47,6959
2015-12-01,1.36,1.5,1.36,1.4799,17149
2015-12-02,1.56,1.74,1.494,1.7,55478
2015-12-03,1.75,1.75,1.59,1.71,26628
2015-12-04,1.71,1.8,1.53,1.6034,14771
2015-12-07,1.71,1.71,1.37,1.37,30797
2015-12-08,1.54,1.6666,1.5082,1.5649,41517
2015-12-09,1.69,1.69,1.55,1.65,7129
2015-12-10,1.557,1.57,1.557,1.57,411
2015-12-11,1.69,1.72,1.65,1.67,25073
2015-12-14,1.782,1.85,1.7,1.85,20578
2015-12-15,1.97,2.35,1.92,2.13,77642
2015-12-16,2.0,2.01,1.7,1.78,31275
2015-12-17,1.74,1.9,1.74,1.87,6361
2015-12-18,1.75,1.95,1.66,1.78,9415
2015-12-21,1.96,1.96,1.5968,1.63,24956
2015-12-22,1.7,1.72,1.5,1.6759,3781
2015-12-23,1.5242,1.71,1.5242,1.71,3402
2015-12-24,1.9,1.9,1.57,1.57,376
2015-12-28,1.5,1.8,1.5,1.6266,4482
2015-12-29,1.763,1.763,1.636,1.75,9056
2015-12-30,1.74,1.74,1.63,1.7201,1025
2015-12-31,1.66,1.7211,1.66,1.679,689
2016-01-04,1.616,1.616,1.616,1.616,382
2016-01-05,1.7,1.7,1.7,1.7,503
2016-01-06,1.8,1.8,1.71,1.71,1806
2016-01-07,2.35,2.35,1.38,1.62,20770
2016-01-08,1.5,1.52,1.5,1.5,22849
2016-01-11,1.5,1.5,1.38,1.44,11718
2016-01-12,1.461,1.461,1.2912,1.3,10252
2016-01-13,2.236,2.236,1.3,1.49,23320
2016-01-14,1.5,1.5,1.31,1.342,9928
2016-01-15,1.358,1.49,1.35,1.4357,15986
2016-01-19,1.45,1.8,1.372,1.5,13913
2016-01-20,1.434,1.62,1.34,1.47,600
2016-01-21,1.43,1.64,1.26,1.413,1197
2016-01-22,1.3,1.57,1.26,1.32,8715
2016-01-25,1.459,1.4642,1.45,1.45,1095
2016-01-26,1.5481,1.5481,1.36,1.4577,1422
