date,open,high,low,close,volume
2000-01-03,67.44,67.75,66.62,67.25,131300
2000-01-04,66.88,66.94,64.75,64.94,210200
2000-01-05,64.69,64.69,62.06,62.44,227800
2000-01-06,63.25,63.25,61.56,61.75,97600
2000-01-07,62.0,62.38,60.63,62.38,226400
2000-01-10,62.5,65.5,62.5,65.31,95400
2000-01-11,65.38,67.13,65.38,66.88,155200
2000-01-12,67.75,78.0,67.75,76.13,1630400
2000-01-13,76.38,77.81,74.0,75.13,345600
2000-01-14,75.0,78.0,75.0,76.69,144000
2000-01-18,78.81,81.0,78.38,78.75,320200
2000-01-19,78.5,80.0,76.63,78.0,239800
2000-01-20,79.25,80.88,77.5,77.56,195400
2000-01-21,77.56,78.0,74.5,74.56,147600
2000-01-24,74.81,77.25,73.0,74.0,187600
2000-01-25,74.0,74.0,71.13,71.94,101600
2000-01-26,71.94,73.56,70.0,73.0,168000
2000-01-27,73.25,74.44,71.69,71.94,137600
2000-01-28,71.94,72.56,68.38,68.56,69000
2000-01-31,68.56,69.5,66.81,67.88,168000
2000-02-01,67.88,68.19,66.88,67.44,101600
2000-02-02,67.44,70.5,67.44,68.88,88800
2000-02-03,69.5,69.69,68.94,69.19,90600
2000-02-04,70.19,70.19,69.38,70.19,57800
2000-02-07,69.5,70.06,68.75,69.06,50800
2000-02-08,69.75,71.5,69.75,69.75,129000
2000-02-09,69.81,69.81,67.5,67.69,72800
2000-02-10,67.88,68.0,66.31,66.69,58200
2000-02-11,66.75,67.38,65.5,66.25,86000
2000-02-14,66.25,82.0,65.94,81.94,1514000
2000-02-15,81.75,81.75,73.63,75.13,510400
2000-02-16,75.19,78.38,75.19,78.0,307600
2000-02-17,77.13,77.38,75.13,75.81,126800
2000-02-18,75.94,76.0,71.88,72.69,133200
2000-02-22,71.69,72.0,69.19,71.31,188600
2000-02-23,71.81,72.75,68.5,72.5,181800
2000-02-24,72.75,74.75,72.63,73.94,155600
2000-02-25,74.0,76.63,73.44,73.94,228800
2000-02-28,74.25,75.0,73.06,75.0,245600
2000-02-29,75.0,81.25,75.0,79.94,251000
2000-03-01,80.0,85.5,79.56,85.5,262200
2000-03-02,85.25,85.25,81.38,82.25,231400
2000-03-03,83.0,84.5,82.0,82.06,91800
2000-03-06,82.13,83.88,81.63,82.5,226600
2000-03-07,82.5,83.13,78.0,78.56,96200
2000-03-08,77.5,78.06,73.38,76.13,183000
2000-03-09,75.88,77.25,75.25,76.88,77800
2000-03-10,84.75,88.0,83.63,86.13,801000
2000-03-13,83.75,85.25,82.38,83.25,188400
2000-03-14,83.88,85.5,80.31,80.75,160600
2000-03-15,86.0,89.94,83.25,86.13,770200
2000-03-16,86.63,88.75,85.19,88.38,205200
2000-03-17,87.75,95.0,87.0,94.94,428000
2000-03-20,94.94,95.5,92.75,93.06,285000
2000-03-21,92.81,94.0,91.31,92.75,248200
2000-03-22,93.0,94.5,93.0,93.81,91600
2000-03-23,94.0,98.38,94.0,98.13,164000
2000-03-24,97.88,103.75,96.5,96.5,209400
2000-03-27,95.5,104.3,95.13,103.3,294800
2000-03-28,103.1,103.1,99.13,99.88,161000
2000-03-29,100.8,102.6,96.25,96.38,199600
2000-03-30,96.25,97.56,95.38,96.38,272600
2000-03-31,97.25,102.7,96.81,102.3,285600
2000-04-03,101.8,101.8,100.3,100.7,264000
2000-04-04,100.1,102.0,90.5,101.0,411400
2000-04-05,100.8,104.0,99.63,104.0,198400
2000-04-06,106.0,111.0,104.9,110.5,328200
2000-04-07,112.3,120.3,110.6,118.6,420200
2000-04-10,120.0,120.0,115.4,117.4,350200
2000-04-11,115.0,117.4,110.8,117.3,249400
2000-04-12,117.3,119.5,113.5,115.3,456000
2000-04-13,113.8,114.8,107.6,113.4,472800
2000-04-14,111.0,111.0,92.0,92.63,359000
2000-04-17,93.5,100.0,93.0,97.0,508400
2000-04-18,99.0,114.0,99.0,112.3,445200
2000-04-19,117.0,117.5,112.5,115.3,220200
2000-04-20,115.2,116.1,111.1,113.0,157000
2000-04-24,111.5,112.2,108.5,110.1,171000
2000-04-25,115.0,121.06,113.88,120.0,439400
2000-04-26,60.0,63.5,58.0,58.19,267100
2000-04-27,57.19,62.5,56.56,60.0,651200
2000-04-28,60.0,64.0,59.38,63.75,468600
2000-05-01,62.25,62.25,57.25,59.81,849800
2000-05-02,59.19,61.38,57.56,59.0,396400
2000-05-03,57.75,57.75,50.63,51.63,539400
2000-05-04,53.0,54.94,51.75,54.75,355000
2000-05-05,54.5,58.94,54.5,58.94,443800
2000-05-08,58.94,62.0,58.94,59.75,411600
2000-05-09,59.25,60.0,50.88,53.75,510600
2000-05-10,53.25,53.25,46.5,47.63,548800
2000-05-11,47.88,50.81,47.75,50.56,431200
2000-05-12,52.0,53.94,51.5,51.69,704600
2000-05-15,49.88,50.75,48.5,50.19,504800
2000-05-16,51.13,52.75,48.75,49.13,1081200
2000-05-17,48.75,49.13,47.5,49.06,6918000
2000-05-18,49.75,52.44,49.0,51.63,4521400
2000-05-19,51.25,51.25,49.19,49.44,1072200
2000-05-22,49.63,50.13,45.5,47.25,1800400
2000-05-23,47.5,48.63,46.5,46.5,1186000
2000-05-24,46.5,46.75,43.19,45.0,884200
2000-05-25,44.94,46.56,44.25,44.5,535200
2000-05-26,45.25,45.69,43.38,44.81,339400
2000-05-30,44.56,48.13,44.56,48.0,492200
2000-05-31,47.25,48.0,46.0,46.0,653000
2000-06-01,46.5,49.5,46.5,49.19,783200
2000-06-02,53.0,53.0,48.63,51.06,1046000
2000-06-05,50.81,50.81,48.88,49.13,706400
2000-06-06,49.31,51.0,49.0,49.56,426000
2000-06-07,49.56,50.69,49.56,50.13,344000
2000-06-08,50.19,50.81,49.5,50.06,204800
2000-06-09,50.88,51.69,50.31,51.63,257200
2000-06-12,51.69,52.94,49.31,49.81,370800
2000-06-13,51.63,51.63,47.0,49.69,538800
2000-06-14,49.69,51.19,48.88,49.0,268200
2000-06-15,54.88,57.63,52.69,56.63,1705400
2000-06-16,57.63,59.75,56.13,57.44,611000
2000-06-19,57.75,58.75,56.25,58.69,668800
2000-06-20,57.75,59.81,56.5,58.63,607800
2000-06-21,58.63,63.56,58.5,62.63,480400
2000-06-22,62.63,63.13,61.06,62.5,538000
2000-06-23,62.5,63.0,61.63,62.0,677600
2000-06-26,62.25,62.75,60.88,61.5,680000
2000-06-27,61.75,62.5,58.63,59.13,669400
2000-06-28,59.5,65.0,58.75,63.13,782800
2000-06-29,63.19,63.38,60.69,60.88,788000
2000-06-30,60.88,66.5,59.5,66.09,1367600
2000-07-03,66.19,68.0,65.94,67.75,445600
2000-07-05,67.88,69.5,65.63,66.31,1154200
2000-07-06,66.19,67.0,63.63,65.63,746800
2000-07-07,66.63,68.88,65.88,68.5,536800
2000-07-10,68.56,69.25,67.75,68.38,423600
2000-07-11,68.38,69.75,67.06,68.13,621800
2000-07-12,67.94,70.38,67.75,70.0,395600
2000-07-13,70.0,70.0,66.5,68.25,584000
2000-07-14,68.75,68.75,67.0,67.88,282800
2000-07-17,66.5,69.0,66.5,68.56,326800
2000-07-18,69.13,69.75,65.38,65.5,587600
2000-07-19,64.88,68.69,63.13,67.56,668600
2000-07-20,68.13,69.94,65.5,66.0,626800
2000-07-21,65.75,65.88,61.0,64.25,387400
2000-07-24,64.25,67.31,64.19,64.75,237200
2000-07-25,65.13,65.63,63.25,63.69,349000
2000-07-26,64.19,64.19,61.44,62.0,406600
2000-07-27,59.5,59.5,55.0,55.56,1351800
2000-07-28,55.31,58.0,48.38,56.19,1628800
2000-07-31,52.5,53.06,49.5,52.44,872000
2000-08-01,53.25,54.38,51.75,53.38,542800
2000-08-02,52.38,54.75,52.0,53.44,701600
2000-08-03,52.0,52.0,50.75,51.25,709200
2000-08-04,52.0,54.5,51.75,53.88,901800
2000-08-07,54.5,58.75,54.5,56.38,659000
2000-08-08,58.75,58.75,56.13,56.94,503000
2000-08-09,57.5,59.75,57.31,57.44,479000
2000-08-10,57.19,58.88,57.19,57.5,338000
2000-08-11,57.0,58.13,55.88,56.06,229000
2000-08-14,55.5,57.31,55.25,57.0,175400
2000-08-15,57.5,59.63,57.5,58.94,151400
2000-08-16,60.19,63.5,59.81,62.13,624000
2000-08-17,59.88,62.63,59.5,61.69,415200
2000-08-18,61.88,62.75,61.13,62.13,199000
2000-08-21,62.88,63.88,62.88,63.56,242600
2000-08-22,63.75,65.19,61.56,62.0,466200
2000-08-23,62.0,63.31,61.56,62.0,305400
2000-08-24,62.13,62.88,61.88,62.13,332600
2000-08-25,62.25,62.44,61.25,61.69,254600
2000-08-28,61.25,62.0,60.69,61.13,133800
2000-08-29,62.0,62.38,61.25,62.38,187000
2000-08-30,63.25,67.25,63.25,65.5,760200
2000-08-31,66.25,67.38,64.0,64.0,402200
2000-09-01,64.5,68.75,64.5,66.56,566000
2000-09-05,67.0,68.38,65.69,66.44,351600
2000-09-06,66.5,67.25,64.88,65.06,274400
2000-09-07,65.19,66.0,64.13,65.0,336800
2000-09-08,65.0,65.13,63.0,63.19,169000
2000-09-11,63.38,66.19,62.88,65.0,347000
2000-09-12,65.5,65.75,63.5,63.56,346800
2000-09-13,62.81,62.88,61.06,61.75,275600
2000-09-14,61.75,63.5,61.75,62.0,269800
2000-09-15,62.13,62.13,60.0,60.06,137200
2000-09-18,59.5,60.69,57.25,57.81,380800
2000-09-19,58.38,59.81,58.0,58.88,301400
2000-09-20,58.75,58.75,56.81,57.69,222400
2000-09-21,57.38,57.75,56.69,57.25,293400
2000-09-22,56.5,57.0,55.19,55.63,243600
2000-09-25,56.0,57.0,53.81,54.94,506200
2000-09-26,54.63,56.13,54.0,54.63,365200
2000-09-27,55.5,56.0,53.5,53.5,343400
2000-09-28,54.56,55.5,53.75,55.19,368400
2000-09-29,56.5,57.56,56.25,56.94,458000
2000-10-02,58.0,58.0,55.5,56.69,290000
2000-10-03,57.19,57.19,55.31,55.63,412800
2000-10-04,55.63,57.69,54.38,57.25,461200
2000-10-05,57.5,57.78,56.44,56.75,309200
2000-10-06,56.75,57.25,55.13,56.0,167600
2000-10-09,56.38,56.38,54.38,55.69,196200
2000-10-10,55.0,55.38,53.0,53.06,407000
2000-10-11,51.5,56.13,50.0,56.0,691200
2000-10-12,56.0,57.56,51.0,52.13,319400
2000-10-13,52.0,58.38,51.0,58.19,382600
2000-10-16,59.94,59.94,56.25,58.88,362200
2000-10-17,61.38,63.31,57.75,58.5,773000
2000-10-18,57.13,60.31,55.88,57.19,623600
2000-10-19,60.5,65.75,59.75,65.13,722800
2000-10-20,66.13,66.94,64.5,65.06,396200
2000-10-23,65.44,68.25,64.88,67.63,321800
2000-10-24,67.0,67.75,65.31,66.25,429000
2000-10-25,64.63,64.69,62.19,62.5,337600
2000-10-26,62.25,63.25,60.31,63.25,307000
2000-10-27,63.25,64.13,62.5,62.81,210000
2000-10-30,62.31,63.5,60.63,63.5,203400
2000-10-31,63.25,64.94,63.25,64.25,416400
2000-11-01,64.63,64.75,63.81,64.56,197800
2000-11-02,65.0,65.0,64.25,64.94,163800
2000-11-03,64.94,65.63,64.44,65.0,148400
