date,open,high,low,close,volume
2004-10-05,15.0,15.19,14.98,15.02,4235200
2004-10-06,15.1,15.1,15.0,15.0,539600
2004-10-07,15.0,15.2,15.0,15.15,798200
2004-10-08,15.2,15.4,15.2,15.3,465800
2004-10-11,15.3,15.4,15.25,15.35,201800
2004-10-12,15.3,15.49,15.2,15.25,149000
2004-10-13,15.37,15.42,15.25,15.3,71300
2004-10-14,15.31,15.35,15.1,15.11,107500
2004-10-15,15.15,15.19,15.0,15.15,185100
2004-10-18,15.23,15.39,15.05,15.36,108900
2004-10-19,15.15,15.45,15.15,15.35,221700
2004-10-20,15.3,15.5,15.3,15.38,85000
2004-10-21,15.4,15.4,15.25,15.3,65900
2004-10-22,15.29,15.39,15.24,15.24,15000
2004-10-25,15.24,15.34,15.14,15.2,7700
2004-10-26,15.16,15.16,15.01,15.1,59500
2004-10-27,15.08,15.2,15.0,15.2,53900
2004-10-28,15.1,15.15,15.04,15.15,188800
2004-10-29,15.15,15.2,15.15,15.15,31200
2004-11-01,15.15,15.2,15.07,15.15,35800
2004-11-02,15.15,15.3,15.15,15.25,44600
2004-11-03,15.29,15.35,15.25,15.3,40900
2004-11-04,15.4,15.4,15.22,15.3,36900
2004-11-05,15.4,15.62,15.2,15.4,116800
2004-11-08,15.3,15.3,15.1,15.12,28100
2004-11-09,15.11,15.19,15.1,15.1,49900
2004-11-10,15.2,15.34,15.11,15.22,44900
2004-11-11,15.05,15.45,15.05,15.31,58400
2004-11-12,15.25,15.6,15.25,15.26,30700
2004-11-15,15.5,16.5,15.5,16.0,131100
2004-11-16,16.4,17.25,16.0,16.23,227100
2004-11-17,16.75,16.75,16.3,16.75,120900
2004-11-18,17.1,17.1,16.66,16.85,281600
2004-11-19,17.0,17.65,16.75,17.35,650200
2004-11-22,17.7,17.9,17.41,17.82,422700
2004-11-23,17.94,18.2,17.55,17.89,638100
2004-11-24,18.1,18.47,17.77,17.8,296500
2004-11-26,18.0,18.18,17.5,17.87,73500
2004-11-29,18.0,18.2,17.0,17.66,244500
2004-11-30,17.99,18.25,17.8,18.05,361400
2004-12-01,18.3,18.7,18.0,18.26,214000
2004-12-02,18.53,19.7,18.0,18.35,290100
2004-12-03,18.64,18.85,18.15,18.75,154300
2004-12-06,18.93,19.03,17.75,18.39,201700
2004-12-07,18.5,18.75,18.45,18.68,178700
2004-12-08,18.8,19.01,18.26,18.78,110800
2004-12-09,19.05,19.25,18.33,18.75,90600
2004-12-10,18.75,19.03,18.0,18.75,89700
2004-12-13,19.13,19.23,18.79,19.04,86500
2004-12-14,19.1,20.0,18.65,19.6,181800
2004-12-15,20.02,20.02,19.0,19.16,115000
2004-12-16,19.29,19.3,18.0,18.39,162700
2004-12-17,18.19,19.18,18.0,18.25,542900
2004-12-20,18.68,18.95,17.24,18.5,275200
2004-12-21,19.0,19.0,18.25,18.8,103800
2004-12-22,18.75,19.1,18.75,19.07,59100
2004-12-23,19.18,19.69,18.75,19.0,63800
2004-12-27,19.29,19.6,19.1,19.42,31400
2004-12-28,19.1,19.64,19.0,19.64,62400
2004-12-29,20.0,20.0,19.41,19.57,46600
2004-12-30,19.625,19.75,19.4,19.4,33500
2004-12-31,19.4,19.5,17.55,19.43,187100
2005-01-03,19.7,19.7,18.6,18.66,77600
2005-01-04,18.57,18.9,18.3,18.74,69600
2005-01-05,18.86,19.0,18.25,18.44,54700
2005-01-06,18.5,18.72,18.0,18.0,76400
2005-01-07,18.47,18.5,18.07,18.35,48400
2005-01-10,18.295,18.6,17.75,18.1,83300
2005-01-11,18.3,18.44,17.75,18.25,66700
2005-01-12,18.34,18.5,17.15,18.0,120700
2005-01-13,18.0,18.15,17.82,18.02,37000
2005-01-14,18.4,18.4,18.02,18.2,25500
2005-01-18,18.03,18.47,18.03,18.3,27100
2005-01-19,18.36,18.36,18.02,18.1,20600
2005-01-20,18.01,18.4,18.0,18.25,28400
2005-01-21,18.36,18.47,17.89,18.12,32700
2005-01-24,18.18,18.27,18.0,18.17,38600
2005-01-25,18.3,18.3,17.37,18.09,33700
2005-01-26,18.3,18.4,17.85,18.275,33200
2005-01-27,18.4,18.48,17.75,17.75,40400
2005-01-28,18.44,18.48,17.75,17.95,14100
2005-01-31,18.45,18.55,17.84,18.1,39900
2005-02-01,18.2,18.38,17.9,18.38,46100
2005-02-02,18.3,18.47,18.01,18.43,28000
2005-02-03,18.4,18.75,18.11,18.55,33100
2005-02-04,18.48,18.5,17.96,18.37,38600
2005-02-07,17.8,18.3,17.6,17.87,131400
2005-02-08,18.2,18.2,17.85,17.95,38300
2005-02-09,17.851,18.2,17.85,17.85,24500
2005-02-10,18.14,18.2,18.0,18.2,37000
2005-02-11,18.07,18.32,17.95,18.0,96000
2005-02-14,18.0,18.15,17.86,17.99,36200
2005-02-15,18.0,18.14,17.76,17.76,75500
2005-02-16,17.7,18.0,16.76,17.65,77200
2005-02-17,17.4,17.8,17.27,17.37,18900
2005-02-18,17.41,17.5,16.63,17.07,35100
2005-02-22,17.23,17.73,16.56,16.83,51900
2005-02-23,17.18,17.44,15.75,16.42,88200
2005-02-24,16.25,17.24,15.71,17.24,25800
2005-02-25,17.07,17.27,16.76,17.0,38600
2005-02-28,16.915,17.39,16.75,17.0,56900
2005-03-01,17.08,17.25,17.0,17.0,18000
2005-03-02,16.9,17.49,16.75,17.33,18200
2005-03-03,17.1,17.5,16.65,17.27,22600
2005-03-04,17.29,17.29,16.78,17.15,16100
2005-03-07,17.06,17.25,16.86,16.86,27800
2005-03-08,16.925,17.49,16.72,16.75,15700
2005-03-09,16.72,17.49,16.51,16.75,22000
2005-03-10,16.815,16.85,16.26,16.35,30500
2005-03-11,16.2,17.1,16.04,16.18,49200
2005-03-14,16.5,16.8,16.34,16.6,17300
2005-03-15,16.77,16.77,16.45,16.5,6600
2005-03-16,16.35,16.46,16.1,16.41,18600
2005-03-17,16.62,16.7,16.01,16.19,94100
2005-03-18,15.91,16.23,15.84,16.18,3462000
2005-03-21,16.05,16.18,16.0,16.07,456900
2005-03-22,16.04,16.14,16.0,16.09,426100
2005-03-23,16.09,16.09,15.45,15.74,437900
2005-03-24,15.77,15.95,15.6,15.62,574300
2005-03-28,15.57,15.66,15.32,15.57,173100
2005-03-29,15.66,15.9,15.585,15.81,210700
2005-03-30,15.85,16.1,15.84,16.07,335700
2005-03-31,16.15,16.47,15.99,16.4,406700
2005-04-01,16.89,16.9,16.43,16.67,424900
2005-04-04,16.89,16.89,16.51,16.76,139800
2005-04-05,16.74,16.82,16.28,16.7,125900
2005-04-06,16.95,16.95,16.3,16.61,89500
2005-04-07,16.44,16.86,16.3,16.86,127400
2005-04-08,16.86,16.86,16.5,16.6,75500
2005-04-11,16.79,16.79,16.31,16.46,65900
2005-04-12,16.58,16.85,16.35,16.84,226900
2005-04-13,16.75,16.8,16.5,16.69,141400
2005-04-14,16.8,16.8,16.25,16.41,143800
