date,open,high,low,close,volume
2000-01-03,12.72,13.56,12.63,13.56,63800
2000-01-04,13.5,13.63,13.25,13.56,93600
2000-01-05,13.56,13.56,12.75,13.13,52100
2000-01-06,13.41,13.56,13.13,13.13,36400
2000-01-07,13.25,13.25,12.5,12.88,114500
2000-01-10,12.88,13.0,12.63,12.63,65200
2000-01-11,12.81,12.88,12.63,12.75,47900
2000-01-12,12.63,12.88,12.63,12.75,33500
2000-01-13,12.75,13.0,12.69,13.0,81400
2000-01-14,12.81,13.5,12.81,13.31,47500
2000-01-18,13.38,13.5,13.13,13.38,34600
2000-01-19,13.25,14.0,13.25,13.38,70800
2000-01-20,13.31,13.75,13.31,13.44,21700
2000-01-21,13.5,13.88,13.44,13.63,90900
2000-01-24,13.63,13.88,13.0,13.88,75800
2000-01-25,13.94,14.0,13.5,13.81,51100
2000-01-26,13.81,13.88,13.63,13.75,35700
2000-01-27,13.88,14.38,13.75,14.0,46800
2000-01-28,13.75,14.25,13.75,14.0,32900
2000-01-31,14.0,14.0,13.75,13.94,47200
2000-02-01,14.0,14.5,13.75,14.13,45500
2000-02-02,14.38,14.5,13.75,13.75,83700
2000-02-03,13.5,13.5,13.19,13.25,48200
2000-02-04,13.0,13.5,13.0,13.5,32900
2000-02-07,13.5,13.75,13.5,13.5,23400
2000-02-08,13.63,13.63,13.25,13.5,45700
2000-02-09,13.28,13.63,13.25,13.63,52600
2000-02-10,13.5,13.63,13.31,13.38,29000
2000-02-11,13.5,13.75,13.38,13.75,22700
2000-02-14,13.38,13.38,13.25,13.31,31000
2000-02-15,13.38,13.88,13.38,13.5,23700
2000-02-16,13.38,13.5,13.25,13.25,68900
2000-02-17,13.25,13.25,13.13,13.19,26500
2000-02-18,13.19,13.25,13.0,13.25,40500
2000-02-22,13.0,13.13,12.88,12.88,25300
2000-02-23,12.88,13.0,12.5,12.75,51300
2000-02-24,12.63,13.25,12.63,13.25,25800
2000-02-25,13.0,13.25,12.56,12.63,43900
2000-02-28,12.63,12.75,12.13,12.63,60400
2000-02-29,12.5,12.75,12.25,12.5,45300
2000-03-01,12.75,12.75,12.25,12.44,24200
2000-03-02,12.25,12.88,12.25,12.81,29300
2000-03-03,12.63,13.0,12.63,13.0,31800
2000-03-06,12.75,13.0,12.69,12.75,15700
2000-03-07,12.69,12.81,12.5,12.69,36900
2000-03-08,12.5,13.0,12.5,12.63,52100
2000-03-09,12.63,12.63,12.56,12.56,8900
2000-03-10,12.63,12.75,12.5,12.75,13100
