date,open,high,low,close,volume
2013-12-12,20.25,23.42,20.1,22.7,6560000
2013-12-13,23.0,24.58,22.94,23.83,322400
2013-12-16,24.0,24.0,22.76,23.7,91400
2013-12-17,23.29,23.72,23.06,23.46,218200
2013-12-18,23.44,24.02,23.11,24.0,831900
2013-12-19,23.81,24.0,23.51,23.7,382900
2013-12-20,23.55,23.94,23.5,23.92,913000
2013-12-23,24.0,24.649,23.98,24.17,525300
2013-12-24,24.08,24.9,24.08,24.39,81900
2013-12-26,24.66,25.62,24.49,25.5,433500
2013-12-27,25.75,26.47,25.54,25.98,338900
2013-12-30,26.72,26.72,25.6101,25.81,601900
2013-12-31,26.08,26.24,25.64,26.22,416800
2014-01-02,25.99,26.0,25.1,25.37,213000
2014-01-03,25.81,25.9,25.35,25.55,231200
2014-01-06,25.35,25.59,24.35,24.39,569100
2014-01-07,24.5,24.79,24.2601,24.35,530700
2014-01-08,24.35,24.5799,24.11,24.35,419700
2014-01-09,24.39,24.85,24.33,24.66,338700
2014-01-10,24.84,25.25,24.67,24.78,298600
2014-01-13,24.65,25.33,24.58,24.98,233700
2014-01-14,24.98,24.98,24.7,24.89,64400
2014-01-15,24.82,25.1,24.7,24.83,176200
2014-01-16,24.98,25.0,24.53,24.82,270600
2014-01-17,24.88,24.95,24.4,24.51,207800
2014-01-21,25.12,26.32,24.7444,24.88,626600
2014-01-22,24.6,25.28,24.5,24.91,548200
2014-01-23,25.25,25.25,24.55,24.98,159100
2014-01-24,24.65,25.24,23.71,23.94,379800
2014-01-27,23.88,23.92,23.4,23.64,245700
2014-01-28,24.02,24.48,23.541,24.45,335300
2014-01-29,23.71,24.42,23.5,24.2,363500
2014-01-30,24.12,24.89,23.91,24.71,361400
2014-01-31,24.6,24.78,24.17,24.71,257900
2014-02-03,24.84,24.95,23.61,24.81,241000
2014-02-04,24.81,25.29,24.57,24.99,446400
2014-02-05,23.04,29.7099,23.04,26.1,2551600
2014-02-06,27.0,27.0,25.63,25.85,560800
2014-02-07,26.02,26.02,25.28,25.61,247400
2014-02-10,25.74,26.56,25.0,26.45,269500
2014-02-11,26.29,26.79,26.04,26.72,249900
2014-02-12,26.89,28.0,26.656,27.64,794300
2014-02-13,27.58,28.09,27.035,28.0,464300
2014-02-14,28.18,28.44,27.9,28.05,624700
2014-02-18,28.47,28.78,28.1104,28.37,349200
2014-02-19,28.23,28.45,28.215,28.38,233300
2014-02-20,28.5,28.58,28.21,28.3,473300
2014-02-21,28.3,28.31,28.2,28.25,365900
2014-02-24,28.2,28.34,28.15,28.26,915900
2014-02-25,28.3,28.69,28.1316,28.46,492800
2014-02-26,28.53,28.68,28.338,28.52,409200
2014-02-27,28.47,28.7478,28.15,28.21,367200
2014-02-28,28.24,28.5,28.092,28.16,716800
2014-03-03,28.16,28.45,27.29,27.76,462500
2014-03-04,27.97,28.74,27.85,28.46,1531000
2014-03-05,28.49,28.74,28.22,28.5,932600
2014-03-06,28.56,28.74,28.48,28.54,325500
2014-03-07,28.7,29.32,28.45,29.19,317500
2014-03-10,29.28,29.89,29.032,29.56,258800
2014-03-11,29.66,29.84,28.86,28.91,399800
2014-03-12,28.68,29.07,28.41,28.63,820400
2014-03-13,28.59,28.83,28.2,28.24,431500
2014-03-14,28.24,28.46,27.36,27.38,398500
2014-03-17,27.45,27.66,27.22,27.45,168400
2014-03-18,27.47,28.08,27.2601,27.95,208300
2014-03-19,28.33,28.6,27.74,28.02,387900
2014-03-20,27.97,29.16,27.52,28.87,367200
2014-03-21,29.03,29.98,28.73,29.89,1746300
2014-03-24,29.66,29.69,28.53,29.11,613300
2014-03-25,29.27,29.27,28.33,28.33,245200
2014-03-26,28.45,28.45,27.73,27.87,284200
2014-03-27,27.88,28.7499,27.61,28.59,358400
2014-03-28,28.6,28.75,28.27,28.48,233500
2014-03-31,28.59,28.98,28.29,28.92,2756500
2014-04-01,28.93,28.93,28.57,28.69,244700
2014-04-02,28.76,29.04,28.68,28.88,732000
2014-04-03,28.9,28.9663,28.4,28.68,572200
2014-04-04,28.73,28.79,27.78,27.86,233900
2014-04-07,27.74,27.92,27.13,27.54,153900
2014-04-08,27.49,27.54,27.0725,27.22,443300
2014-04-09,27.27,27.995,27.161,27.95,86100
2014-04-10,27.93,28.07,27.215,27.37,119500
2014-04-11,27.23,27.55,26.91,27.22,188800
2014-04-14,27.46,27.84,27.22,27.69,438800
2014-04-15,27.85,28.18,27.56,27.9,385800
2014-04-16,28.12,28.14,27.675,27.89,127800
2014-04-17,27.9,28.36,27.74,28.04,146900
2014-04-21,28.05,28.29,27.965,28.19,167400
2014-04-22,28.28,28.63,27.99,28.48,320200
2014-04-23,28.47,28.8,28.205,28.39,238600
2014-04-24,28.55,28.76,27.96,28.23,401000
2014-04-25,28.2,28.22,27.59,27.98,159200
2014-04-28,28.01,28.47,27.36,27.77,219700
2014-04-29,27.93,28.23,27.57,27.96,213300
2014-04-30,27.85,28.19,27.62,28.19,204600
2014-05-01,28.22,28.22,27.75,28.06,101600
2014-05-02,28.03,28.47,27.945,28.12,83700
2014-05-05,28.07,28.31,27.83,28.17,145000
2014-05-06,28.17,28.27,27.76,28.04,94700
2014-05-07,28.15,28.15,27.2,27.52,252800
2014-05-08,28.42,28.42,26.71,26.77,431000
2014-05-09,26.96,27.15,26.68,26.97,358100
2014-05-12,27.05,27.45,26.834,27.05,475700
2014-05-13,27.12,27.705,26.82,27.27,420700
2014-05-14,27.21,27.38,27.0,27.2,111400
2014-05-15,26.92,27.21,26.46,26.97,147800
2014-05-16,27.01,27.16,26.75,26.93,179400
2014-05-19,26.11,26.47,25.79,26.39,145300
2014-05-20,26.49,26.63,26.0301,26.32,178600
2014-05-21,26.43,26.5999,26.2,26.4,343400
2014-05-22,26.48,26.575,26.28,26.37,117200
2014-05-23,26.48,26.95,26.246,26.59,260100
2014-05-27,26.7,26.82,26.02,26.11,232300
2014-05-28,25.93,27.55,25.71,26.83,1141500
2014-05-29,26.79,27.0,25.08,25.83,1880500
2014-05-30,25.97,26.43,25.9,26.38,7617800
2014-06-02,26.41,27.0,26.13,26.84,809600
2014-06-03,26.73,26.88,26.62,26.63,371200
2014-06-04,26.64,26.85,26.33,26.62,414800
2014-06-05,26.74,26.9,26.64,26.72,566900
2014-06-06,26.7,26.97,26.59,26.76,784400
2014-06-09,26.72,26.91,26.25,26.8,616300
2014-06-10,26.72,26.8,26.23,26.37,454000
2014-06-11,26.38,26.41,25.77,26.11,576500
2014-06-12,26.0,26.45,25.87,26.18,880000
2014-06-13,26.24,26.24,25.92,26.02,531000
2014-06-16,26.04,26.07,25.7326,26.03,276500
2014-06-17,26.09,26.37,25.96,26.09,314300
2014-06-18,25.47,25.78,25.04,25.76,1765700
2014-06-19,25.76,25.9,25.5,25.8,484600
2014-06-20,25.8,25.888,25.44,25.46,633300
2014-06-23,25.51,25.68,25.33,25.53,466900
2014-06-24,25.47,25.52,25.3,25.38,300200
2014-06-25,25.44,25.49,25.215,25.4,398500
2014-06-26,25.45,25.54,25.31,25.5,361100
2014-06-27,25.5,25.91,25.43,25.91,955700
2014-06-30,25.9,25.94,25.67,25.88,445000
2014-07-01,25.9,26.13,25.8501,26.05,832500
2014-07-02,26.15,27.0,26.0,26.8,1417700
2014-07-03,26.5,26.84,26.29,26.41,568900
2014-07-07,26.32,26.56,26.19,26.26,295300
2014-07-08,26.32,26.98,26.32,26.95,856100
2014-07-09,26.9,27.11,26.8,27.04,745800
2014-07-10,26.8,27.0,26.51,26.84,608100
2014-07-11,26.74,27.095,26.58,26.69,774600
2014-07-14,26.84,27.36,26.768,27.32,518000
2014-07-15,27.3,27.3,26.88,27.21,526100
2014-07-16,27.32,27.41,27.1,27.21,300700
2014-07-17,27.0,27.15,26.855,27.1,731300
2014-07-18,27.11,27.3,26.94,27.01,1240500
2014-07-21,27.01,27.3,26.96,27.23,812300
2014-07-22,27.21,27.48,27.21,27.35,411300
2014-07-23,27.41,27.47,27.28,27.29,320800
2014-07-24,27.3,27.43,27.29,27.37,237700
2014-07-25,27.32,27.43,27.28,27.3,197100
2014-07-28,27.25,27.4,27.22,27.32,490900
2014-07-29,27.3,27.47,27.27,27.36,154000
2014-07-30,27.36,27.44,27.19,27.34,375800
