date,open,high,low,close,volume
2000-01-03,10.25,10.25,10.25,10.25,321300
2000-01-04,8.75,8.875,8.125,8.25,63600
2000-01-05,8.344,9.813,8.0,9.188,379400
2000-01-06,9.25,10.75,9.0,10.75,317800
2000-01-07,11.06,11.69,10.75,11.38,316200
2000-01-10,11.5,12.75,11.31,12.75,535000
2000-01-11,12.94,12.94,12.13,12.13,215800
2000-01-12,12.31,12.75,11.75,12.0,401100
2000-01-13,12.44,16.88,12.44,16.5,1223900
2000-01-14,16.63,19.0,16.5,18.56,1011600
2000-01-18,18.75,18.75,15.69,16.94,688900
2000-01-19,16.44,17.0,15.81,17.0,203800
2000-01-20,17.25,17.25,15.63,16.75,159300
2000-01-21,16.0,18.13,15.88,18.13,134900
2000-01-24,18.0,18.25,15.94,16.0,258800
2000-01-25,16.19,16.19,14.75,14.88,303700
2000-01-26,14.88,16.75,14.75,14.75,257000
2000-01-27,14.88,15.0,13.69,14.06,189600
2000-01-28,14.13,14.13,12.38,13.31,142800
2000-01-31,12.94,14.69,12.5,14.69,262400
2000-02-01,14.31,16.38,14.25,15.13,148800
2000-02-02,15.25,16.13,15.25,15.94,175100
2000-02-03,16.5,17.0,15.06,15.75,300700
2000-02-04,15.88,17.06,15.25,16.88,208100
2000-02-07,17.13,18.0,16.63,17.0,264900
2000-02-08,17.75,18.13,16.38,18.0,1881800
2000-02-09,18.13,23.0,18.0,22.81,940600
2000-02-10,22.5,27.0,22.25,26.0,2312200
2000-02-11,27.5,28.0,19.25,25.0,727000
2000-02-14,24.88,26.5,21.0,26.0,639900
2000-02-15,26.88,28.5,26.5,27.75,504400
2000-02-16,26.75,31.5,26.75,31.0,979400
2000-02-17,33.5,40.38,33.13,37.5,1265400
2000-02-18,38.44,38.5,31.63,36.0,651600
2000-02-22,34.0,35.0,27.5,29.88,514200
2000-02-23,30.5,31.13,29.75,30.25,135400
2000-02-24,30.81,33.63,30.25,32.0,552700
2000-02-25,32.5,32.88,31.63,32.5,608000
2000-02-28,32.5,35.88,32.44,33.0,278800
2000-02-29,35.0,35.75,33.19,35.5,156000
2000-03-01,35.63,37.25,35.0,37.13,466400
2000-03-02,37.94,38.13,34.31,34.38,223500
2000-03-03,34.19,34.25,30.38,32.0,303600
2000-03-06,32.56,32.75,29.0,29.5,207500
2000-03-07,30.0,30.0,25.81,27.44,279900
2000-03-08,27.81,27.88,24.63,24.63,188800
2000-03-09,25.38,26.38,23.0,25.5,393800
2000-03-10,26.31,29.13,25.25,28.13,346500
2000-03-13,26.63,27.5,23.25,24.0,149200
2000-03-14,22.56,25.5,16.39,19.13,866200
2000-03-15,18.69,21.94,18.69,20.06,455500
2000-03-16,21.25,23.75,19.38,21.13,249700
2000-03-17,21.25,22.0,20.88,21.25,33200
2000-03-20,22.25,23.0,18.75,19.13,159400
2000-03-21,18.88,19.0,17.06,18.13,122300
2000-03-22,18.25,21.38,18.0,20.13,131100
2000-03-23,19.75,22.23,19.31,21.38,151000
2000-03-24,20.56,21.94,19.13,20.25,173500
2000-03-27,20.38,21.38,19.63,20.19,85400
2000-03-28,19.5,20.5,19.38,19.38,79900
2000-03-29,19.94,20.25,15.75,16.56,250000
