date,open,high,low,close,volume
2000-01-03,60.5,61.5,59.25,59.81,251300
2000-01-04,59.25,60.75,56.94,58.25,35900
2000-01-05,60.0,60.62,57.75,58.5,51600
2000-01-06,58.0,59.0,57.75,58.75,115200
2000-01-07,58.5,65.25,58.0,62.75,199000
2000-01-10,64.25,64.25,61.5,62.12,89400
2000-01-11,62.12,63.0,59.25,60.0,147300
2000-01-12,59.88,61.5,58.25,60.25,310600
2000-01-13,59.25,61.75,59.25,61.0,12000
2000-01-14,61.12,61.12,59.25,61.12,11600
2000-01-18,60.31,61.12,59.0,59.88,165600
2000-01-19,59.38,61.38,59.38,61.06,118200
2000-01-20,59.62,64.75,59.62,62.0,138000
2000-01-21,61.06,63.5,60.06,63.5,51100
2000-01-24,63.75,63.75,61.75,61.88,17100
2000-01-25,61.81,64.0,61.06,64.0,29100
2000-01-26,64.06,70.0,62.0,68.75,390000
2000-01-27,71.0,74.75,69.0,71.0,168700
2000-01-28,70.25,70.25,66.0,67.5,160600
2000-01-31,67.5,68.5,65.0,68.12,44600
2000-02-01,66.0,69.25,66.0,67.25,90100
2000-02-02,67.56,73.25,67.56,72.5,179500
2000-02-03,71.5,80.5,71.38,78.0,429400
2000-02-04,79.06,82.06,73.97,77.5,272900
2000-02-07,77.75,80.75,76.5,80.0,98400
2000-02-08,78.31,85.0,78.31,85.0,120600
2000-02-09,85.25,85.31,82.88,82.88,117100
2000-02-10,83.05,85.62,73.0,85.0,256600
2000-02-11,83.62,86.5,81.88,84.62,144800
2000-02-14,84.5,87.0,83.62,86.0,163200
2000-02-15,85.5,86.25,83.75,84.38,47100
2000-02-16,84.38,85.38,82.12,83.38,68500
2000-02-17,82.0,89.0,82.0,87.5,129600
2000-02-18,88.62,92.5,88.62,90.06,155300
2000-02-22,91.75,91.81,87.5,91.0,131700
2000-02-23,89.81,90.56,87.0,88.38,103400
2000-02-24,88.88,91.0,87.5,90.75,164800
2000-02-25,95.06,104.19,95.06,96.5,284800
2000-02-28,96.75,109.88,96.75,109.0,206400
2000-02-29,107.06,124.38,106.75,123.5,173800
2000-03-01,124.75,158.5,116.81,118.0,536000
2000-03-02,116.62,119.75,108.5,113.62,90200
2000-03-03,119.69,131.0,115.25,117.12,88800
2000-03-06,120.0,122.0,115.0,115.62,94400
2000-03-07,119.75,119.75,112.06,112.38,85000
2000-03-08,116.94,117.62,111.69,117.62,40200
2000-03-09,117.62,117.62,112.5,114.06,16100
2000-03-10,114.05,117.62,110.0,110.06,44500
2000-03-13,114.62,115.25,105.0,107.25,99400
2000-03-14,109.19,109.25,72.08,101.5,171000
2000-03-15,99.75,101.5,94.5,100.06,77800
2000-03-16,96.0,101.55,85.06,97.12,111900
2000-03-17,92.06,103.5,92.06,100.97,80300
2000-03-20,102.0,103.25,88.25,96.0,93800
2000-03-21,97.0,100.25,90.0,97.5,162500
2000-03-22,100.0,100.5,95.0,95.0,99700
2000-03-23,100.0,100.0,93.25,93.25,137800
2000-03-24,93.0,98.0,92.0,93.88,43500
2000-03-27,96.0,96.0,87.0,87.0,98400
2000-03-28,94.0,96.0,89.0,89.19,224400
2000-03-29,95.0,95.0,86.25,86.75,68200
2000-03-30,86.75,92.0,82.0,82.5,115100
2000-03-31,86.5,92.0,81.5,92.0,234000
2000-04-03,91.69,91.69,81.0,81.75,110100
2000-04-04,81.5,84.5,79.0,82.5,77400
2000-04-05,83.0,86.88,75.02,79.91,263500
2000-04-06,82.5,86.25,78.5,78.5,124600
2000-04-07,86.75,86.75,79.0,85.0,25700
2000-04-10,77.5,85.5,72.38,76.0,97200
2000-04-11,76.0,82.5,75.0,81.94,54500
2000-04-12,82.0,82.0,70.56,76.0,373800
2000-04-13,74.0,81.94,74.0,79.25,30100
2000-04-14,79.0,86.19,79.0,81.75,306700
2000-04-17,80.25,85.5,80.25,85.12,34500
2000-04-18,84.0,88.0,79.88,82.88,138200
2000-04-19,85.0,90.5,84.25,89.25,125400
2000-04-20,88.12,105.0,88.12,93.62,127600
2000-04-24,94.12,95.5,86.75,95.5,64900
2000-04-25,95.75,104.0,94.88,101.5,107900
2000-04-26,101.0,101.5,96.25,96.5,82500
2000-04-27,97.0,100.25,96.0,100.25,57100
2000-04-28,100.25,104.0,99.75,101.88,115700
2000-05-01,105.0,106.0,102.25,105.12,127500
2000-05-02,106.0,106.0,99.5,100.0,50300
2000-05-03,99.75,100.62,97.25,100.25,75900
2000-05-04,102.0,102.0,94.0,97.0,138500
2000-05-05,99.0,99.94,98.0,99.0,52300
2000-05-08,102.81,102.88,97.75,97.75,77000
2000-05-09,97.5,97.69,93.0,95.75,29900
2000-05-10,92.62,93.0,84.75,85.38,99100
2000-05-11,86.0,87.5,83.39,85.12,47700
2000-05-12,86.0,91.12,82.5,82.5,42300
2000-05-15,84.94,84.94,77.75,78.12,179800
2000-05-16,80.25,82.19,78.25,80.81,136400
2000-05-17,80.81,84.62,80.62,84.06,133900
2000-05-18,82.75,87.75,82.75,85.5,86900
2000-05-19,84.0,86.12,84.0,86.12,123600
2000-05-22,85.0,90.0,83.5,89.75,222000
2000-05-23,86.44,88.75,85.5,86.69,135500
2000-05-24,88.0,88.0,81.0,86.56,171900
2000-05-25,90.0,95.0,87.12,87.38,206100
2000-05-26,87.5,91.5,85.25,86.0,24900
2000-05-30,88.0,88.88,86.25,88.62,51800
2000-05-31,89.5,89.5,85.25,85.25,149500
2000-06-01,85.25,85.25,78.75,80.69,165100
2000-06-02,81.12,83.25,81.12,82.0,197800
2000-06-05,82.28,84.62,82.0,84.62,123300
2000-06-06,84.0,85.0,78.94,79.38,129100
2000-06-07,81.0,81.0,79.38,80.12,86500
2000-06-08,81.0,81.0,79.0,79.56,84400
2000-06-09,79.38,80.62,79.38,80.06,148400
2000-06-12,80.38,80.38,72.25,73.0,184400
2000-06-13,72.94,75.56,72.44,75.06,313500
2000-06-14,76.62,77.0,73.06,73.5,353900
2000-06-15,73.56,73.56,54.77,57.75,1298300
2000-06-16,59.88,59.94,54.5,54.92,1216500
2000-06-19,54.88,57.25,46.5,50.75,383300
2000-06-20,51.44,51.5,42.38,46.0,967500
2000-06-21,46.56,53.5,46.5,53.25,1185100
2000-06-22,54.06,57.69,51.75,53.56,485500
2000-06-23,53.88,57.0,52.62,56.44,374200
2000-06-26,57.0,60.38,56.75,58.0,352900
2000-06-27,60.0,60.0,57.75,57.75,208300
2000-06-28,58.44,58.5,54.5,55.06,168900
