date,open,high,low,close,volume,splitfactor,divcash
2018-07-25,18.7,25.0,18.5,25.0,13709519,1.0,0.0
2018-07-26,24.745,24.85,20.3,21.01,3628317,1.0,0.0
2018-07-27,21.2,23.0,21.2,22.6,1321229,1.0,0.0
2018-07-30,22.75,24.0,22.65,23.85,1236290,1.0,0.0
2018-07-31,24.03,26.43,22.75,23.05,2603376,1.0,0.0
2018-08-01,23.67,24.8,22.6,23.5,952868,1.0,0.0
2018-08-02,23.5,25.12,23.5,24.5,683600,1.0,0.0
2018-08-03,24.63,27.1,24.5,26.8,904200,1.0,0.0
2018-08-06,27.07,29.875,26.9,27.94,1523378,1.0,0.0
2018-08-07,28.66,28.749,27.13,27.45,907291,1.0,0.0
2018-08-08,27.89,28.25,26.5,28.15,1160509,1.0,0.0
2018-08-09,28.0,28.03,26.6,26.72,403144,1.0,0.0
2018-08-10,26.84,28.0,26.3,27.65,431516,1.0,0.0
2018-08-13,27.65,27.65,24.71,24.76,711408,1.0,0.0
2018-08-14,25.1,25.8632,25.0,25.51,300814,1.0,0.0
2018-08-15,25.8,25.8,22.78,22.91,822385,1.0,0.0
2018-08-16,23.5,23.92,22.9001,23.13,567353,1.0,0.0
2018-08-17,23.63,23.63,22.19,22.2,602046,1.0,0.0
2018-08-20,22.0,23.1059,21.75,22.42,1187727,1.0,0.0
2018-08-21,22.85,25.8,22.61,25.27,1267442,1.0,0.0
2018-08-22,25.02,27.5,24.8,27.0,883967,1.0,0.0
2018-08-23,27.21,29.5,27.1921,29.28,1313349,1.0,0.0
2018-08-24,29.25,33.25,29.2412,30.91,1597636,1.0,0.0
2018-08-27,29.0,30.44,28.1601,28.69,1370178,1.0,0.0
2018-08-28,28.62,30.59,28.5,29.55,668756,1.0,0.0
2018-08-29,29.69,29.75,28.61,29.15,520445,1.0,0.0
2018-08-30,28.87,29.02,28.11,28.75,527497,1.0,0.0
2018-08-31,28.4,30.18,28.07,29.95,494786,1.0,0.0
2018-09-04,30.0,30.05,28.1325,28.5,652074,1.0,0.0
2018-09-05,28.19,28.63,26.355,28.21,543044,1.0,0.0
2018-09-06,28.0,28.84,28.0,28.7,241468,1.0,0.0
2018-09-07,28.64,31.13,28.085,30.58,646464,1.0,0.0
2018-09-10,31.33,31.4499,27.36,29.05,1018945,1.0,0.0
2018-09-11,29.0,29.54,27.86,29.26,362448,1.0,0.0
2018-09-12,29.41,32.0899,29.1401,31.91,503589,1.0,0.0
2018-09-13,31.91,33.89,30.55,31.68,929559,1.0,0.0
2018-09-14,31.22,31.3,28.9,29.58,641291,1.0,0.0
2018-09-17,29.45,30.371,28.72,29.0,290173,1.0,0.0
2018-09-18,28.94,29.92,28.9,29.92,295180,1.0,0.0
2018-09-19,30.03,31.06,28.97,29.25,458835,1.0,0.0
2018-09-20,29.55,30.5487,29.3973,30.01,223991,1.0,0.0
2018-09-21,30.05,33.05,29.9398,30.95,1701158,1.0,0.0
2018-09-24,31.0,32.75,30.66,32.25,399356,1.0,0.0
2018-09-25,32.55,34.88,32.5102,34.08,535860,1.0,0.0
2018-09-26,34.6,36.59,34.25,35.8,584622,1.0,0.0
2018-09-27,36.0,38.0,33.23,33.6,870127,1.0,0.0
2018-09-28,33.72,35.52,33.01,34.08,431695,1.0,0.0
2018-10-01,34.18,34.4812,32.0,32.27,318210,1.0,0.0
2018-10-02,32.3,32.91,30.17,30.22,379939,1.0,0.0
2018-10-03,30.38,30.92,29.1,30.25,527259,1.0,0.0
2018-10-04,30.24,30.45,28.24,28.34,554279,1.0,0.0
2018-10-05,28.34,29.369,26.11,27.37,725057,1.0,0.0
2018-10-08,27.37,27.37,25.2,27.07,680179,1.0,0.0
2018-10-09,26.87,27.6509,26.01,26.1,381567,1.0,0.0
2018-10-10,25.94,28.5,25.25,27.54,819371,1.0,0.0
2018-10-11,27.21,28.01,25.61,27.38,506071,1.0,0.0
2018-10-12,27.5,28.34,26.271,26.68,270498,1.0,0.0
2018-10-15,26.31,26.8966,25.65,26.6,214498,1.0,0.0
2018-10-16,26.48,27.8,26.48,27.18,318471,1.0,0.0
2018-10-17,27.18,27.67,27.03,27.32,230642,1.0,0.0
2018-10-18,27.0,27.37,25.37,25.57,262552,1.0,0.0
2018-10-19,25.36,26.08,25.21,25.51,293947,1.0,0.0
2018-10-22,25.61,25.9999,24.0301,24.15,365349,1.0,0.0
2018-10-23,23.88,24.112,21.96,23.82,507653,1.0,0.0
2018-10-24,23.82,24.4199,23.5001,23.92,458868,1.0,0.0
2018-10-25,23.98,24.11,22.71,23.44,458611,1.0,0.0
2018-10-26,23.13,23.9099,22.1,22.17,456216,1.0,0.0
2018-10-29,22.23,23.02,21.8011,22.03,352363,1.0,0.0
2018-10-30,21.96,23.03,21.5388,22.98,375311,1.0,0.0
2018-10-31,23.67,24.95,23.26,23.75,505342,1.0,0.0
2018-11-01,23.97,24.26,23.64,23.74,233355,1.0,0.0
2018-11-02,24.02,24.18,22.72,22.96,400049,1.0,0.0
2018-11-05,22.9,23.58,22.05,23.01,373181,1.0,0.0
2018-11-06,20.95,20.95,17.11,17.25,2812216,1.0,0.0
2018-11-07,17.77,18.63,17.26,18.01,1307943,1.0,0.0
2018-11-08,17.96,18.44,17.9156,18.09,434329,1.0,0.0
2018-11-09,17.94,19.81,17.94,19.45,929411,1.0,0.0
2018-11-12,19.4,19.87,19.0,19.7,329536,1.0,0.0
2018-11-13,19.41,19.8703,18.3,18.51,535307,1.0,0.0
2018-11-14,18.52,19.0,17.11,17.29,847939,1.0,0.0
2018-11-15,17.0,17.25,15.28,15.46,847507,1.0,0.0
2018-11-16,15.77,16.88,15.77,16.04,629586,1.0,0.0
2018-11-19,16.07,16.32,14.5,14.5,688418,1.0,0.0
2018-11-20,14.05,14.81,13.365,14.55,773066,1.0,0.0
2018-11-21,14.81,15.12,14.55,14.67,359903,1.0,0.0
2018-11-23,14.59,15.04,14.5,14.99,105400,1.0,0.0
2018-11-26,15.19,15.4,14.43,14.7,281659,1.0,0.0
2018-11-27,14.75,14.85,14.3,14.5,236161,1.0,0.0
2018-11-28,14.5,15.5,14.5,15.45,293627,1.0,0.0
2018-11-29,15.0,17.8,15.0,17.26,729677,1.0,0.0
