date,open,high,low,close,volume
2000-01-03,53.75,54.0,53.5,53.5,1467
2000-01-04,53.25,54.0,52.56,53.0,2427
2000-01-05,53.12,54.5,53.12,54.38,2187
2000-01-06,54.12,54.5,53.75,54.0,1493
2000-01-07,54.25,54.62,54.0,54.62,1013
2000-01-10,54.38,54.38,52.12,52.75,4480
2000-01-11,52.94,53.75,52.75,52.88,7147
2000-01-12,52.75,52.75,51.44,52.0,1493
2000-01-13,52.25,53.5,52.25,53.5,720
2000-01-14,53.0,53.0,52.25,52.38,1893
2000-01-18,52.38,53.0,51.25,52.25,6773
2000-01-19,52.25,53.12,52.0,52.0,5893
2000-01-20,52.25,53.38,52.12,53.0,4160
2000-01-21,53.5,54.25,53.25,53.38,1973
2000-01-24,53.5,54.25,53.0,53.0,747
2000-01-25,52.75,52.75,52.0,52.0,2213
2000-01-26,52.0,52.0,51.06,51.75,640
2000-01-27,51.5,51.5,50.75,50.75,320
2000-01-28,50.5,50.75,50.5,50.56,1173
2000-01-31,50.56,51.25,50.56,51.0,4347
2000-02-01,51.25,51.25,50.5,51.0,667
2000-02-02,51.31,52.0,51.31,51.75,320
2000-02-03,52.25,52.75,51.88,52.75,800
2000-02-04,52.5,52.5,50.75,52.5,6000
2000-02-07,53.0,53.0,50.88,51.25,7787
2000-02-08,51.06,51.06,50.06,50.06,5147
2000-02-09,50.06,50.06,49.62,49.75,2800
2000-02-10,49.5,50.12,49.5,49.75,933
2000-02-11,50.0,50.25,49.25,49.25,5360
2000-02-14,49.0,49.06,48.88,48.88,320
2000-02-15,48.62,50.0,48.62,50.0,1067
2000-02-16,49.75,49.75,49.12,49.12,1253
2000-02-17,49.0,49.0,47.25,47.25,1360
2000-02-18,47.31,48.0,47.25,47.69,507
2000-02-22,47.94,48.0,47.5,47.88,987
2000-02-23,48.12,48.12,47.75,47.81,2213
2000-02-24,47.69,47.69,46.25,46.31,5200
2000-02-25,46.31,46.31,46.0,46.19,1040
2000-02-28,46.0,46.0,45.25,45.5,1227
2000-02-29,45.75,45.75,45.0,45.44,1733
2000-03-01,45.44,45.88,45.0,45.5,4773
2000-03-02,45.88,45.88,44.88,45.12,5413
2000-03-03,44.88,44.88,44.25,44.62,3520
2000-03-06,44.62,44.62,44.19,44.25,3067
2000-03-07,44.38,44.38,42.25,43.25,2640
2000-03-08,42.69,42.88,42.12,42.75,4053
2000-03-09,42.5,44.25,42.31,44.25,1387
