date,open,high,low,close,volume,splitfactor,divcash
2017-07-05,40.8,40.82,37.25,37.25,5883326,1.0,17.5
2017-07-06,38.09,38.09,36.52,37.01,5088097,1.0,0.0
2017-07-07,38.14,38.59,36.12,37.91,6014535,1.0,0.0
2017-07-10,37.63,38.17,36.8,37.23,4721508,1.0,0.0
2017-07-11,37.31,37.78,36.89,37.35,2791176,1.0,0.0
2017-07-12,37.77,37.99,37.25,37.37,3260591,1.0,0.0
2017-07-13,37.45,37.65,36.69,36.84,3860643,1.0,0.0
2017-07-14,37.0,37.495,36.91,37.35,2872910,1.0,0.0
2017-07-17,37.71,38.37,37.64,37.64,3917588,1.0,0.0
2017-07-18,37.52,37.78,36.73,36.75,3198593,1.0,0.0
2017-07-19,36.59,37.09,36.36,36.54,4230853,1.0,0.0
2017-07-20,36.59,36.9,34.86,34.97,6397004,1.0,0.0
2017-07-21,34.73,34.88,33.44,34.12,7737292,1.0,0.0
2017-07-24,34.26,34.46,33.88,34.36,2850884,1.0,0.0
2017-07-25,34.81,35.28,34.77,35.25,2871897,1.0,0.0
2017-07-26,35.58,36.18,35.22,36.05,3826003,1.0,0.0
2017-07-27,35.97,37.04,35.7,36.16,4593651,1.0,0.0
2017-07-28,34.85,37.5,34.2257,37.1,4261445,1.0,0.0
2017-07-31,37.14,37.17,36.43,36.89,3318805,1.0,0.0
2017-08-01,36.82,36.83,35.41,35.7,2955189,1.0,0.0
2017-08-02,35.36,35.55,35.035,35.35,3405697,1.0,0.0
2017-08-03,35.26,35.51,35.07,35.31,3181029,1.0,0.0
2017-08-04,35.42,35.54,35.06,35.23,3110626,1.0,0.0
2017-08-07,35.1,35.27,34.4,34.56,2054097,1.0,0.0
2017-08-08,34.75,35.47,34.6442,34.94,2155678,1.0,0.0
2017-08-09,34.79,35.29,34.76,35.02,2252626,1.0,0.17
2017-08-10,35.01,35.29,34.57,34.7,1971691,1.0,0.0
2017-08-11,34.51,34.89,34.28,34.29,1185973,1.0,0.0
2017-08-14,34.51,34.54,34.135,34.26,1927835,1.0,0.0
2017-08-15,34.03,34.42,34.03,34.31,2153221,1.0,0.0
2017-08-16,34.37,34.51,33.76,33.83,1367515,1.0,0.0
2017-08-17,33.79,34.09,32.75,32.8,2200268,1.0,0.0
2017-08-18,32.74,33.13,32.4301,32.77,3179783,1.0,0.0
2017-08-21,32.77,32.99,32.46,32.54,2340815,1.0,0.0
2017-08-22,32.62,32.945,32.43,32.69,1872479,1.0,0.0
2017-08-23,32.51,33.24,32.51,33.04,1565407,1.0,0.0
2017-08-24,33.09,33.09,32.54,32.82,1781949,1.0,0.0
2017-08-25,32.88,33.41,32.8701,33.26,2035870,1.0,0.0
2017-08-28,33.27,33.4,32.82,33.25,2510523,1.0,0.0
2017-08-29,33.1,33.81,33.1,33.75,2192874,1.0,0.0
