date,open,high,low,close,volume,splitfactor,divcash
2000-01-03,58.37,58.39,53.75,55.62,4526200,1.0,0.0
2000-01-04,52.69,54.94,52.25,53.19,4080650,1.0,0.0
2000-01-05,52.0,52.19,48.19,49.75,6384350,1.0,0.0
2000-01-06,50.0,51.62,45.37,45.87,5907650,1.0,0.0
2000-01-07,49.37,60.25,48.0,57.75,18317250,1.0,0.0
2000-01-10,60.06,65.37,58.12,64.37,7541100,1.0,0.0
2000-01-11,62.75,65.75,59.87,60.37,4981900,1.0,0.0
2000-01-12,60.0,62.5,57.37,59.25,3154550,1.0,0.0
2000-01-13,63.12,63.75,60.25,62.5,3330950,1.0,0.0
2000-01-14,63.0,68.05,63.0,66.81,5464200,1.0,0.0
2000-01-18,67.25,69.94,66.5,69.69,4070500,1.0,0.0
2000-01-19,70.0,70.5,66.44,68.25,2311750,1.0,0.0
2000-01-20,72.0,76.94,71.62,73.44,6778800,1.0,0.0
2000-01-21,74.5,76.12,70.37,73.81,3303650,1.0,0.0
2000-01-24,75.12,79.37,74.25,76.87,3799600,1.0,0.0
2000-01-25,78.25,78.37,69.5,74.0,4098150,1.0,0.0
2000-01-26,73.97,75.0,67.75,68.12,3052700,1.0,0.0
2000-01-27,71.25,75.0,68.87,70.69,4440450,1.0,0.0
2000-01-28,69.62,72.0,63.75,66.12,3784550,1.0,0.0
2000-01-31,66.25,67.0,60.06,65.62,3463250,1.0,0.0
2000-02-01,68.25,69.87,65.69,69.25,2266950,1.0,0.0
2000-02-02,69.5,75.0,69.5,74.12,3148950,1.0,0.0
2000-02-03,74.94,75.5,71.69,75.44,4034800,1.0,0.0
2000-02-04,75.75,77.19,74.25,75.56,2517550,1.0,0.0
2000-02-07,78.75,83.37,78.0,80.81,4497500,1.0,0.0
2000-02-08,83.0,86.5,82.12,86.25,3640350,1.0,0.0
2000-02-09,85.69,87.0,82.5,83.69,3175200,1.0,0.0
2000-02-10,84.19,99.94,84.12,99.0,10850350,1.0,0.0
2000-02-11,99.0,105.25,94.12,97.0,6381900,1.0,0.0
2000-02-14,98.75,104.25,98.62,99.81,3452050,1.0,0.0
