date,open,high,low,close,volume
2000-01-03,1.219,1.219,1.219,1.219,5800
2000-01-04,1.25,1.25,1.25,1.25,0
2000-01-05,1.375,1.375,1.313,1.375,2700
2000-01-06,1.219,1.219,1.219,1.219,200
2000-01-07,1.5,1.5,1.375,1.5,10700
2000-01-10,1.563,1.656,1.5,1.563,29500
2000-01-11,1.813,2.0,1.719,1.844,229100
2000-01-12,2.0,2.188,1.938,2.094,321400
2000-01-13,2.063,2.25,1.875,1.969,113200
2000-01-14,1.984,2.063,1.938,2.063,65100
2000-01-18,2.078,3.0,2.063,2.375,156600
2000-01-19,2.625,2.625,2.5,2.563,171100
2000-01-20,2.594,2.594,2.25,2.281,171300
2000-01-21,2.406,2.438,2.125,2.25,68800
2000-01-24,2.281,2.625,2.25,2.375,108600
2000-01-25,2.5,2.5,2.25,2.375,85300
2000-01-26,2.531,2.531,2.25,2.313,81900
2000-01-27,2.438,2.5,2.125,2.25,48700
2000-01-28,2.313,2.375,2.25,2.313,30200
2000-01-31,2.344,2.438,2.25,2.313,22800
2000-02-01,2.344,2.406,2.125,2.313,35900
2000-02-02,2.406,2.406,2.25,2.25,25500
2000-02-03,2.406,2.438,2.188,2.313,25700
2000-02-04,2.313,2.313,2.125,2.125,44900
2000-02-07,2.25,2.25,2.0,2.0,61400
2000-02-08,2.0,2.125,2.0,2.031,56600
2000-02-09,2.063,2.188,2.0,2.188,55800
2000-02-10,2.188,2.281,2.0,2.125,48900
2000-02-11,2.281,2.313,2.063,2.219,68400
2000-02-14,2.281,2.375,2.063,2.313,115400
2000-02-15,2.281,2.375,2.281,2.375,25300
2000-02-16,2.375,2.375,2.313,2.344,79100
2000-02-17,2.25,2.438,2.156,2.328,73000
2000-02-18,2.38,2.5,2.31,2.5,85400
2000-02-22,2.5,2.75,2.188,2.469,153300
2000-02-23,2.375,2.5,2.25,2.469,62100
2000-02-24,2.5,2.625,2.125,2.313,78800
2000-02-25,2.5,2.5,2.188,2.5,42500
2000-02-28,2.438,2.625,2.125,2.313,60300
2000-02-29,2.438,2.438,2.313,2.313,20700
2000-03-01,2.438,2.5,2.25,2.438,17100
2000-03-02,2.469,2.625,2.438,2.469,30900
2000-03-03,2.531,2.813,2.438,2.75,67700
2000-03-06,2.813,3.344,2.719,3.25,211000
2000-03-07,3.828,4.25,3.063,3.5,298000
