date,open,high,low,close,volume
2025-08-01,4.76,5.05,4.47,4.49,927589
2025-08-04,4.57,4.8599,4.57,4.78,1340374
2025-08-05,4.76,4.815,4.39,4.41,872574
2026-05-28,2.94,3.09,2.93,3.08,593300
2026-05-29,3.08,3.21,3.02,3.13,840730
2026-06-01,3.15,3.33,3.145,3.27,1170651
2026-06-02,3.24,3.24,3.09,3.18,669339
2026-06-03,3.13,3.13,2.85,2.87,755737
2026-06-04,2.88,2.965,2.84,2.845,354665
2026-06-05,2.82,2.92,2.78,2.82,719897
2026-06-08,2.88,2.94,2.77,2.77,413415
2026-06-09,2.77,2.835,2.6041,2.66,818066
2026-06-10,2.66,2.76,2.63,2.68,654794
2026-06-11,2.69,2.734,2.62,2.68,509335
2026-06-12,2.68,2.74,2.63,2.7,483888
2026-06-15,2.77,2.835,2.68,2.69,525443
2026-06-16,2.71,2.845,2.65,2.81,576260
2026-06-17,2.8,2.88,2.715,2.73,529586
2026-06-18,2.75,2.81,2.67,2.74,1225945
